Country Code,Station Code,Parameter,Label,Timestamp (UTC+07:00),Value,Unit,Observed or Estimated,Approval Level,Grade
VN,019804,Conductivity,Measured,1985-05-14T17:00Z,17.1,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,019804,Conductivity,Measured,1985-06-14T17:00Z,8.9,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,019804,Conductivity,Measured,1985-07-14T17:00Z,9.9,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,019804,Conductivity,Measured,1985-08-14T17:00Z,12.7,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,019804,Conductivity,Measured,1985-09-14T17:00Z,11.2,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,019804,Conductivity,Measured,1985-10-14T17:00Z,14.3,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,019804,Conductivity,Measured,1985-11-14T17:00Z,13.2,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,019804,Conductivity,Measured,1985-12-14T17:00Z,12.7,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,019804,Conductivity,Measured,1986-01-14T17:00Z,8.0,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,019804,Conductivity,Measured,1986-02-14T17:00Z,8.5,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,019804,Conductivity,Measured,1986-03-14T17:00Z,16.4,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,019804,Conductivity,Measured,1986-04-14T17:00Z,20.2,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,019804,Conductivity,Measured,1986-05-14T17:00Z,20.9,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,019804,Conductivity,Measured,1986-06-14T17:00Z,12.2,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,019804,Conductivity,Measured,1986-07-14T17:00Z,10.8,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,019804,Conductivity,Measured,1986-08-14T17:00Z,11.8,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,019804,Conductivity,Measured,1986-09-14T17:00Z,8.7,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,019804,Conductivity,Measured,1986-10-14T17:00Z,10.4,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,019804,Conductivity,Measured,1986-11-14T17:00Z,10.9,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,019804,Conductivity,Measured,1986-12-14T17:00Z,12.5,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,019804,Conductivity,Measured,1987-01-14T17:00Z,12.9,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,019804,Conductivity,Measured,1987-02-14T17:00Z,14.7,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,019804,Conductivity,Measured,1987-03-14T17:00Z,16.2,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,019804,Conductivity,Measured,1987-04-14T17:00Z,19.4,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,019804,Conductivity,Measured,1987-05-14T17:00Z,20.0,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,019804,Conductivity,Measured,1987-06-14T17:00Z,22.6,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,019804,Conductivity,Measured,1987-07-14T17:00Z,8.5,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,019804,Conductivity,Measured,1987-08-14T17:00Z,15.8,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,019804,Conductivity,Measured,1987-09-14T17:00Z,10.8,mS/m,O,Raw - Not Yet Reviewed,Unverified data
