Country Code,Station Code,Parameter,Label,Timestamp (UTC+07:00),Value,Unit,Observed or Estimated,Approval Level,Grade
VN,029812,Conductivity,Measured,2004-07-14T17:00Z,12.4,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,029812,Conductivity,Measured,2004-07-15T05:00Z,12.2,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,029812,Conductivity,Measured,2004-08-14T17:00Z,12.4,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,029812,Conductivity,Measured,2004-08-15T05:00Z,12.2,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,029812,Conductivity,Measured,2004-09-14T17:00Z,12.8,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,029812,Conductivity,Measured,2004-09-15T05:00Z,13.0,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,029812,Conductivity,Measured,2004-10-14T17:00Z,11.4,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,029812,Conductivity,Measured,2004-10-15T05:00Z,11.7,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,029812,Conductivity,Measured,2004-11-14T17:00Z,14.0,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,029812,Conductivity,Measured,2004-11-15T05:00Z,13.2,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,029812,Conductivity,Measured,2004-12-14T17:00Z,13.8,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,029812,Conductivity,Measured,2004-12-15T05:00Z,13.6,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,029812,Conductivity,Measured,2005-01-14T17:00Z,18.5,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,029812,Conductivity,Measured,2005-01-15T05:00Z,22.2,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,029812,Conductivity,Measured,2005-02-14T17:00Z,37.8,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,029812,Conductivity,Measured,2005-02-15T05:00Z,75.7,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,029812,Conductivity,Measured,2005-03-14T17:00Z,487.0,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,029812,Conductivity,Measured,2005-03-15T05:00Z,489.0,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,029812,Conductivity,Measured,2005-04-14T17:00Z,1050.0,mS/m,O,Raw - Not Yet Reviewed,Unverified data
