Country Code,Station Code,Parameter,Label,Timestamp (UTC+07:00),Value,Unit,Observed or Estimated,Approval Level,Grade
VN,039805,Conductivity,Measured,1985-06-14T17:00Z,12.2,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,039805,Conductivity,Measured,1985-07-14T17:00Z,12.2,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,039805,Conductivity,Measured,1985-08-14T17:00Z,16.1,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,039805,Conductivity,Measured,1985-09-14T17:00Z,12.1,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,039805,Conductivity,Measured,1985-10-14T17:00Z,15.3,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,039805,Conductivity,Measured,1985-11-14T17:00Z,13.4,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,039805,Conductivity,Measured,1985-12-14T17:00Z,13.9,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,039805,Conductivity,Measured,1986-01-14T17:00Z,8.2,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,039805,Conductivity,Measured,1986-02-14T17:00Z,8.9,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,039805,Conductivity,Measured,1986-03-14T17:00Z,17.0,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,039805,Conductivity,Measured,1986-04-14T17:00Z,24.1,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,039805,Conductivity,Measured,1986-05-14T17:00Z,24.6,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,039805,Conductivity,Measured,1986-06-14T17:00Z,16.6,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,039805,Conductivity,Measured,1986-07-14T17:00Z,11.4,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,039805,Conductivity,Measured,1986-08-14T17:00Z,14.7,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,039805,Conductivity,Measured,1986-09-14T17:00Z,10.5,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,039805,Conductivity,Measured,1986-10-14T17:00Z,13.0,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,039805,Conductivity,Measured,1986-11-14T17:00Z,14.0,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,039805,Conductivity,Measured,1986-12-14T17:00Z,15.1,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,039805,Conductivity,Measured,1987-01-14T17:00Z,13.6,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,039805,Conductivity,Measured,1987-02-14T17:00Z,20.2,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,039805,Conductivity,Measured,1987-03-14T17:00Z,19.1,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,039805,Conductivity,Measured,1987-04-14T17:00Z,353.0,mS/m,O,Raw - Not Yet Reviewed,Unverified data
