Country Code,Station Code,Parameter,Label,Timestamp (UTC+07:00),Value,Unit,Observed or Estimated,Approval Level,Grade
VN,440202,Conductivity,Measured,2004-07-14T17:00Z,2.8,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,440202,Conductivity,Measured,2004-08-14T17:00Z,2.8,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,440202,Conductivity,Measured,2004-09-14T17:00Z,2.3,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,440202,Conductivity,Measured,2004-10-14T17:00Z,1.54,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,440202,Conductivity,Measured,2004-11-14T17:00Z,3.7,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,440202,Conductivity,Measured,2004-12-14T17:00Z,3.9,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,440202,Conductivity,Measured,2005-01-14T17:00Z,5.1,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,440202,Conductivity,Measured,2005-02-14T17:00Z,4.3,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,440202,Conductivity,Measured,2005-03-14T17:00Z,5.1,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,440202,Conductivity,Measured,2005-04-14T17:00Z,6.0,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,440202,Conductivity,Measured,2005-05-14T17:00Z,6.0,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,440202,Conductivity,Measured,2005-06-14T17:00Z,4.2,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,440202,Conductivity,Measured,2005-07-14T17:00Z,4.2,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,440202,Conductivity,Measured,2005-08-14T17:00Z,2.6,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,440202,Conductivity,Measured,2005-09-14T17:00Z,1.96,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,440202,Conductivity,Measured,2005-10-14T17:00Z,1.8,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,440202,Conductivity,Measured,2005-11-14T17:00Z,3.2,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,440202,Conductivity,Measured,2005-12-14T17:00Z,3.3,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,440202,Conductivity,Measured,2006-01-14T17:00Z,3.7,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,440202,Conductivity,Measured,2006-02-14T17:00Z,3.8,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,440202,Conductivity,Measured,2006-03-14T17:00Z,6.1,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,440202,Conductivity,Measured,2006-04-14T17:00Z,5.4,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,440202,Conductivity,Measured,2006-05-14T17:00Z,4.2,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,440202,Conductivity,Measured,2006-06-14T17:00Z,3.8,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,440202,Conductivity,Measured,2006-07-14T17:00Z,1.9,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,440202,Conductivity,Measured,2006-08-14T17:00Z,1.9,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,440202,Conductivity,Measured,2006-09-14T17:00Z,1.5,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,440202,Conductivity,Measured,2006-10-14T17:00Z,1.8,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,440202,Conductivity,Measured,2006-11-14T17:00Z,3.2,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,440202,Conductivity,Measured,2006-12-14T17:00Z,3.8,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,440202,Conductivity,Measured,2007-01-14T17:00Z,4.2,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,440202,Conductivity,Measured,2007-02-14T17:00Z,4.5,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,440202,Conductivity,Measured,2007-03-14T17:00Z,7.8,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,440202,Conductivity,Measured,2007-04-14T17:00Z,4.8,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,440202,Conductivity,Measured,2007-05-14T17:00Z,4.5,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,440202,Conductivity,Measured,2007-06-14T17:00Z,5.4,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,440202,Conductivity,Measured,2007-07-14T17:00Z,3.2,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,440202,Conductivity,Measured,2007-08-14T17:00Z,1.8,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,440202,Conductivity,Measured,2007-09-14T17:00Z,2.9,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,440202,Conductivity,Measured,2007-10-14T17:00Z,3.0,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,440202,Conductivity,Measured,2007-11-14T17:00Z,3.3,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,440202,Conductivity,Measured,2007-12-14T17:00Z,3.0,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,440202,Conductivity,Measured,2008-01-14T17:00Z,3.8,mS/m,O,Raw - Not Yet Reviewed,Unverified data
