Country Code,Station Code,Parameter,Label,Timestamp (UTC+07:00),Value,Unit,Observed or Estimated,Approval Level,Grade
VN,451305,Conductivity,Measured,2004-07-14T17:00Z,4.8,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,451305,Conductivity,Measured,2004-08-14T17:00Z,4.8,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,451305,Conductivity,Measured,2004-09-14T17:00Z,5.6,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,451305,Conductivity,Measured,2004-10-14T17:00Z,5.91,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,451305,Conductivity,Measured,2004-11-14T17:00Z,5.9,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,451305,Conductivity,Measured,2004-12-14T17:00Z,6.0,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,451305,Conductivity,Measured,2005-01-14T17:00Z,7.7,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,451305,Conductivity,Measured,2005-02-14T17:00Z,6.2,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,451305,Conductivity,Measured,2005-03-14T17:00Z,6.8,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,451305,Conductivity,Measured,2005-04-14T17:00Z,7.6,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,451305,Conductivity,Measured,2005-05-14T17:00Z,7.5,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,451305,Conductivity,Measured,2005-06-14T17:00Z,7.0,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,451305,Conductivity,Measured,2005-07-14T17:00Z,9.0,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,451305,Conductivity,Measured,2005-08-14T17:00Z,6.0,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,451305,Conductivity,Measured,2005-09-14T17:00Z,5.77,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,451305,Conductivity,Measured,2005-10-14T17:00Z,5.8,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,451305,Conductivity,Measured,2005-11-14T17:00Z,6.8,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,451305,Conductivity,Measured,2005-12-14T17:00Z,6.7,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,451305,Conductivity,Measured,2006-01-14T17:00Z,6.2,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,451305,Conductivity,Measured,2006-02-14T17:00Z,6.0,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,451305,Conductivity,Measured,2006-03-14T17:00Z,6.4,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,451305,Conductivity,Measured,2006-04-14T17:00Z,8.8,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,451305,Conductivity,Measured,2006-05-14T17:00Z,8.1,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,451305,Conductivity,Measured,2006-06-14T17:00Z,7.4,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,451305,Conductivity,Measured,2006-07-14T17:00Z,6.6,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,451305,Conductivity,Measured,2006-08-14T17:00Z,5.9,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,451305,Conductivity,Measured,2006-09-14T17:00Z,5.8,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,451305,Conductivity,Measured,2006-10-14T17:00Z,5.7,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,451305,Conductivity,Measured,2006-11-14T17:00Z,5.9,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,451305,Conductivity,Measured,2006-12-14T17:00Z,6.1,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,451305,Conductivity,Measured,2007-01-14T17:00Z,5.6,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,451305,Conductivity,Measured,2007-02-14T17:00Z,6.9,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,451305,Conductivity,Measured,2007-03-14T17:00Z,7.5,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,451305,Conductivity,Measured,2007-04-14T17:00Z,7.6,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,451305,Conductivity,Measured,2007-05-14T17:00Z,6.8,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,451305,Conductivity,Measured,2007-06-14T17:00Z,7.2,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,451305,Conductivity,Measured,2007-07-14T17:00Z,5.5,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,451305,Conductivity,Measured,2007-08-14T17:00Z,5.4,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,451305,Conductivity,Measured,2007-09-14T17:00Z,6.3,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,451305,Conductivity,Measured,2007-10-14T17:00Z,5.6,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,451305,Conductivity,Measured,2007-11-14T17:00Z,6.0,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,451305,Conductivity,Measured,2007-12-14T17:00Z,6.3,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,451305,Conductivity,Measured,2008-01-14T17:00Z,6.6,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,451305,Conductivity,Measured,2008-02-14T17:00Z,6.6,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,451305,Conductivity,Measured,2008-03-14T17:00Z,6.6,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,451305,Conductivity,Measured,2008-04-14T17:00Z,3.7,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,451305,Conductivity,Measured,2008-05-14T17:00Z,8.8,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,451305,Conductivity,Measured,2008-06-14T17:00Z,8.8,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,451305,Conductivity,Measured,2008-07-14T17:00Z,7.7,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,451305,Conductivity,Measured,2008-08-14T17:00Z,6.4,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,451305,Conductivity,Measured,2008-09-14T17:00Z,8.7,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,451305,Conductivity,Measured,2008-10-14T17:00Z,6.8,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,451305,Conductivity,Measured,2008-11-14T17:00Z,6.5,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,451305,Conductivity,Measured,2008-12-14T17:00Z,6.5,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,451305,Conductivity,Measured,2009-01-14T17:00Z,6.5,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,451305,Conductivity,Measured,2009-02-14T17:00Z,6.9,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,451305,Conductivity,Measured,2009-03-14T17:00Z,8.3,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,451305,Conductivity,Measured,2009-04-14T17:00Z,8.4,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,451305,Conductivity,Measured,2009-05-14T17:00Z,7.7,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,451305,Conductivity,Measured,2009-06-14T17:00Z,7.6,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,451305,Conductivity,Measured,2009-07-14T17:00Z,8.4,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,451305,Conductivity,Measured,2009-08-14T17:00Z,6.8,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,451305,Conductivity,Measured,2009-09-14T17:00Z,6.01,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,451305,Conductivity,Measured,2009-10-14T17:00Z,6.0,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,451305,Conductivity,Measured,2009-11-14T17:00Z,6.6,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,451305,Conductivity,Measured,2009-12-14T17:00Z,7.1,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,451305,Conductivity,Measured,2010-01-14T17:00Z,5.76,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,451305,Conductivity,Measured,2010-02-14T17:00Z,7.46,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,451305,Conductivity,Measured,2010-03-14T17:00Z,6.31,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,451305,Conductivity,Measured,2010-04-14T17:00Z,5.62,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,451305,Conductivity,Measured,2010-05-14T17:00Z,7.71,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,451305,Conductivity,Measured,2010-06-14T17:00Z,8.99,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,451305,Conductivity,Measured,2010-07-14T17:00Z,8.13,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,451305,Conductivity,Measured,2010-08-14T17:00Z,7.32,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,451305,Conductivity,Measured,2010-09-14T17:00Z,8.91,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,451305,Conductivity,Measured,2010-10-14T17:00Z,3.75,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,451305,Conductivity,Measured,2010-11-14T17:00Z,4.02,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,451305,Conductivity,Measured,2010-12-14T17:00Z,4.3,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,451305,Conductivity,Measured,2011-01-14T17:00Z,7.27,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,451305,Conductivity,Measured,2011-02-14T17:00Z,6.88,mS/m,O,Raw - Not Yet Reviewed,Unverified data
