Country Code,Station Code,Parameter,Label,Timestamp (UTC+07:00),Value,Unit,Observed or Estimated,Approval Level,Grade
VN,988103,Conductivity,Measured,1986-03-14T17:00Z,17.0,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988103,Conductivity,Measured,1986-04-14T17:00Z,21.5,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988103,Conductivity,Measured,1986-05-14T17:00Z,35.4,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988103,Conductivity,Measured,1986-06-14T17:00Z,18.3,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988103,Conductivity,Measured,1986-07-14T17:00Z,18.9,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988103,Conductivity,Measured,1986-08-14T17:00Z,12.5,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988103,Conductivity,Measured,1986-09-14T17:00Z,10.5,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988103,Conductivity,Measured,1986-10-14T17:00Z,8.6,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988103,Conductivity,Measured,1986-11-14T17:00Z,7.7,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988103,Conductivity,Measured,1986-12-14T17:00Z,10.1,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988103,Conductivity,Measured,1987-01-14T17:00Z,14.6,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988103,Conductivity,Measured,1987-02-14T17:00Z,13.2,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988103,Conductivity,Measured,1987-03-14T17:00Z,16.6,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988103,Conductivity,Measured,1987-04-14T17:00Z,20.3,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988103,Conductivity,Measured,1987-05-14T17:00Z,21.3,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988103,Conductivity,Measured,1987-06-14T17:00Z,22.5,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988103,Conductivity,Measured,1987-07-14T17:00Z,10.5,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988103,Conductivity,Measured,1987-08-14T17:00Z,15.9,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988103,Conductivity,Measured,1987-09-14T17:00Z,15.0,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988103,Conductivity,Measured,1987-10-14T17:00Z,8.5,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988103,Conductivity,Measured,1987-11-14T17:00Z,6.2,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988103,Conductivity,Measured,1987-12-14T17:00Z,10.2,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988103,Conductivity,Measured,1988-01-14T17:00Z,12.4,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988103,Conductivity,Measured,1988-02-14T17:00Z,15.8,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988103,Conductivity,Measured,1988-03-14T17:00Z,18.8,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988103,Conductivity,Measured,1988-04-14T17:00Z,22.0,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988103,Conductivity,Measured,1988-05-14T17:00Z,63.5,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988103,Conductivity,Measured,1988-06-14T17:00Z,20.4,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988103,Conductivity,Measured,1988-12-14T17:00Z,12.9,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988103,Conductivity,Measured,1989-05-14T17:00Z,29.1,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988103,Conductivity,Measured,1989-06-14T17:00Z,15.1,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988103,Conductivity,Measured,1989-07-14T17:00Z,14.4,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988103,Conductivity,Measured,1989-12-14T17:00Z,10.9,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988103,Conductivity,Measured,1990-05-14T17:00Z,24.1,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988103,Conductivity,Measured,1990-07-14T17:00Z,14.9,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988103,Conductivity,Measured,1990-08-14T17:00Z,16.1,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988103,Conductivity,Measured,1990-12-14T17:00Z,12.6,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988103,Conductivity,Measured,1991-06-14T17:00Z,20.3,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988103,Conductivity,Measured,1991-08-14T17:00Z,15.7,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988103,Conductivity,Measured,1992-06-14T17:00Z,25.8,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988103,Conductivity,Measured,1992-07-14T17:00Z,12.8,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988103,Conductivity,Measured,1992-08-14T17:00Z,12.4,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988103,Conductivity,Measured,1993-06-14T17:00Z,6.4,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988103,Conductivity,Measured,1993-07-14T17:00Z,12.8,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988103,Conductivity,Measured,1993-12-14T17:00Z,13.5,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988103,Conductivity,Measured,1994-06-14T17:00Z,16.4,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988103,Conductivity,Measured,1994-08-14T17:00Z,11.7,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988103,Conductivity,Measured,1994-12-14T17:00Z,11.0,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988103,Conductivity,Measured,1995-06-14T17:00Z,20.4,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988103,Conductivity,Measured,1995-07-14T17:00Z,14.9,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988103,Conductivity,Measured,1995-08-14T17:00Z,13.2,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988103,Conductivity,Measured,1995-12-14T17:00Z,11.6,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988103,Conductivity,Measured,1996-06-14T17:00Z,12.0,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988103,Conductivity,Measured,1996-07-14T17:00Z,20.4,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988103,Conductivity,Measured,1996-08-14T17:00Z,12.4,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988103,Conductivity,Measured,1996-12-14T17:00Z,9.5,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988103,Conductivity,Measured,1997-06-14T17:00Z,17.2,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988103,Conductivity,Measured,1997-07-14T17:00Z,13.4,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988103,Conductivity,Measured,1997-08-14T17:00Z,11.4,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988103,Conductivity,Measured,1997-12-14T17:00Z,12.2,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988103,Conductivity,Measured,1998-06-14T17:00Z,104.2,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988103,Conductivity,Measured,1998-07-14T17:00Z,14.1,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988103,Conductivity,Measured,1998-08-14T17:00Z,15.3,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988103,Conductivity,Measured,1998-12-14T17:00Z,66.7,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988103,Conductivity,Measured,1999-06-14T17:00Z,17.3,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988103,Conductivity,Measured,1999-07-14T17:00Z,13.4,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988103,Conductivity,Measured,1999-08-14T17:00Z,11.4,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988103,Conductivity,Measured,1999-12-14T17:00Z,12.6,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988103,Conductivity,Measured,2000-06-14T17:00Z,12.89,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988103,Conductivity,Measured,2000-07-14T17:00Z,10.03,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988103,Conductivity,Measured,2000-08-14T17:00Z,12.46,mS/m,O,Raw - Not Yet Reviewed,Unverified data
