Country Code,Station Code,Parameter,Label,Timestamp (UTC+07:00),Value,Unit,Observed or Estimated,Approval Level,Grade
VN,988104,Conductivity,Measured,1986-03-14T17:00Z,16.6,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988104,Conductivity,Measured,1986-04-14T17:00Z,20.1,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988104,Conductivity,Measured,1986-05-14T17:00Z,23.8,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988104,Conductivity,Measured,1986-06-14T17:00Z,13.7,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988104,Conductivity,Measured,1986-07-14T17:00Z,11.8,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988104,Conductivity,Measured,1986-08-14T17:00Z,9.9,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988104,Conductivity,Measured,1986-09-14T17:00Z,9.2,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988104,Conductivity,Measured,1986-10-14T17:00Z,10.3,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988104,Conductivity,Measured,1986-11-14T17:00Z,9.7,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988104,Conductivity,Measured,1986-12-14T17:00Z,11.0,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988104,Conductivity,Measured,1987-01-14T17:00Z,14.6,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988104,Conductivity,Measured,1987-02-14T17:00Z,14.9,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988104,Conductivity,Measured,1987-03-14T17:00Z,16.5,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988104,Conductivity,Measured,1987-04-14T17:00Z,19.8,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988104,Conductivity,Measured,1987-05-14T17:00Z,20.4,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988104,Conductivity,Measured,1987-06-14T17:00Z,21.3,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988104,Conductivity,Measured,1987-07-14T17:00Z,7.5,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988104,Conductivity,Measured,1987-08-14T17:00Z,14.2,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988104,Conductivity,Measured,1987-09-14T17:00Z,536.0,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988104,Conductivity,Measured,1987-10-14T17:00Z,12.4,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988104,Conductivity,Measured,1987-11-14T17:00Z,10.0,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988104,Conductivity,Measured,1987-12-14T17:00Z,12.9,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988104,Conductivity,Measured,1988-01-14T17:00Z,14.2,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988104,Conductivity,Measured,1988-02-14T17:00Z,15.9,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988104,Conductivity,Measured,1988-03-14T17:00Z,19.6,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988104,Conductivity,Measured,1988-04-14T17:00Z,21.0,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988104,Conductivity,Measured,1988-05-14T17:00Z,23.6,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988104,Conductivity,Measured,1988-06-14T17:00Z,11.4,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988104,Conductivity,Measured,1988-12-14T17:00Z,14.3,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988104,Conductivity,Measured,1989-05-14T17:00Z,23.0,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988104,Conductivity,Measured,1989-06-14T17:00Z,16.2,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988104,Conductivity,Measured,1989-07-14T17:00Z,14.9,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988104,Conductivity,Measured,1989-12-14T17:00Z,13.3,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988104,Conductivity,Measured,1990-05-14T17:00Z,20.1,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988104,Conductivity,Measured,1990-07-14T17:00Z,14.7,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988104,Conductivity,Measured,1990-08-14T17:00Z,12.6,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988104,Conductivity,Measured,1990-12-14T17:00Z,12.9,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988104,Conductivity,Measured,1991-06-14T17:00Z,16.0,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988104,Conductivity,Measured,1991-08-14T17:00Z,11.3,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988104,Conductivity,Measured,1992-06-14T17:00Z,42.6,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988104,Conductivity,Measured,1992-07-14T17:00Z,17.1,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988104,Conductivity,Measured,1992-08-14T17:00Z,18.5,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988104,Conductivity,Measured,1993-06-14T17:00Z,5.7,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988104,Conductivity,Measured,1993-07-14T17:00Z,13.1,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988104,Conductivity,Measured,1993-12-14T17:00Z,13.4,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988104,Conductivity,Measured,1994-06-14T17:00Z,21.8,mS/m,O,Raw - Not Yet Reviewed,Unverified data
