Country Code,Station Code,Parameter,Label,Timestamp (UTC+07:00),Value,Unit,Observed or Estimated,Approval Level,Grade
VN,988105,Conductivity,Measured,1986-03-14T17:00Z,17.4,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988105,Conductivity,Measured,1986-04-14T17:00Z,23.0,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988105,Conductivity,Measured,1986-05-14T17:00Z,69.5,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988105,Conductivity,Measured,1986-06-14T17:00Z,14.5,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988105,Conductivity,Measured,1986-07-14T17:00Z,13.3,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988105,Conductivity,Measured,1986-08-14T17:00Z,16.5,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988105,Conductivity,Measured,1986-09-14T17:00Z,10.2,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988105,Conductivity,Measured,1986-10-14T17:00Z,9.6,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988105,Conductivity,Measured,1986-11-14T17:00Z,9.2,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988105,Conductivity,Measured,1986-12-14T17:00Z,10.4,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988105,Conductivity,Measured,1987-01-14T17:00Z,14.9,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988105,Conductivity,Measured,1987-02-14T17:00Z,16.0,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988105,Conductivity,Measured,1987-03-14T17:00Z,16.5,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988105,Conductivity,Measured,1987-04-14T17:00Z,20.1,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988105,Conductivity,Measured,1987-05-14T17:00Z,21.6,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988105,Conductivity,Measured,1987-06-14T17:00Z,23.4,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988105,Conductivity,Measured,1987-07-14T17:00Z,8.2,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988105,Conductivity,Measured,1987-08-14T17:00Z,26.6,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988105,Conductivity,Measured,1987-09-14T17:00Z,11.7,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988105,Conductivity,Measured,1987-10-14T17:00Z,10.2,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988105,Conductivity,Measured,1987-11-14T17:00Z,13.0,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988105,Conductivity,Measured,1987-12-14T17:00Z,11.5,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988105,Conductivity,Measured,1988-01-14T17:00Z,19.4,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988105,Conductivity,Measured,1988-02-14T17:00Z,16.2,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988105,Conductivity,Measured,1988-03-14T17:00Z,20.4,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988105,Conductivity,Measured,1988-04-14T17:00Z,22.0,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988105,Conductivity,Measured,1988-05-14T17:00Z,134.6,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988105,Conductivity,Measured,1988-06-14T17:00Z,17.4,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988105,Conductivity,Measured,1988-12-14T17:00Z,15.8,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988105,Conductivity,Measured,1989-05-14T17:00Z,40.9,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988105,Conductivity,Measured,1989-06-14T17:00Z,14.1,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988105,Conductivity,Measured,1989-07-14T17:00Z,18.4,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988105,Conductivity,Measured,1989-12-14T17:00Z,12.2,mS/m,O,Raw - Not Yet Reviewed,Unverified data
