Country Code,Station Code,Parameter,Label,Timestamp (UTC+07:00),Value,Unit,Observed or Estimated,Approval Level,Grade
VN,988106,Conductivity,Measured,1986-03-14T17:00Z,18.7,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988106,Conductivity,Measured,1986-04-14T17:00Z,20.6,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988106,Conductivity,Measured,1986-05-14T17:00Z,77.1,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988106,Conductivity,Measured,1986-06-14T17:00Z,30.7,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988106,Conductivity,Measured,1986-07-14T17:00Z,12.6,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988106,Conductivity,Measured,1986-08-14T17:00Z,19.9,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988106,Conductivity,Measured,1986-09-14T17:00Z,11.7,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988106,Conductivity,Measured,1986-10-14T17:00Z,10.8,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988106,Conductivity,Measured,1986-11-14T17:00Z,9.6,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988106,Conductivity,Measured,1986-12-14T17:00Z,11.7,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988106,Conductivity,Measured,1987-01-14T17:00Z,19.1,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988106,Conductivity,Measured,1987-02-14T17:00Z,18.2,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988106,Conductivity,Measured,1987-03-14T17:00Z,16.3,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988106,Conductivity,Measured,1987-04-14T17:00Z,20.7,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988106,Conductivity,Measured,1987-05-14T17:00Z,26.2,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988106,Conductivity,Measured,1987-06-14T17:00Z,154.5,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988106,Conductivity,Measured,1987-07-14T17:00Z,12.4,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988106,Conductivity,Measured,1987-08-14T17:00Z,36.7,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988106,Conductivity,Measured,1987-09-14T17:00Z,19.9,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988106,Conductivity,Measured,1987-10-14T17:00Z,10.8,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988106,Conductivity,Measured,1987-11-14T17:00Z,11.9,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988106,Conductivity,Measured,1987-12-14T17:00Z,16.8,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988106,Conductivity,Measured,1988-01-14T17:00Z,44.5,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988106,Conductivity,Measured,1988-02-14T17:00Z,17.7,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988106,Conductivity,Measured,1988-03-14T17:00Z,20.6,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988106,Conductivity,Measured,1988-04-14T17:00Z,22.9,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988106,Conductivity,Measured,1988-05-14T17:00Z,125.9,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988106,Conductivity,Measured,1988-06-14T17:00Z,61.8,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988106,Conductivity,Measured,1988-12-14T17:00Z,19.4,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988106,Conductivity,Measured,1989-05-14T17:00Z,120.9,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988106,Conductivity,Measured,1989-06-14T17:00Z,14.9,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988106,Conductivity,Measured,1989-07-14T17:00Z,33.8,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988106,Conductivity,Measured,1989-12-14T17:00Z,13.5,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988106,Conductivity,Measured,1990-05-14T17:00Z,42.9,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988106,Conductivity,Measured,1990-07-14T17:00Z,19.3,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988106,Conductivity,Measured,1990-08-14T17:00Z,43.6,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988106,Conductivity,Measured,1990-12-14T17:00Z,12.8,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988106,Conductivity,Measured,1991-06-14T17:00Z,138.6,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988106,Conductivity,Measured,1991-08-14T17:00Z,36.5,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988106,Conductivity,Measured,1992-06-14T17:00Z,134.1,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988106,Conductivity,Measured,1992-07-14T17:00Z,51.0,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988106,Conductivity,Measured,1992-08-14T17:00Z,35.6,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988106,Conductivity,Measured,1993-06-14T17:00Z,110.0,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988106,Conductivity,Measured,1993-07-14T17:00Z,13.7,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988106,Conductivity,Measured,1993-12-14T17:00Z,16.8,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988106,Conductivity,Measured,1994-06-14T17:00Z,33.9,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988106,Conductivity,Measured,1994-08-14T17:00Z,9.5,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988106,Conductivity,Measured,1994-12-14T17:00Z,13.6,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988106,Conductivity,Measured,1995-06-14T17:00Z,21.1,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988106,Conductivity,Measured,1995-07-14T17:00Z,17.7,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988106,Conductivity,Measured,1995-08-14T17:00Z,34.6,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988106,Conductivity,Measured,1995-12-14T17:00Z,12.0,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988106,Conductivity,Measured,1996-06-14T17:00Z,45.7,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988106,Conductivity,Measured,1996-07-14T17:00Z,20.4,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988106,Conductivity,Measured,1996-08-14T17:00Z,14.4,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988106,Conductivity,Measured,1996-12-14T17:00Z,10.4,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988106,Conductivity,Measured,1997-06-14T17:00Z,16.4,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988106,Conductivity,Measured,1997-07-14T17:00Z,11.8,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988106,Conductivity,Measured,1997-08-14T17:00Z,21.2,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988106,Conductivity,Measured,1997-12-14T17:00Z,12.0,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988106,Conductivity,Measured,1998-06-14T17:00Z,77.5,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988106,Conductivity,Measured,1998-07-14T17:00Z,19.7,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988106,Conductivity,Measured,1998-08-14T17:00Z,16.2,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988106,Conductivity,Measured,1998-12-14T17:00Z,42.2,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988106,Conductivity,Measured,1999-06-14T17:00Z,16.4,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988106,Conductivity,Measured,1999-07-14T17:00Z,11.8,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988106,Conductivity,Measured,1999-08-14T17:00Z,21.4,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988106,Conductivity,Measured,1999-12-14T17:00Z,12.0,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988106,Conductivity,Measured,2000-06-14T17:00Z,11.05,mS/m,O,Raw - Not Yet Reviewed,Unverified data
