Country Code,Station Code,Parameter,Label,Timestamp (UTC+07:00),Value,Unit,Observed or Estimated,Approval Level,Grade
VN,988108,Conductivity,Measured,1986-03-14T17:00Z,24.3,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988108,Conductivity,Measured,1986-04-14T17:00Z,54.2,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988108,Conductivity,Measured,1986-05-14T17:00Z,47.7,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988108,Conductivity,Measured,1986-06-14T17:00Z,29.0,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988108,Conductivity,Measured,1986-07-14T17:00Z,16.9,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988108,Conductivity,Measured,1986-08-14T17:00Z,45.6,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988108,Conductivity,Measured,1986-09-14T17:00Z,19.2,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988108,Conductivity,Measured,1986-10-14T17:00Z,19.5,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988108,Conductivity,Measured,1986-11-14T17:00Z,9.1,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988108,Conductivity,Measured,1986-12-14T17:00Z,11.2,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988108,Conductivity,Measured,1987-01-14T17:00Z,24.3,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988108,Conductivity,Measured,1987-02-14T17:00Z,17.3,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988108,Conductivity,Measured,1987-03-14T17:00Z,21.3,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988108,Conductivity,Measured,1987-04-14T17:00Z,453.0,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988108,Conductivity,Measured,1987-05-14T17:00Z,933.0,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988108,Conductivity,Measured,1987-06-14T17:00Z,91.9,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988108,Conductivity,Measured,1987-07-14T17:00Z,49.8,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988108,Conductivity,Measured,1987-08-14T17:00Z,34.1,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988108,Conductivity,Measured,1987-09-14T17:00Z,48.0,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988108,Conductivity,Measured,1987-10-14T17:00Z,22.7,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988108,Conductivity,Measured,1987-11-14T17:00Z,13.3,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988108,Conductivity,Measured,1987-12-14T17:00Z,15.5,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988108,Conductivity,Measured,1988-01-14T17:00Z,26.9,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988108,Conductivity,Measured,1988-02-14T17:00Z,28.2,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988108,Conductivity,Measured,1988-03-14T17:00Z,24.2,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988108,Conductivity,Measured,1988-04-14T17:00Z,452.0,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988108,Conductivity,Measured,1988-05-14T17:00Z,60.0,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988108,Conductivity,Measured,1988-06-14T17:00Z,51.7,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988108,Conductivity,Measured,1988-12-14T17:00Z,22.4,mS/m,O,Raw - Not Yet Reviewed,Unverified data
