Country Code,Station Code,Parameter,Label,Timestamp (UTC+07:00),Value,Unit,Observed or Estimated,Approval Level,Grade
VN,988111,Conductivity,Measured,1986-03-14T17:00Z,25.6,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988111,Conductivity,Measured,1986-04-14T17:00Z,35.4,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988111,Conductivity,Measured,1986-05-14T17:00Z,53.4,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988111,Conductivity,Measured,1986-06-14T17:00Z,44.0,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988111,Conductivity,Measured,1986-07-14T17:00Z,41.6,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988111,Conductivity,Measured,1986-08-14T17:00Z,33.9,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988111,Conductivity,Measured,1986-09-14T17:00Z,31.6,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988111,Conductivity,Measured,1986-10-14T17:00Z,40.9,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988111,Conductivity,Measured,1986-11-14T17:00Z,14.6,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988111,Conductivity,Measured,1986-12-14T17:00Z,15.3,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988111,Conductivity,Measured,1987-01-14T17:00Z,23.2,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988111,Conductivity,Measured,1987-02-14T17:00Z,26.6,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988111,Conductivity,Measured,1987-03-14T17:00Z,33.2,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988111,Conductivity,Measured,1987-04-14T17:00Z,124.8,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988111,Conductivity,Measured,1987-05-14T17:00Z,85.1,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988111,Conductivity,Measured,1987-06-14T17:00Z,64.3,mS/m,O,Raw - Not Yet Reviewed,Unverified data
