Country Code,Station Code,Parameter,Label,Timestamp (UTC+07:00),Value,Unit,Observed or Estimated,Approval Level,Grade
VN,988113,Conductivity,Measured,1986-03-14T17:00Z,18.6,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988113,Conductivity,Measured,1986-04-14T17:00Z,29.8,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988113,Conductivity,Measured,1986-05-14T17:00Z,27.8,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988113,Conductivity,Measured,1986-06-14T17:00Z,121.3,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988113,Conductivity,Measured,1986-07-14T17:00Z,14.8,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988113,Conductivity,Measured,1986-08-14T17:00Z,38.7,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988113,Conductivity,Measured,1986-09-14T17:00Z,16.8,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988113,Conductivity,Measured,1986-10-14T17:00Z,29.5,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988113,Conductivity,Measured,1986-11-14T17:00Z,35.5,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988113,Conductivity,Measured,1986-12-14T17:00Z,26.0,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988113,Conductivity,Measured,1987-01-14T17:00Z,20.0,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988113,Conductivity,Measured,1987-02-14T17:00Z,27.7,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988113,Conductivity,Measured,1987-03-14T17:00Z,17.3,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988113,Conductivity,Measured,1987-04-14T17:00Z,138.4,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988113,Conductivity,Measured,1987-05-14T17:00Z,54.9,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988113,Conductivity,Measured,1987-06-14T17:00Z,59.8,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988113,Conductivity,Measured,1987-07-14T17:00Z,22.4,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988113,Conductivity,Measured,1987-08-14T17:00Z,34.1,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988113,Conductivity,Measured,1987-09-14T17:00Z,68.6,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988113,Conductivity,Measured,1987-10-14T17:00Z,56.4,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988113,Conductivity,Measured,1987-11-14T17:00Z,82.0,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988113,Conductivity,Measured,1987-12-14T17:00Z,69.0,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988113,Conductivity,Measured,1988-01-14T17:00Z,32.7,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988113,Conductivity,Measured,1988-02-14T17:00Z,29.9,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988113,Conductivity,Measured,1988-03-14T17:00Z,47.3,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988113,Conductivity,Measured,1988-04-14T17:00Z,214.0,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988113,Conductivity,Measured,1988-05-14T17:00Z,31.2,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988113,Conductivity,Measured,1988-06-14T17:00Z,36.1,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988113,Conductivity,Measured,1988-12-14T17:00Z,28.0,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988113,Conductivity,Measured,1989-05-14T17:00Z,119.0,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988113,Conductivity,Measured,1989-06-14T17:00Z,18.4,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988113,Conductivity,Measured,1989-07-14T17:00Z,19.3,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988113,Conductivity,Measured,1989-12-14T17:00Z,37.4,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988113,Conductivity,Measured,1990-05-14T17:00Z,319.0,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988113,Conductivity,Measured,1990-07-14T17:00Z,32.0,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988113,Conductivity,Measured,1990-08-14T17:00Z,42.1,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988113,Conductivity,Measured,1990-12-14T17:00Z,55.4,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988113,Conductivity,Measured,1991-06-14T17:00Z,34.2,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988113,Conductivity,Measured,1991-08-14T17:00Z,21.0,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988113,Conductivity,Measured,1992-06-14T17:00Z,91.0,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988113,Conductivity,Measured,1992-07-14T17:00Z,65.3,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988113,Conductivity,Measured,1992-08-14T17:00Z,33.6,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988113,Conductivity,Measured,1993-06-14T17:00Z,59.5,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988113,Conductivity,Measured,1993-07-14T17:00Z,116.0,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988113,Conductivity,Measured,1993-12-14T17:00Z,14.5,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988113,Conductivity,Measured,1994-06-14T17:00Z,105.5,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988113,Conductivity,Measured,1994-08-14T17:00Z,25.8,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988113,Conductivity,Measured,1994-12-14T17:00Z,12.7,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988113,Conductivity,Measured,1995-06-14T17:00Z,108.5,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988113,Conductivity,Measured,1995-07-14T17:00Z,117.6,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988113,Conductivity,Measured,1995-08-14T17:00Z,43.2,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988113,Conductivity,Measured,1995-12-14T17:00Z,25.8,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988113,Conductivity,Measured,1996-06-14T17:00Z,66.8,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988113,Conductivity,Measured,1996-07-14T17:00Z,27.2,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988113,Conductivity,Measured,1996-08-14T17:00Z,16.0,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988113,Conductivity,Measured,1996-12-14T17:00Z,11.4,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988113,Conductivity,Measured,1997-06-14T17:00Z,71.9,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988113,Conductivity,Measured,1997-07-14T17:00Z,75.0,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988113,Conductivity,Measured,1997-08-14T17:00Z,12.3,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988113,Conductivity,Measured,1997-12-14T17:00Z,14.3,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988113,Conductivity,Measured,1998-06-14T17:00Z,150.7,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988113,Conductivity,Measured,1998-07-14T17:00Z,41.1,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988113,Conductivity,Measured,1998-08-14T17:00Z,48.1,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988113,Conductivity,Measured,1998-12-14T17:00Z,83.0,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988113,Conductivity,Measured,1999-06-14T17:00Z,72.1,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988113,Conductivity,Measured,1999-07-14T17:00Z,74.2,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988113,Conductivity,Measured,1999-08-14T17:00Z,12.3,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988113,Conductivity,Measured,1999-12-14T17:00Z,15.2,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988113,Conductivity,Measured,2000-06-14T17:00Z,24.4,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988113,Conductivity,Measured,2000-07-14T17:00Z,16.26,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988113,Conductivity,Measured,2000-08-14T17:00Z,10.3,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988113,Conductivity,Measured,2000-12-14T17:00Z,9.91,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988113,Conductivity,Measured,2001-06-14T17:00Z,15.78,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988113,Conductivity,Measured,2001-07-14T17:00Z,16.2,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988113,Conductivity,Measured,2001-08-14T17:00Z,12.2,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988113,Conductivity,Measured,2002-06-14T17:00Z,67.0,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988113,Conductivity,Measured,2002-07-14T17:00Z,32.4,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988113,Conductivity,Measured,2002-08-14T17:00Z,40.2,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988113,Conductivity,Measured,2002-12-14T17:00Z,12.1,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988113,Conductivity,Measured,2003-06-14T17:00Z,67.6,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988113,Conductivity,Measured,2003-07-14T17:00Z,30.0,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988113,Conductivity,Measured,2003-08-14T17:00Z,39.3,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988113,Conductivity,Measured,2003-12-14T17:00Z,13.0,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988113,Conductivity,Measured,2004-07-14T17:00Z,48.0,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988113,Conductivity,Measured,2004-07-15T05:00Z,42.4,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988113,Conductivity,Measured,2004-08-14T17:00Z,28.2,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988113,Conductivity,Measured,2004-08-15T05:00Z,18.1,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988113,Conductivity,Measured,2004-09-14T17:00Z,25.1,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988113,Conductivity,Measured,2004-09-15T05:00Z,17.1,mS/m,O,Raw - Not Yet Reviewed,Unverified data
