Country Code,Station Code,Parameter,Label,Timestamp (UTC+07:00),Value,Unit,Observed or Estimated,Approval Level,Grade
VN,988114,Conductivity,Measured,2004-07-14T17:00Z,16.7,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988114,Conductivity,Measured,2004-08-14T17:00Z,11.9,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988114,Conductivity,Measured,2004-09-14T17:00Z,10.7,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988114,Conductivity,Measured,2004-10-14T17:00Z,11.3,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988114,Conductivity,Measured,2004-11-14T17:00Z,13.1,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988114,Conductivity,Measured,2004-12-14T17:00Z,15.1,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988114,Conductivity,Measured,2005-01-14T17:00Z,15.8,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988114,Conductivity,Measured,2005-02-14T17:00Z,18.8,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988114,Conductivity,Measured,2005-03-14T17:00Z,19.0,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988114,Conductivity,Measured,2005-04-14T17:00Z,28.0,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988114,Conductivity,Measured,2005-05-14T17:00Z,29.8,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988114,Conductivity,Measured,2005-06-14T17:00Z,21.6,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988114,Conductivity,Measured,2005-07-14T17:00Z,16.1,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988114,Conductivity,Measured,2005-08-14T17:00Z,13.5,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988114,Conductivity,Measured,2005-09-14T17:00Z,11.1,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988114,Conductivity,Measured,2005-10-14T17:00Z,11.3,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988114,Conductivity,Measured,2005-11-14T17:00Z,11.2,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988114,Conductivity,Measured,2005-12-14T17:00Z,11.5,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988114,Conductivity,Measured,2006-01-14T17:00Z,14.9,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988114,Conductivity,Measured,2006-02-14T17:00Z,15.0,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988114,Conductivity,Measured,2006-03-14T17:00Z,17.1,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988114,Conductivity,Measured,2006-04-14T17:00Z,33.5,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988114,Conductivity,Measured,2006-05-14T17:00Z,20.1,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988114,Conductivity,Measured,2006-06-14T17:00Z,20.4,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988114,Conductivity,Measured,2006-07-14T17:00Z,12.2,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988114,Conductivity,Measured,2006-08-14T17:00Z,8.6,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988114,Conductivity,Measured,2006-09-14T17:00Z,10.6,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988114,Conductivity,Measured,2006-10-14T17:00Z,8.3,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988114,Conductivity,Measured,2006-11-14T17:00Z,10.6,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988114,Conductivity,Measured,2006-12-14T17:00Z,14.5,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988114,Conductivity,Measured,2007-01-14T17:00Z,33.2,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988114,Conductivity,Measured,2007-02-14T17:00Z,14.7,mS/m,O,Raw - Not Yet Reviewed,Unverified data
