Country Code,Station Code,Parameter,Label,Timestamp (UTC+07:00),Value,Unit,Observed or Estimated,Approval Level,Grade
VN,988201,Conductivity,Measured,1988-07-14T17:00Z,118.0,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988201,Conductivity,Measured,1988-11-14T17:00Z,41.3,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988201,Conductivity,Measured,1988-12-14T17:00Z,508.0,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988201,Conductivity,Measured,1988-12-15T05:00Z,107.7,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988201,Conductivity,Measured,1989-01-14T17:00Z,728.0,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988201,Conductivity,Measured,1989-01-15T05:00Z,521.0,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988201,Conductivity,Measured,1989-02-14T17:00Z,1067.0,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988201,Conductivity,Measured,1989-02-15T05:00Z,374.0,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988201,Conductivity,Measured,1989-03-14T17:00Z,1906.0,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988201,Conductivity,Measured,1989-03-15T05:00Z,1468.0,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988201,Conductivity,Measured,1989-04-14T17:00Z,1853.0,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988201,Conductivity,Measured,1989-04-15T05:00Z,465.0,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988201,Conductivity,Measured,1989-05-14T17:00Z,336.0,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988201,Conductivity,Measured,1989-05-15T05:00Z,1787.0,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988201,Conductivity,Measured,1989-06-14T17:00Z,574.0,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988201,Conductivity,Measured,1989-06-15T05:00Z,265.0,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988201,Conductivity,Measured,1989-07-14T17:00Z,107.4,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988201,Conductivity,Measured,1989-07-15T05:00Z,100.3,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988201,Conductivity,Measured,1989-08-14T17:00Z,71.4,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988201,Conductivity,Measured,1989-08-15T05:00Z,80.5,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988201,Conductivity,Measured,1989-09-14T17:00Z,95.6,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988201,Conductivity,Measured,1989-09-15T05:00Z,49.1,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988201,Conductivity,Measured,1989-10-14T17:00Z,91.2,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988201,Conductivity,Measured,1989-10-15T05:00Z,94.8,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988201,Conductivity,Measured,1989-11-15T05:00Z,34.5,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988201,Conductivity,Measured,1989-12-14T17:00Z,236.0,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988201,Conductivity,Measured,1989-12-15T05:00Z,220.0,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988201,Conductivity,Measured,1990-02-14T17:00Z,923.0,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988201,Conductivity,Measured,1990-02-15T05:00Z,914.0,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988201,Conductivity,Measured,1990-03-14T17:00Z,1320.0,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988201,Conductivity,Measured,1990-03-15T05:00Z,1296.0,mS/m,O,Raw - Not Yet Reviewed,Unverified data
