Country Code,Station Code,Parameter,Label,Timestamp (UTC+07:00),Value,Unit,Observed or Estimated,Approval Level,Grade
VN,988205,Conductivity,Measured,1988-07-14T17:00Z,1610.0,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988205,Conductivity,Measured,1988-11-14T17:00Z,1317.0,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988205,Conductivity,Measured,1988-12-14T17:00Z,3100.0,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988205,Conductivity,Measured,1988-12-15T05:00Z,3220.0,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988205,Conductivity,Measured,1989-01-14T17:00Z,3190.0,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988205,Conductivity,Measured,1989-01-15T05:00Z,3030.0,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988205,Conductivity,Measured,1989-02-14T17:00Z,3580.0,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988205,Conductivity,Measured,1989-02-15T05:00Z,3660.0,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988205,Conductivity,Measured,1989-03-14T17:00Z,3980.0,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988205,Conductivity,Measured,1989-03-15T05:00Z,3890.0,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988205,Conductivity,Measured,1989-04-14T17:00Z,3960.0,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988205,Conductivity,Measured,1989-04-15T05:00Z,3910.0,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988205,Conductivity,Measured,1989-05-14T17:00Z,3750.0,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988205,Conductivity,Measured,1989-05-15T05:00Z,3980.0,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988205,Conductivity,Measured,1989-06-14T17:00Z,1463.0,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988205,Conductivity,Measured,1989-06-15T05:00Z,1606.0,mS/m,O,Raw - Not Yet Reviewed,Unverified data
