Country Code,Station Code,Parameter,Label,Timestamp (UTC+07:00),Value,Unit,Observed or Estimated,Approval Level,Grade
VN,988207,Conductivity,Measured,1988-07-14T17:00Z,646.0,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988207,Conductivity,Measured,1988-11-14T17:00Z,767.0,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988207,Conductivity,Measured,1988-12-14T17:00Z,3010.0,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988207,Conductivity,Measured,1988-12-15T05:00Z,3070.0,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988207,Conductivity,Measured,1989-01-14T17:00Z,3070.0,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988207,Conductivity,Measured,1989-01-15T05:00Z,3140.0,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988207,Conductivity,Measured,1989-02-14T17:00Z,3500.0,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988207,Conductivity,Measured,1989-02-15T05:00Z,3530.0,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988207,Conductivity,Measured,1989-03-14T17:00Z,3920.0,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988207,Conductivity,Measured,1989-03-15T05:00Z,3860.0,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988207,Conductivity,Measured,1989-04-14T17:00Z,3670.0,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988207,Conductivity,Measured,1989-04-15T05:00Z,3800.0,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988207,Conductivity,Measured,1989-05-14T17:00Z,3660.0,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988207,Conductivity,Measured,1989-05-15T05:00Z,3560.0,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988207,Conductivity,Measured,1989-06-14T17:00Z,1095.0,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988207,Conductivity,Measured,1989-06-15T05:00Z,1107.0,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988207,Conductivity,Measured,1989-07-14T17:00Z,1179.0,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988207,Conductivity,Measured,1989-07-15T05:00Z,814.0,mS/m,O,Raw - Not Yet Reviewed,Unverified data
