Country Code,Station Code,Parameter,Label,Timestamp (UTC+07:00),Value,Unit,Observed or Estimated,Approval Level,Grade
VN,988208,Conductivity,Measured,1988-07-14T17:00Z,166.6,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988208,Conductivity,Measured,1988-11-14T17:00Z,54.7,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988208,Conductivity,Measured,1988-12-14T17:00Z,2190.0,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988208,Conductivity,Measured,1988-12-15T05:00Z,2120.0,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988208,Conductivity,Measured,1989-01-14T17:00Z,2920.0,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988208,Conductivity,Measured,1989-01-15T05:00Z,2760.0,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988208,Conductivity,Measured,1989-02-14T17:00Z,3510.0,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988208,Conductivity,Measured,1989-02-15T05:00Z,3490.0,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988208,Conductivity,Measured,1989-03-14T17:00Z,4370.0,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988208,Conductivity,Measured,1989-03-15T05:00Z,4240.0,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988208,Conductivity,Measured,1989-04-14T17:00Z,1628.0,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988208,Conductivity,Measured,1989-04-15T05:00Z,2260.0,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988208,Conductivity,Measured,1989-05-14T17:00Z,1007.0,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988208,Conductivity,Measured,1989-05-15T05:00Z,1039.0,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988208,Conductivity,Measured,1989-06-14T17:00Z,303.0,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988208,Conductivity,Measured,1989-06-15T05:00Z,312.0,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988208,Conductivity,Measured,1989-07-14T17:00Z,174.0,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988208,Conductivity,Measured,1989-07-15T05:00Z,194.0,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988208,Conductivity,Measured,1989-08-14T17:00Z,131.0,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988208,Conductivity,Measured,1989-08-15T05:00Z,123.6,mS/m,O,Raw - Not Yet Reviewed,Unverified data
