Country Code,Station Code,Parameter,Label,Timestamp (UTC+07:00),Value,Unit,Observed or Estimated,Approval Level,Grade
VN,988209,Conductivity,Measured,1988-07-14T17:00Z,142.8,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988209,Conductivity,Measured,1988-11-14T17:00Z,53.7,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988209,Conductivity,Measured,1988-12-14T17:00Z,1514.0,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988209,Conductivity,Measured,1988-12-15T05:00Z,1390.0,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988209,Conductivity,Measured,1989-01-14T17:00Z,2560.0,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988209,Conductivity,Measured,1989-01-15T05:00Z,2520.0,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988209,Conductivity,Measured,1989-02-14T17:00Z,3370.0,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988209,Conductivity,Measured,1989-02-15T05:00Z,3360.0,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988209,Conductivity,Measured,1989-03-14T17:00Z,3820.0,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988209,Conductivity,Measured,1989-03-15T05:00Z,3660.0,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988209,Conductivity,Measured,1989-04-14T17:00Z,1641.0,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988209,Conductivity,Measured,1989-04-15T05:00Z,1305.0,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988209,Conductivity,Measured,1989-05-14T17:00Z,1032.0,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988209,Conductivity,Measured,1989-05-15T05:00Z,774.0,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988209,Conductivity,Measured,1989-06-14T17:00Z,260.0,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988209,Conductivity,Measured,1989-06-15T05:00Z,271.0,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988209,Conductivity,Measured,1989-07-14T17:00Z,202.0,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988209,Conductivity,Measured,1989-07-15T05:00Z,202.0,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988209,Conductivity,Measured,1989-08-14T17:00Z,107.0,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988209,Conductivity,Measured,1989-08-15T05:00Z,100.9,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988209,Conductivity,Measured,1989-09-14T17:00Z,77.9,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988209,Conductivity,Measured,1989-09-15T05:00Z,72.3,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988209,Conductivity,Measured,1989-10-14T17:00Z,102.0,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988209,Conductivity,Measured,1989-10-15T05:00Z,101.0,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988209,Conductivity,Measured,1989-11-14T17:00Z,123.0,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988209,Conductivity,Measured,1989-11-15T05:00Z,111.9,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988209,Conductivity,Measured,1989-12-14T17:00Z,1240.0,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988209,Conductivity,Measured,1989-12-15T05:00Z,1112.0,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988209,Conductivity,Measured,1990-01-14T17:00Z,2740.0,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988209,Conductivity,Measured,1990-01-15T05:00Z,2690.0,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988209,Conductivity,Measured,1990-02-14T17:00Z,3540.0,mS/m,O,Raw - Not Yet Reviewed,Unverified data
