Country Code,Station Code,Parameter,Label,Timestamp (UTC+07:00),Value,Unit,Observed or Estimated,Approval Level,Grade
VN,988211,Conductivity,Measured,1988-07-14T17:00Z,411.0,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988211,Conductivity,Measured,1988-11-14T17:00Z,84.3,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988211,Conductivity,Measured,1988-12-14T17:00Z,233.0,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988211,Conductivity,Measured,1988-12-15T05:00Z,307.0,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988211,Conductivity,Measured,1989-01-14T17:00Z,760.0,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988211,Conductivity,Measured,1989-01-15T05:00Z,669.0,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988211,Conductivity,Measured,1989-02-14T17:00Z,1680.0,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988211,Conductivity,Measured,1989-02-15T05:00Z,1652.0,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988211,Conductivity,Measured,1989-03-14T17:00Z,2520.0,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988211,Conductivity,Measured,1989-03-15T05:00Z,2640.0,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988211,Conductivity,Measured,1989-04-14T17:00Z,2560.0,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988211,Conductivity,Measured,1989-04-15T05:00Z,2410.0,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988211,Conductivity,Measured,1989-05-14T17:00Z,1766.0,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988211,Conductivity,Measured,1989-05-15T05:00Z,1764.0,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988211,Conductivity,Measured,1989-06-14T17:00Z,472.0,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988211,Conductivity,Measured,1989-06-15T05:00Z,382.0,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988211,Conductivity,Measured,1989-07-14T17:00Z,309.0,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988211,Conductivity,Measured,1989-07-15T05:00Z,314.0,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988211,Conductivity,Measured,1989-08-14T17:00Z,167.0,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988211,Conductivity,Measured,1989-08-15T05:00Z,208.0,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988211,Conductivity,Measured,1989-09-14T17:00Z,98.2,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988211,Conductivity,Measured,1989-09-15T05:00Z,99.4,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988211,Conductivity,Measured,1989-10-14T17:00Z,78.2,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988211,Conductivity,Measured,1989-10-15T05:00Z,79.7,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988211,Conductivity,Measured,1989-11-14T17:00Z,76.8,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988211,Conductivity,Measured,1989-11-15T05:00Z,72.1,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988211,Conductivity,Measured,1989-12-14T17:00Z,243.0,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988211,Conductivity,Measured,1989-12-15T05:00Z,132.9,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988211,Conductivity,Measured,1990-01-14T17:00Z,845.0,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988211,Conductivity,Measured,1990-01-15T05:00Z,687.0,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988211,Conductivity,Measured,1990-02-14T17:00Z,1760.0,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988211,Conductivity,Measured,1990-02-15T05:00Z,1840.0,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988211,Conductivity,Measured,1990-03-14T17:00Z,2460.0,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988211,Conductivity,Measured,1990-03-15T05:00Z,2730.0,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988211,Conductivity,Measured,1990-04-14T17:00Z,2770.0,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988211,Conductivity,Measured,1990-04-15T05:00Z,2440.0,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988211,Conductivity,Measured,1990-05-14T17:00Z,2400.0,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988211,Conductivity,Measured,1990-05-15T05:00Z,2250.0,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988211,Conductivity,Measured,1990-07-14T17:00Z,401.0,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988211,Conductivity,Measured,1990-07-15T05:00Z,443.0,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988211,Conductivity,Measured,1990-08-14T17:00Z,359.0,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988211,Conductivity,Measured,1990-08-15T05:00Z,411.0,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988211,Conductivity,Measured,1990-09-14T17:00Z,140.0,mS/m,O,Raw - Not Yet Reviewed,Unverified data
