Country Code,Station Code,Parameter,Label,Timestamp (UTC+07:00),Value,Unit,Observed or Estimated,Approval Level,Grade
VN,988212,Conductivity,Measured,1988-07-14T17:00Z,288.0,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988212,Conductivity,Measured,1988-11-14T17:00Z,108.2,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988212,Conductivity,Measured,1988-12-14T17:00Z,304.0,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988212,Conductivity,Measured,1988-12-15T05:00Z,308.0,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988212,Conductivity,Measured,1989-01-14T17:00Z,709.0,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988212,Conductivity,Measured,1989-01-15T05:00Z,716.0,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988212,Conductivity,Measured,1989-02-14T17:00Z,1632.0,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988212,Conductivity,Measured,1989-02-15T05:00Z,1603.0,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988212,Conductivity,Measured,1989-03-14T17:00Z,2420.0,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988212,Conductivity,Measured,1989-03-15T05:00Z,2500.0,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988212,Conductivity,Measured,1989-04-14T17:00Z,2610.0,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988212,Conductivity,Measured,1989-04-15T05:00Z,2010.0,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988212,Conductivity,Measured,1989-05-14T17:00Z,1294.0,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988212,Conductivity,Measured,1989-05-15T05:00Z,1329.0,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988212,Conductivity,Measured,1989-06-14T17:00Z,564.0,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988212,Conductivity,Measured,1989-06-15T05:00Z,554.0,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988212,Conductivity,Measured,1989-07-14T17:00Z,340.0,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988212,Conductivity,Measured,1989-07-15T05:00Z,345.4,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988212,Conductivity,Measured,1989-08-14T17:00Z,217.0,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988212,Conductivity,Measured,1989-08-15T05:00Z,199.0,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988212,Conductivity,Measured,1989-09-14T17:00Z,173.7,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988212,Conductivity,Measured,1989-09-15T05:00Z,158.0,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988212,Conductivity,Measured,1989-10-14T17:00Z,101.0,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988212,Conductivity,Measured,1989-10-15T05:00Z,99.7,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988212,Conductivity,Measured,1989-11-14T17:00Z,93.8,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988212,Conductivity,Measured,1989-11-15T05:00Z,94.1,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988212,Conductivity,Measured,1989-12-14T17:00Z,274.0,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988212,Conductivity,Measured,1989-12-15T05:00Z,296.0,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988212,Conductivity,Measured,1990-01-14T17:00Z,882.0,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988212,Conductivity,Measured,1990-01-15T05:00Z,900.0,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988212,Conductivity,Measured,1990-02-14T17:00Z,1770.0,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988212,Conductivity,Measured,1990-02-15T05:00Z,1770.0,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988212,Conductivity,Measured,1990-03-14T17:00Z,2180.0,mS/m,O,Raw - Not Yet Reviewed,Unverified data
