Country Code,Station Code,Parameter,Label,Timestamp (UTC+07:00),Value,Unit,Observed or Estimated,Approval Level,Grade
VN,988213,Conductivity,Measured,1988-07-14T17:00Z,17.2,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988213,Conductivity,Measured,1988-11-14T17:00Z,12.1,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988213,Conductivity,Measured,1988-12-14T17:00Z,14.1,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988213,Conductivity,Measured,1988-12-15T05:00Z,13.3,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988213,Conductivity,Measured,1989-01-14T17:00Z,15.6,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988213,Conductivity,Measured,1989-01-15T05:00Z,14.7,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988213,Conductivity,Measured,1989-02-14T17:00Z,18.7,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988213,Conductivity,Measured,1989-02-15T05:00Z,21.5,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988213,Conductivity,Measured,1989-03-14T17:00Z,25.5,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988213,Conductivity,Measured,1989-03-15T05:00Z,24.9,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988213,Conductivity,Measured,1989-04-14T17:00Z,35.2,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988213,Conductivity,Measured,1989-04-15T05:00Z,30.0,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988213,Conductivity,Measured,1989-05-14T17:00Z,83.1,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988213,Conductivity,Measured,1989-05-15T05:00Z,70.8,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988213,Conductivity,Measured,1989-06-14T17:00Z,56.7,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988213,Conductivity,Measured,1989-06-15T05:00Z,45.0,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988213,Conductivity,Measured,1989-07-14T17:00Z,35.0,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988213,Conductivity,Measured,1989-07-15T05:00Z,17.3,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988213,Conductivity,Measured,1989-08-14T17:00Z,13.8,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988213,Conductivity,Measured,1989-08-15T05:00Z,13.2,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988213,Conductivity,Measured,1989-09-14T17:00Z,12.6,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988213,Conductivity,Measured,1989-09-15T05:00Z,11.7,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988213,Conductivity,Measured,1989-10-14T17:00Z,13.0,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988213,Conductivity,Measured,1989-10-15T05:00Z,12.7,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988213,Conductivity,Measured,1989-11-14T17:00Z,13.2,mS/m,O,Raw - Not Yet Reviewed,Unverified data
