Country Code,Station Code,Parameter,Label,Timestamp (UTC+07:00),Value,Unit,Observed or Estimated,Approval Level,Grade
VN,988214,Conductivity,Measured,1990-03-14T17:00Z,4180.0,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988214,Conductivity,Measured,1990-03-15T05:00Z,4080.0,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988214,Conductivity,Measured,1990-04-14T17:00Z,4970.0,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988214,Conductivity,Measured,1990-04-15T05:00Z,4660.0,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988214,Conductivity,Measured,1990-05-14T17:00Z,4300.0,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988214,Conductivity,Measured,1990-05-15T05:00Z,4480.0,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988214,Conductivity,Measured,1990-07-14T17:00Z,1081.0,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988214,Conductivity,Measured,1990-07-15T05:00Z,1231.0,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988214,Conductivity,Measured,1990-08-14T17:00Z,585.0,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988214,Conductivity,Measured,1990-08-15T05:00Z,606.0,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988214,Conductivity,Measured,1990-09-14T17:00Z,952.0,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988214,Conductivity,Measured,1990-09-15T05:00Z,431.0,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988214,Conductivity,Measured,1990-10-14T17:00Z,463.0,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988214,Conductivity,Measured,1990-10-15T05:00Z,462.0,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988214,Conductivity,Measured,1990-11-14T17:00Z,702.0,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988214,Conductivity,Measured,1990-11-15T05:00Z,779.0,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988214,Conductivity,Measured,1990-12-14T17:00Z,2760.0,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988214,Conductivity,Measured,1990-12-15T05:00Z,2540.0,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988214,Conductivity,Measured,1991-01-14T17:00Z,2960.0,mS/m,O,Raw - Not Yet Reviewed,Unverified data
