Country Code,Station Code,Parameter,Label,Timestamp (UTC+07:00),Value,Unit,Observed or Estimated,Approval Level,Grade
VN,988303,Conductivity,Measured,1991-08-14T17:00Z,11.0,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988303,Conductivity,Measured,1991-08-15T05:00Z,11.0,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988303,Conductivity,Measured,1991-09-14T17:00Z,10.9,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988303,Conductivity,Measured,1991-09-15T05:00Z,11.1,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988303,Conductivity,Measured,1991-10-14T17:00Z,11.5,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988303,Conductivity,Measured,1991-10-15T05:00Z,11.5,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988303,Conductivity,Measured,1991-11-14T17:00Z,10.6,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988303,Conductivity,Measured,1991-11-15T05:00Z,10.6,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988303,Conductivity,Measured,1991-12-14T17:00Z,11.4,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988303,Conductivity,Measured,1991-12-15T05:00Z,11.4,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988303,Conductivity,Measured,1992-01-14T17:00Z,12.5,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988303,Conductivity,Measured,1992-01-15T05:00Z,12.2,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988303,Conductivity,Measured,1992-02-14T17:00Z,16.2,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988303,Conductivity,Measured,1992-02-15T05:00Z,14.0,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988303,Conductivity,Measured,1992-03-14T17:00Z,16.9,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988303,Conductivity,Measured,1992-03-15T05:00Z,16.9,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988303,Conductivity,Measured,1992-04-14T17:00Z,19.0,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988303,Conductivity,Measured,1992-04-15T05:00Z,18.8,mS/m,O,Raw - Not Yet Reviewed,Unverified data
