Country Code,Station Code,Parameter,Label,Timestamp (UTC+07:00),Value,Unit,Observed or Estimated,Approval Level,Grade
VN,988304,Conductivity,Measured,1991-08-14T17:00Z,16.8,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988304,Conductivity,Measured,1991-08-15T05:00Z,16.1,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988304,Conductivity,Measured,1991-09-14T17:00Z,11.0,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988304,Conductivity,Measured,1991-09-15T05:00Z,11.3,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988304,Conductivity,Measured,1991-10-14T17:00Z,8.8,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988304,Conductivity,Measured,1991-10-15T05:00Z,8.8,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988304,Conductivity,Measured,1991-11-14T17:00Z,8.8,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988304,Conductivity,Measured,1991-11-15T05:00Z,8.8,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988304,Conductivity,Measured,1991-12-14T17:00Z,9.3,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988304,Conductivity,Measured,1991-12-15T05:00Z,9.7,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988304,Conductivity,Measured,1992-01-14T17:00Z,13.9,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988304,Conductivity,Measured,1992-01-15T05:00Z,11.5,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988304,Conductivity,Measured,1992-02-14T17:00Z,12.3,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988304,Conductivity,Measured,1992-02-15T05:00Z,12.9,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988304,Conductivity,Measured,1992-03-14T17:00Z,17.4,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988304,Conductivity,Measured,1992-03-15T05:00Z,14.2,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988304,Conductivity,Measured,1992-05-14T17:00Z,27.7,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988304,Conductivity,Measured,1992-05-15T05:00Z,25.5,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988304,Conductivity,Measured,1992-06-14T17:00Z,20.4,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988304,Conductivity,Measured,1992-06-15T05:00Z,22.5,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988304,Conductivity,Measured,1992-07-14T17:00Z,20.1,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988304,Conductivity,Measured,1992-07-15T05:00Z,27.4,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988304,Conductivity,Measured,1992-08-14T17:00Z,14.9,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988304,Conductivity,Measured,1992-08-15T05:00Z,16.3,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988304,Conductivity,Measured,1992-09-14T17:00Z,13.6,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988304,Conductivity,Measured,1992-09-15T05:00Z,13.7,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988304,Conductivity,Measured,1992-10-14T17:00Z,8.3,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988304,Conductivity,Measured,1992-10-15T05:00Z,8.4,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988304,Conductivity,Measured,1992-11-14T17:00Z,8.7,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988304,Conductivity,Measured,1992-11-15T05:00Z,8.8,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988304,Conductivity,Measured,1992-12-14T17:00Z,11.2,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988304,Conductivity,Measured,1992-12-15T05:00Z,11.5,mS/m,O,Raw - Not Yet Reviewed,Unverified data
