Country Code,Station Code,Parameter,Label,Timestamp (UTC+07:00),Value,Unit,Observed or Estimated,Approval Level,Grade
VN,988306,Conductivity,Measured,2001-01-14T17:00Z,10.88,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988306,Conductivity,Measured,2001-01-15T05:00Z,10.76,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988306,Conductivity,Measured,2001-02-14T17:00Z,13.19,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988306,Conductivity,Measured,2001-02-15T05:00Z,13.18,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988306,Conductivity,Measured,2001-03-14T17:00Z,14.65,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988306,Conductivity,Measured,2001-03-15T05:00Z,15.14,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988306,Conductivity,Measured,2001-04-14T17:00Z,20.9,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988306,Conductivity,Measured,2001-04-15T05:00Z,21.0,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988306,Conductivity,Measured,2001-05-14T17:00Z,19.15,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988306,Conductivity,Measured,2001-05-15T05:00Z,19.14,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988306,Conductivity,Measured,2001-06-14T17:00Z,17.83,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988306,Conductivity,Measured,2001-06-15T05:00Z,17.98,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988306,Conductivity,Measured,2001-07-14T17:00Z,12.74,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988306,Conductivity,Measured,2001-07-15T05:00Z,12.44,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988306,Conductivity,Measured,2001-08-14T17:00Z,12.34,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988306,Conductivity,Measured,2001-08-15T05:00Z,12.26,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988306,Conductivity,Measured,2001-09-14T17:00Z,9.58,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988306,Conductivity,Measured,2001-09-15T05:00Z,9.58,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988306,Conductivity,Measured,2001-10-14T17:00Z,10.3,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988306,Conductivity,Measured,2001-10-15T05:00Z,10.34,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988306,Conductivity,Measured,2001-11-14T17:00Z,9.73,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988306,Conductivity,Measured,2001-11-15T05:00Z,9.69,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988306,Conductivity,Measured,2001-12-14T17:00Z,10.18,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988306,Conductivity,Measured,2001-12-15T05:00Z,10.16,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988306,Conductivity,Measured,2002-01-14T17:00Z,12.18,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988306,Conductivity,Measured,2002-01-15T05:00Z,12.32,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988306,Conductivity,Measured,2002-02-14T17:00Z,13.67,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988306,Conductivity,Measured,2002-02-15T05:00Z,13.36,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988306,Conductivity,Measured,2002-03-14T17:00Z,17.22,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988306,Conductivity,Measured,2002-03-15T05:00Z,16.62,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988306,Conductivity,Measured,2002-04-14T17:00Z,25.1,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988306,Conductivity,Measured,2002-04-15T05:00Z,25.2,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988306,Conductivity,Measured,2002-05-14T17:00Z,21.3,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988306,Conductivity,Measured,2002-05-15T05:00Z,21.0,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988306,Conductivity,Measured,2002-07-14T17:00Z,11.36,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988306,Conductivity,Measured,2002-07-15T05:00Z,11.57,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988306,Conductivity,Measured,2002-08-14T17:00Z,13.45,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988306,Conductivity,Measured,2002-08-15T05:00Z,13.39,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988306,Conductivity,Measured,2002-09-14T17:00Z,12.41,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988306,Conductivity,Measured,2002-09-15T05:00Z,12.47,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988306,Conductivity,Measured,2002-10-14T17:00Z,10.27,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988306,Conductivity,Measured,2002-10-15T05:00Z,9.93,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988306,Conductivity,Measured,2002-11-14T17:00Z,10.89,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988306,Conductivity,Measured,2002-11-15T05:00Z,10.97,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988306,Conductivity,Measured,2002-12-14T17:00Z,11.2,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988306,Conductivity,Measured,2002-12-15T05:00Z,11.01,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988306,Conductivity,Measured,2003-01-14T17:00Z,11.92,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988306,Conductivity,Measured,2003-01-15T05:00Z,12.27,mS/m,O,Raw - Not Yet Reviewed,Unverified data
