Country Code,Station Code,Parameter,Label,Timestamp (UTC+07:00),Value,Unit,Observed or Estimated,Approval Level,Grade
VN,988307,Conductivity,Measured,1991-08-14T17:00Z,13.5,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988307,Conductivity,Measured,1991-08-15T05:00Z,13.8,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988307,Conductivity,Measured,1991-09-14T17:00Z,13.8,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988307,Conductivity,Measured,1991-09-15T05:00Z,13.9,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988307,Conductivity,Measured,1991-10-14T17:00Z,10.5,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988307,Conductivity,Measured,1991-10-15T05:00Z,10.5,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988307,Conductivity,Measured,1991-11-14T17:00Z,10.7,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988307,Conductivity,Measured,1991-11-15T05:00Z,10.6,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988307,Conductivity,Measured,1991-12-14T17:00Z,11.8,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988307,Conductivity,Measured,1991-12-15T05:00Z,11.8,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988307,Conductivity,Measured,1992-01-14T17:00Z,16.0,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988307,Conductivity,Measured,1992-01-15T05:00Z,16.8,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988307,Conductivity,Measured,1992-02-14T17:00Z,17.6,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988307,Conductivity,Measured,1992-02-15T05:00Z,19.0,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988307,Conductivity,Measured,1992-03-14T17:00Z,19.4,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988307,Conductivity,Measured,1992-03-15T05:00Z,19.7,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988307,Conductivity,Measured,1992-04-14T17:00Z,22.2,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988307,Conductivity,Measured,1992-04-15T05:00Z,22.1,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988307,Conductivity,Measured,1992-05-14T17:00Z,36.9,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988307,Conductivity,Measured,1992-05-15T05:00Z,37.1,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988307,Conductivity,Measured,1992-06-14T17:00Z,35.9,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988307,Conductivity,Measured,1992-06-15T05:00Z,36.3,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988307,Conductivity,Measured,1992-07-14T17:00Z,23.7,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988307,Conductivity,Measured,1992-07-15T05:00Z,21.6,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988307,Conductivity,Measured,1992-08-14T17:00Z,23.3,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988307,Conductivity,Measured,1992-08-15T05:00Z,23.6,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988307,Conductivity,Measured,1992-09-14T17:00Z,13.1,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988307,Conductivity,Measured,1992-09-15T05:00Z,12.8,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988307,Conductivity,Measured,1992-10-14T17:00Z,9.6,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988307,Conductivity,Measured,1992-10-15T05:00Z,9.5,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988307,Conductivity,Measured,1992-11-14T17:00Z,10.8,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988307,Conductivity,Measured,1992-11-15T05:00Z,10.9,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988307,Conductivity,Measured,1992-12-14T17:00Z,13.6,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988307,Conductivity,Measured,1992-12-15T05:00Z,13.7,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988307,Conductivity,Measured,1993-01-14T17:00Z,16.8,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988307,Conductivity,Measured,1993-01-15T05:00Z,16.9,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988307,Conductivity,Measured,1993-02-14T17:00Z,18.0,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988307,Conductivity,Measured,1993-02-15T05:00Z,18.4,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988307,Conductivity,Measured,1993-03-15T05:00Z,20.6,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988307,Conductivity,Measured,1993-04-14T17:00Z,34.0,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988307,Conductivity,Measured,1993-04-15T05:00Z,34.4,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988307,Conductivity,Measured,1993-05-14T17:00Z,39.5,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988307,Conductivity,Measured,1993-05-15T05:00Z,39.6,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988307,Conductivity,Measured,1993-06-14T17:00Z,36.8,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988307,Conductivity,Measured,1993-06-15T05:00Z,36.8,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988307,Conductivity,Measured,1993-08-14T17:00Z,17.6,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988307,Conductivity,Measured,1993-08-15T05:00Z,20.7,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988307,Conductivity,Measured,1993-09-14T17:00Z,12.9,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988307,Conductivity,Measured,1993-09-15T05:00Z,12.9,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988307,Conductivity,Measured,1993-10-14T17:00Z,11.7,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988307,Conductivity,Measured,1993-10-15T05:00Z,11.7,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988307,Conductivity,Measured,1993-11-14T17:00Z,11.1,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988307,Conductivity,Measured,1993-11-15T05:00Z,10.6,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988307,Conductivity,Measured,1993-12-14T17:00Z,12.3,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988307,Conductivity,Measured,1993-12-15T05:00Z,12.4,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988307,Conductivity,Measured,1994-01-14T17:00Z,14.9,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988307,Conductivity,Measured,1994-01-15T05:00Z,15.1,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988307,Conductivity,Measured,1994-02-14T17:00Z,16.9,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988307,Conductivity,Measured,1994-02-15T05:00Z,17.0,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988307,Conductivity,Measured,1994-03-14T17:00Z,20.8,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988307,Conductivity,Measured,1994-03-15T05:00Z,20.7,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988307,Conductivity,Measured,1994-04-14T17:00Z,25.3,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988307,Conductivity,Measured,1994-04-15T05:00Z,25.5,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988307,Conductivity,Measured,1994-05-14T17:00Z,52.7,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988307,Conductivity,Measured,1994-05-15T05:00Z,53.0,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988307,Conductivity,Measured,1994-06-14T17:00Z,44.0,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988307,Conductivity,Measured,1994-06-15T05:00Z,44.6,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988307,Conductivity,Measured,1994-07-14T17:00Z,16.8,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988307,Conductivity,Measured,1994-07-15T05:00Z,17.2,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988307,Conductivity,Measured,1994-08-14T17:00Z,13.8,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988307,Conductivity,Measured,1994-09-14T17:00Z,10.5,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988307,Conductivity,Measured,1994-09-15T05:00Z,10.9,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988307,Conductivity,Measured,1994-10-14T17:00Z,9.7,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988307,Conductivity,Measured,1994-10-15T05:00Z,9.4,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988307,Conductivity,Measured,1994-11-14T17:00Z,9.3,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988307,Conductivity,Measured,1994-11-15T05:00Z,9.3,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988307,Conductivity,Measured,1994-12-14T17:00Z,10.8,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988307,Conductivity,Measured,1994-12-15T05:00Z,10.7,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988307,Conductivity,Measured,1995-01-14T17:00Z,13.6,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988307,Conductivity,Measured,1995-01-15T05:00Z,13.8,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988307,Conductivity,Measured,1995-02-14T17:00Z,16.0,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988307,Conductivity,Measured,1995-02-15T05:00Z,18.3,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988307,Conductivity,Measured,1995-03-14T17:00Z,20.5,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988307,Conductivity,Measured,1995-03-15T05:00Z,20.8,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988307,Conductivity,Measured,1995-04-14T17:00Z,19.0,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988307,Conductivity,Measured,1995-04-15T05:00Z,13.1,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988307,Conductivity,Measured,1995-06-14T17:00Z,26.4,mS/m,O,Raw - Not Yet Reviewed,Unverified data
