Country Code,Station Code,Parameter,Label,Timestamp (UTC+07:00),Value,Unit,Observed or Estimated,Approval Level,Grade
VN,988308,Conductivity,Measured,1991-08-14T17:00Z,20.5,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988308,Conductivity,Measured,1991-08-15T05:00Z,23.3,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988308,Conductivity,Measured,1991-09-14T17:00Z,14.5,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988308,Conductivity,Measured,1991-09-15T05:00Z,15.0,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988308,Conductivity,Measured,1991-10-14T17:00Z,11.2,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988308,Conductivity,Measured,1991-10-15T05:00Z,10.8,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988308,Conductivity,Measured,1991-11-14T17:00Z,11.8,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988308,Conductivity,Measured,1991-11-15T05:00Z,11.5,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988308,Conductivity,Measured,1991-12-14T17:00Z,13.1,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988308,Conductivity,Measured,1991-12-15T05:00Z,13.1,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988308,Conductivity,Measured,1992-01-14T17:00Z,15.6,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988308,Conductivity,Measured,1992-01-15T05:00Z,15.6,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988308,Conductivity,Measured,1992-02-14T17:00Z,16.3,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988308,Conductivity,Measured,1992-02-15T05:00Z,14.9,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988308,Conductivity,Measured,1992-03-14T17:00Z,19.1,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988308,Conductivity,Measured,1992-03-15T05:00Z,17.6,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988308,Conductivity,Measured,1992-04-14T17:00Z,21.5,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988308,Conductivity,Measured,1992-04-15T05:00Z,21.3,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988308,Conductivity,Measured,1992-05-14T17:00Z,29.6,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988308,Conductivity,Measured,1992-05-15T05:00Z,30.1,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988308,Conductivity,Measured,1992-06-14T17:00Z,44.6,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988308,Conductivity,Measured,1992-06-15T05:00Z,30.8,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988308,Conductivity,Measured,1992-07-14T17:00Z,35.9,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988308,Conductivity,Measured,1992-07-15T05:00Z,29.3,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988308,Conductivity,Measured,1992-08-14T17:00Z,30.5,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988308,Conductivity,Measured,1992-08-15T05:00Z,41.0,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988308,Conductivity,Measured,1992-09-14T17:00Z,20.7,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988308,Conductivity,Measured,1992-09-15T05:00Z,19.5,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988308,Conductivity,Measured,1992-10-14T17:00Z,9.4,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988308,Conductivity,Measured,1992-10-15T05:00Z,9.7,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988308,Conductivity,Measured,1992-11-14T17:00Z,10.0,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988308,Conductivity,Measured,1992-11-15T05:00Z,10.1,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988308,Conductivity,Measured,1992-12-14T17:00Z,14.0,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988308,Conductivity,Measured,1992-12-15T05:00Z,14.3,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988308,Conductivity,Measured,1993-01-14T17:00Z,15.4,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988308,Conductivity,Measured,1993-01-15T05:00Z,14.5,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988308,Conductivity,Measured,1993-02-14T17:00Z,18.5,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988308,Conductivity,Measured,1993-02-15T05:00Z,15.8,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988308,Conductivity,Measured,1993-03-14T17:00Z,19.4,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988308,Conductivity,Measured,1993-03-15T05:00Z,18.7,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988308,Conductivity,Measured,1993-04-14T17:00Z,35.7,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988308,Conductivity,Measured,1993-04-15T05:00Z,31.7,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988308,Conductivity,Measured,1993-05-14T17:00Z,45.3,mS/m,O,Raw - Not Yet Reviewed,Unverified data
