Country Code,Station Code,Parameter,Label,Timestamp (UTC+07:00),Value,Unit,Observed or Estimated,Approval Level,Grade
VN,988309,Conductivity,Measured,1991-08-14T17:00Z,25.0,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988309,Conductivity,Measured,1991-08-15T05:00Z,24.2,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988309,Conductivity,Measured,1991-09-14T17:00Z,13.7,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988309,Conductivity,Measured,1991-09-15T05:00Z,14.2,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988309,Conductivity,Measured,1991-10-14T17:00Z,10.6,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988309,Conductivity,Measured,1991-10-15T05:00Z,10.6,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988309,Conductivity,Measured,1991-11-14T17:00Z,11.2,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988309,Conductivity,Measured,1991-11-15T05:00Z,11.1,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988309,Conductivity,Measured,1991-12-14T17:00Z,12.0,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988309,Conductivity,Measured,1991-12-15T05:00Z,12.2,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988309,Conductivity,Measured,1992-01-14T17:00Z,19.0,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988309,Conductivity,Measured,1992-01-15T05:00Z,18.8,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988309,Conductivity,Measured,1992-02-14T17:00Z,16.0,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988309,Conductivity,Measured,1992-02-15T05:00Z,16.0,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988309,Conductivity,Measured,1992-03-14T17:00Z,18.9,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988309,Conductivity,Measured,1992-03-15T05:00Z,19.9,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988309,Conductivity,Measured,1992-04-14T17:00Z,30.2,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988309,Conductivity,Measured,1992-04-15T05:00Z,30.3,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988309,Conductivity,Measured,1992-05-14T17:00Z,32.4,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988309,Conductivity,Measured,1992-05-15T05:00Z,32.8,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988309,Conductivity,Measured,1992-06-14T17:00Z,33.2,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988309,Conductivity,Measured,1992-06-15T05:00Z,33.3,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988309,Conductivity,Measured,1992-07-14T17:00Z,68.0,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988309,Conductivity,Measured,1992-07-15T05:00Z,48.3,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988309,Conductivity,Measured,1992-08-14T17:00Z,27.2,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988309,Conductivity,Measured,1992-08-15T05:00Z,25.9,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988309,Conductivity,Measured,1992-09-14T17:00Z,22.7,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988309,Conductivity,Measured,1992-09-15T05:00Z,29.9,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988309,Conductivity,Measured,1992-10-14T17:00Z,12.0,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988309,Conductivity,Measured,1992-10-15T05:00Z,11.6,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988309,Conductivity,Measured,1992-11-14T17:00Z,10.6,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988309,Conductivity,Measured,1992-11-15T05:00Z,11.3,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988309,Conductivity,Measured,1993-01-14T17:00Z,17.1,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988309,Conductivity,Measured,1993-01-15T05:00Z,17.4,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988309,Conductivity,Measured,1993-02-14T17:00Z,16.8,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988309,Conductivity,Measured,1993-02-15T05:00Z,21.2,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988309,Conductivity,Measured,1993-03-14T17:00Z,18.8,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988309,Conductivity,Measured,1993-03-15T05:00Z,19.1,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988309,Conductivity,Measured,1993-04-14T17:00Z,33.4,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988309,Conductivity,Measured,1993-04-15T05:00Z,26.9,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988309,Conductivity,Measured,1993-05-14T17:00Z,30.4,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988309,Conductivity,Measured,1993-05-15T05:00Z,28.2,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988309,Conductivity,Measured,1993-06-14T17:00Z,113.0,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988309,Conductivity,Measured,1993-06-15T05:00Z,116.0,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988309,Conductivity,Measured,1993-08-14T17:00Z,25.1,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988309,Conductivity,Measured,1993-08-15T05:00Z,21.4,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988309,Conductivity,Measured,1993-09-14T17:00Z,39.0,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988309,Conductivity,Measured,1993-09-15T05:00Z,29.8,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988309,Conductivity,Measured,1993-10-14T17:00Z,11.6,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988309,Conductivity,Measured,1993-10-15T05:00Z,11.6,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988309,Conductivity,Measured,1993-11-14T17:00Z,11.5,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988309,Conductivity,Measured,1993-11-15T05:00Z,11.6,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988309,Conductivity,Measured,1993-12-14T17:00Z,13.5,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988309,Conductivity,Measured,1993-12-15T05:00Z,13.7,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988309,Conductivity,Measured,1994-01-14T17:00Z,19.9,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988309,Conductivity,Measured,1994-01-15T05:00Z,20.6,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988309,Conductivity,Measured,1994-02-14T17:00Z,21.8,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988309,Conductivity,Measured,1994-02-15T05:00Z,26.2,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988309,Conductivity,Measured,1994-03-14T17:00Z,24.9,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988309,Conductivity,Measured,1994-03-15T05:00Z,23.0,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988309,Conductivity,Measured,1994-04-14T17:00Z,23.0,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988309,Conductivity,Measured,1994-04-15T05:00Z,25.1,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988309,Conductivity,Measured,1994-05-14T17:00Z,72.6,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988309,Conductivity,Measured,1994-05-15T05:00Z,74.1,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988309,Conductivity,Measured,1994-06-14T17:00Z,68.8,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988309,Conductivity,Measured,1994-06-15T05:00Z,54.7,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988309,Conductivity,Measured,1994-07-14T17:00Z,22.2,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988309,Conductivity,Measured,1994-07-15T05:00Z,17.9,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988309,Conductivity,Measured,1994-08-14T17:00Z,18.0,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988309,Conductivity,Measured,1994-09-14T17:00Z,10.8,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988309,Conductivity,Measured,1994-09-15T05:00Z,10.6,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988309,Conductivity,Measured,1994-10-14T17:00Z,9.9,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988309,Conductivity,Measured,1994-10-15T05:00Z,9.5,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988309,Conductivity,Measured,1994-11-14T17:00Z,8.7,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988309,Conductivity,Measured,1994-11-15T05:00Z,9.1,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988309,Conductivity,Measured,1994-12-14T17:00Z,12.2,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988309,Conductivity,Measured,1994-12-15T05:00Z,12.6,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988309,Conductivity,Measured,1995-01-14T17:00Z,63.9,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988309,Conductivity,Measured,1995-01-15T05:00Z,14.6,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988309,Conductivity,Measured,1995-02-14T17:00Z,35.0,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988309,Conductivity,Measured,1995-02-15T05:00Z,60.4,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988309,Conductivity,Measured,1995-03-14T17:00Z,39.0,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988309,Conductivity,Measured,1995-03-15T05:00Z,39.1,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988309,Conductivity,Measured,1995-04-14T17:00Z,28.8,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988309,Conductivity,Measured,1995-04-15T05:00Z,27.5,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988309,Conductivity,Measured,1995-06-14T17:00Z,70.5,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988309,Conductivity,Measured,1995-06-15T05:00Z,75.8,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988309,Conductivity,Measured,1998-10-14T17:00Z,16.5,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988309,Conductivity,Measured,1998-10-15T05:00Z,16.5,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988309,Conductivity,Measured,1998-11-14T17:00Z,8.0,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988309,Conductivity,Measured,1998-11-15T05:00Z,8.1,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988309,Conductivity,Measured,1998-12-14T17:00Z,10.5,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988309,Conductivity,Measured,1998-12-15T05:00Z,10.4,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988309,Conductivity,Measured,2000-01-15T05:00Z,17.1,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988309,Conductivity,Measured,2001-01-14T17:00Z,12.08,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988309,Conductivity,Measured,2001-01-15T05:00Z,12.35,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988309,Conductivity,Measured,2001-02-14T17:00Z,14.35,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988309,Conductivity,Measured,2001-02-15T05:00Z,15.25,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988309,Conductivity,Measured,2001-03-14T17:00Z,16.68,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988309,Conductivity,Measured,2001-03-15T05:00Z,16.63,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988309,Conductivity,Measured,2001-04-14T17:00Z,22.9,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988309,Conductivity,Measured,2001-04-15T05:00Z,22.0,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988309,Conductivity,Measured,2001-05-14T17:00Z,26.8,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988309,Conductivity,Measured,2001-05-15T05:00Z,28.0,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988309,Conductivity,Measured,2001-06-14T17:00Z,21.2,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988309,Conductivity,Measured,2001-06-15T05:00Z,20.9,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988309,Conductivity,Measured,2001-07-14T17:00Z,11.71,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988309,Conductivity,Measured,2001-07-15T05:00Z,11.86,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988309,Conductivity,Measured,2001-08-14T17:00Z,12.16,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988309,Conductivity,Measured,2001-08-15T05:00Z,12.14,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988309,Conductivity,Measured,2001-09-14T17:00Z,9.31,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988309,Conductivity,Measured,2001-09-15T05:00Z,9.49,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988309,Conductivity,Measured,2001-10-14T17:00Z,10.19,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988309,Conductivity,Measured,2001-10-15T05:00Z,10.83,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988309,Conductivity,Measured,2001-11-14T17:00Z,7.92,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988309,Conductivity,Measured,2001-11-15T05:00Z,7.94,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988309,Conductivity,Measured,2001-12-14T17:00Z,8.74,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988309,Conductivity,Measured,2001-12-15T05:00Z,8.53,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988309,Conductivity,Measured,2002-01-14T17:00Z,15.91,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988309,Conductivity,Measured,2002-01-15T05:00Z,15.79,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988309,Conductivity,Measured,2002-02-14T17:00Z,16.13,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988309,Conductivity,Measured,2002-02-15T05:00Z,15.76,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988309,Conductivity,Measured,2002-03-14T17:00Z,17.12,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988309,Conductivity,Measured,2002-03-15T05:00Z,19.39,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988309,Conductivity,Measured,2002-04-14T17:00Z,22.8,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988309,Conductivity,Measured,2002-04-15T05:00Z,23.7,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988309,Conductivity,Measured,2002-05-14T17:00Z,37.4,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988309,Conductivity,Measured,2002-05-15T05:00Z,35.3,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988309,Conductivity,Measured,2002-07-14T17:00Z,10.53,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988309,Conductivity,Measured,2002-07-15T05:00Z,10.83,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988309,Conductivity,Measured,2002-08-14T17:00Z,14.48,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988309,Conductivity,Measured,2002-08-15T05:00Z,14.4,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988309,Conductivity,Measured,2002-09-14T17:00Z,11.12,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988309,Conductivity,Measured,2002-09-15T05:00Z,11.02,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988309,Conductivity,Measured,2002-10-14T17:00Z,9.16,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988309,Conductivity,Measured,2002-10-15T05:00Z,9.24,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988309,Conductivity,Measured,2002-11-14T17:00Z,9.16,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988309,Conductivity,Measured,2002-11-15T05:00Z,9.08,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988309,Conductivity,Measured,2002-12-14T17:00Z,9.8,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988309,Conductivity,Measured,2002-12-15T05:00Z,8.68,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988309,Conductivity,Measured,2003-01-14T17:00Z,17.53,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988309,Conductivity,Measured,2003-01-15T05:00Z,17.93,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988309,Conductivity,Measured,2003-02-14T17:00Z,16.77,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988309,Conductivity,Measured,2003-02-15T05:00Z,16.71,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988309,Conductivity,Measured,2003-03-14T17:00Z,18.83,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988309,Conductivity,Measured,2003-03-15T05:00Z,18.74,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988309,Conductivity,Measured,2003-04-14T17:00Z,31.9,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988309,Conductivity,Measured,2003-04-15T05:00Z,31.7,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988309,Conductivity,Measured,2003-05-14T17:00Z,38.8,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988309,Conductivity,Measured,2003-05-15T05:00Z,38.5,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988309,Conductivity,Measured,2003-06-14T17:00Z,16.2,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988309,Conductivity,Measured,2003-06-15T05:00Z,16.3,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988309,Conductivity,Measured,2003-07-14T17:00Z,22.4,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988309,Conductivity,Measured,2003-07-15T05:00Z,22.5,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988309,Conductivity,Measured,2003-08-14T17:00Z,13.0,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988309,Conductivity,Measured,2003-08-15T05:00Z,13.1,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988309,Conductivity,Measured,2003-09-14T17:00Z,13.1,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988309,Conductivity,Measured,2003-09-15T05:00Z,13.1,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988309,Conductivity,Measured,2003-10-14T17:00Z,11.0,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988309,Conductivity,Measured,2003-10-15T05:00Z,11.0,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988309,Conductivity,Measured,2003-11-14T17:00Z,10.1,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988309,Conductivity,Measured,2003-11-15T05:00Z,10.2,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988309,Conductivity,Measured,2003-12-14T17:00Z,55.5,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988309,Conductivity,Measured,2003-12-15T05:00Z,53.6,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988309,Conductivity,Measured,2004-01-14T17:00Z,17.8,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988309,Conductivity,Measured,2004-01-15T05:00Z,17.8,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988309,Conductivity,Measured,2004-02-14T17:00Z,19.6,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988309,Conductivity,Measured,2004-02-15T05:00Z,19.4,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988309,Conductivity,Measured,2004-03-14T17:00Z,22.5,mS/m,O,Raw - Not Yet Reviewed,Unverified data
