Country Code,Station Code,Parameter,Label,Timestamp (UTC+07:00),Value,Unit,Observed or Estimated,Approval Level,Grade
VN,988310,Conductivity,Measured,1991-08-14T17:00Z,33.3,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988310,Conductivity,Measured,1991-08-15T05:00Z,37.4,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988310,Conductivity,Measured,1991-09-14T17:00Z,12.3,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988310,Conductivity,Measured,1991-09-15T05:00Z,12.4,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988310,Conductivity,Measured,1991-10-14T17:00Z,8.8,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988310,Conductivity,Measured,1991-10-15T05:00Z,8.7,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988310,Conductivity,Measured,1991-11-14T17:00Z,10.3,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988310,Conductivity,Measured,1991-11-15T05:00Z,9.3,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988310,Conductivity,Measured,1991-12-14T17:00Z,13.0,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988310,Conductivity,Measured,1991-12-15T05:00Z,13.0,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988310,Conductivity,Measured,1992-01-14T17:00Z,37.4,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988310,Conductivity,Measured,1992-01-15T05:00Z,36.4,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988310,Conductivity,Measured,1992-02-14T17:00Z,21.0,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988310,Conductivity,Measured,1992-02-15T05:00Z,21.4,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988310,Conductivity,Measured,1992-03-14T17:00Z,21.3,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988310,Conductivity,Measured,1992-03-15T05:00Z,20.5,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988310,Conductivity,Measured,1992-04-14T17:00Z,21.8,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988310,Conductivity,Measured,1992-04-15T05:00Z,22.0,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988310,Conductivity,Measured,1992-05-14T17:00Z,34.8,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988310,Conductivity,Measured,1992-05-15T05:00Z,34.9,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988310,Conductivity,Measured,1992-06-14T17:00Z,64.1,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988310,Conductivity,Measured,1992-06-15T05:00Z,65.2,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988310,Conductivity,Measured,1992-07-14T17:00Z,75.3,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988310,Conductivity,Measured,1992-07-15T05:00Z,69.0,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988310,Conductivity,Measured,1992-08-14T17:00Z,68.4,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988310,Conductivity,Measured,1992-08-15T05:00Z,70.2,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988310,Conductivity,Measured,1992-09-14T17:00Z,26.2,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988310,Conductivity,Measured,1992-09-15T05:00Z,26.3,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988310,Conductivity,Measured,1992-10-14T17:00Z,10.2,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988310,Conductivity,Measured,1992-10-15T05:00Z,10.3,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988310,Conductivity,Measured,1992-11-14T17:00Z,9.3,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988310,Conductivity,Measured,1992-11-15T05:00Z,9.6,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988310,Conductivity,Measured,1992-12-14T17:00Z,76.9,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988310,Conductivity,Measured,1992-12-15T05:00Z,78.2,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988310,Conductivity,Measured,1993-01-14T17:00Z,31.9,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988310,Conductivity,Measured,1993-01-15T05:00Z,32.7,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988310,Conductivity,Measured,1993-02-14T17:00Z,33.7,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988310,Conductivity,Measured,1993-02-15T05:00Z,33.1,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988310,Conductivity,Measured,1993-03-14T17:00Z,19.9,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988310,Conductivity,Measured,1993-03-15T05:00Z,19.7,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988310,Conductivity,Measured,1993-04-14T17:00Z,35.9,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988310,Conductivity,Measured,1993-04-15T05:00Z,35.6,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988310,Conductivity,Measured,1993-05-14T17:00Z,32.7,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988310,Conductivity,Measured,1993-05-15T05:00Z,32.9,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988310,Conductivity,Measured,1993-06-14T17:00Z,137.0,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988310,Conductivity,Measured,1993-06-15T05:00Z,137.0,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988310,Conductivity,Measured,1993-08-14T17:00Z,40.3,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988310,Conductivity,Measured,1993-08-15T05:00Z,40.6,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988310,Conductivity,Measured,1993-09-14T17:00Z,21.5,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988310,Conductivity,Measured,1993-09-15T05:00Z,21.5,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988310,Conductivity,Measured,1993-10-14T17:00Z,10.8,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988310,Conductivity,Measured,1993-10-15T05:00Z,10.7,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988310,Conductivity,Measured,1993-11-14T17:00Z,9.9,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988310,Conductivity,Measured,1993-11-15T05:00Z,10.0,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988310,Conductivity,Measured,1993-12-14T17:00Z,37.8,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988310,Conductivity,Measured,1993-12-15T05:00Z,36.1,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988310,Conductivity,Measured,1994-01-14T17:00Z,52.6,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988310,Conductivity,Measured,1994-01-15T05:00Z,56.5,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988310,Conductivity,Measured,1994-02-14T17:00Z,67.4,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988310,Conductivity,Measured,1994-02-15T05:00Z,69.7,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988310,Conductivity,Measured,1994-03-14T17:00Z,26.8,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988310,Conductivity,Measured,1994-03-15T05:00Z,26.4,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988310,Conductivity,Measured,1994-04-14T17:00Z,29.4,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988310,Conductivity,Measured,1994-04-15T05:00Z,29.6,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988310,Conductivity,Measured,1994-05-14T17:00Z,108.0,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988310,Conductivity,Measured,1994-05-15T05:00Z,109.0,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988310,Conductivity,Measured,1994-06-14T17:00Z,157.3,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988310,Conductivity,Measured,1994-06-15T05:00Z,54.7,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988310,Conductivity,Measured,1994-07-14T17:00Z,68.9,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988310,Conductivity,Measured,1994-07-15T05:00Z,68.1,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988310,Conductivity,Measured,1994-08-14T17:00Z,14.2,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988310,Conductivity,Measured,1994-09-14T17:00Z,10.2,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988310,Conductivity,Measured,1994-09-15T05:00Z,10.2,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988310,Conductivity,Measured,1994-10-14T17:00Z,9.0,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988310,Conductivity,Measured,1994-10-15T05:00Z,9.0,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988310,Conductivity,Measured,1994-11-14T17:00Z,8.1,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988310,Conductivity,Measured,1994-11-15T05:00Z,8.3,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988310,Conductivity,Measured,1994-12-14T17:00Z,12.4,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988310,Conductivity,Measured,1994-12-15T05:00Z,12.9,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988310,Conductivity,Measured,1995-01-14T17:00Z,37.3,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988310,Conductivity,Measured,1995-01-15T05:00Z,36.7,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988310,Conductivity,Measured,1995-02-14T17:00Z,86.2,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988310,Conductivity,Measured,1995-02-15T05:00Z,89.3,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988310,Conductivity,Measured,1995-03-14T17:00Z,40.1,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988310,Conductivity,Measured,1995-03-15T05:00Z,41.5,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988310,Conductivity,Measured,1995-04-14T17:00Z,38.8,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988310,Conductivity,Measured,1995-04-15T05:00Z,34.0,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988310,Conductivity,Measured,1995-06-14T17:00Z,85.4,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988310,Conductivity,Measured,1995-06-15T05:00Z,88.9,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988310,Conductivity,Measured,1998-10-14T17:00Z,15.2,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988310,Conductivity,Measured,1998-10-15T05:00Z,15.0,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988310,Conductivity,Measured,1998-11-14T17:00Z,2.1,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988310,Conductivity,Measured,1998-11-15T05:00Z,2.3,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988310,Conductivity,Measured,1998-12-14T17:00Z,16.6,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988310,Conductivity,Measured,1998-12-15T05:00Z,16.4,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988310,Conductivity,Measured,2000-01-15T05:00Z,32.0,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988310,Conductivity,Measured,2001-01-14T17:00Z,10.79,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988310,Conductivity,Measured,2001-01-15T05:00Z,10.75,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988310,Conductivity,Measured,2001-02-14T17:00Z,15.56,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988310,Conductivity,Measured,2001-02-15T05:00Z,17.41,mS/m,O,Raw - Not Yet Reviewed,Unverified data
