Country Code,Station Code,Parameter,Label,Timestamp (UTC+07:00),Value,Unit,Observed or Estimated,Approval Level,Grade
VN,988311,Conductivity,Measured,1991-08-14T17:00Z,46.4,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988311,Conductivity,Measured,1991-08-15T05:00Z,45.3,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988311,Conductivity,Measured,1991-09-14T17:00Z,23.6,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988311,Conductivity,Measured,1991-09-15T05:00Z,21.8,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988311,Conductivity,Measured,1991-10-14T17:00Z,8.8,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988311,Conductivity,Measured,1991-10-15T05:00Z,8.7,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988311,Conductivity,Measured,1991-11-14T17:00Z,9.3,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988311,Conductivity,Measured,1991-11-15T05:00Z,9.1,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988311,Conductivity,Measured,1991-12-14T17:00Z,13.1,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988311,Conductivity,Measured,1991-12-15T05:00Z,13.7,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988311,Conductivity,Measured,1992-01-14T17:00Z,25.6,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988311,Conductivity,Measured,1992-01-15T05:00Z,23.8,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988311,Conductivity,Measured,1992-02-14T17:00Z,15.0,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988311,Conductivity,Measured,1992-02-15T05:00Z,17.6,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988311,Conductivity,Measured,1992-03-14T17:00Z,14.8,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988311,Conductivity,Measured,1992-03-15T05:00Z,15.2,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988311,Conductivity,Measured,1992-04-14T17:00Z,20.8,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988311,Conductivity,Measured,1992-04-15T05:00Z,20.1,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988311,Conductivity,Measured,1992-05-14T17:00Z,42.5,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988311,Conductivity,Measured,1992-05-15T05:00Z,48.1,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988311,Conductivity,Measured,1992-06-14T17:00Z,50.4,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988311,Conductivity,Measured,1992-06-15T05:00Z,46.3,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988311,Conductivity,Measured,1992-07-14T17:00Z,54.4,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988311,Conductivity,Measured,1992-07-15T05:00Z,38.7,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988311,Conductivity,Measured,1992-08-14T17:00Z,105.1,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988311,Conductivity,Measured,1992-08-15T05:00Z,84.7,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988311,Conductivity,Measured,1992-09-14T17:00Z,25.9,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988311,Conductivity,Measured,1992-09-15T05:00Z,25.7,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988311,Conductivity,Measured,1992-10-14T17:00Z,37.5,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988311,Conductivity,Measured,1992-10-15T05:00Z,40.9,mS/m,O,Raw - Not Yet Reviewed,Unverified data
