Country Code,Station Code,Parameter,Label,Timestamp (UTC+07:00),Value,Unit,Observed or Estimated,Approval Level,Grade
VN,988312,Conductivity,Measured,1991-08-14T17:00Z,76.4,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988312,Conductivity,Measured,1991-08-15T05:00Z,79.4,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988312,Conductivity,Measured,1991-09-14T17:00Z,23.8,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988312,Conductivity,Measured,1991-09-15T05:00Z,24.1,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988312,Conductivity,Measured,1991-10-14T17:00Z,9.5,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988312,Conductivity,Measured,1991-10-15T05:00Z,9.2,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988312,Conductivity,Measured,1991-11-14T17:00Z,9.9,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988312,Conductivity,Measured,1991-11-15T05:00Z,10.0,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988312,Conductivity,Measured,1991-12-14T17:00Z,15.5,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988312,Conductivity,Measured,1991-12-15T05:00Z,14.5,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988312,Conductivity,Measured,1992-01-14T17:00Z,69.9,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988312,Conductivity,Measured,1992-01-15T05:00Z,68.3,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988312,Conductivity,Measured,1992-02-14T17:00Z,171.1,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988312,Conductivity,Measured,1992-02-15T05:00Z,90.1,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988312,Conductivity,Measured,1992-03-14T17:00Z,169.3,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988312,Conductivity,Measured,1992-03-15T05:00Z,414.0,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988312,Conductivity,Measured,1992-04-14T17:00Z,1460.0,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988312,Conductivity,Measured,1992-04-15T05:00Z,854.0,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988312,Conductivity,Measured,1992-05-14T17:00Z,2940.0,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988312,Conductivity,Measured,1992-05-15T05:00Z,84.0,mS/m,O,Raw - Not Yet Reviewed,Unverified data
