Country Code,Station Code,Parameter,Label,Timestamp (UTC+07:00),Value,Unit,Observed or Estimated,Approval Level,Grade
VN,988313,Conductivity,Measured,1991-08-14T17:00Z,32.3,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988313,Conductivity,Measured,1991-08-15T05:00Z,31.6,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988313,Conductivity,Measured,1991-09-14T17:00Z,16.4,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988313,Conductivity,Measured,1991-09-15T05:00Z,13.6,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988313,Conductivity,Measured,1991-10-14T17:00Z,10.8,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988313,Conductivity,Measured,1991-10-15T05:00Z,10.6,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988313,Conductivity,Measured,1991-11-14T17:00Z,11.1,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988313,Conductivity,Measured,1991-11-15T05:00Z,11.1,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988313,Conductivity,Measured,1991-12-14T17:00Z,12.9,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988313,Conductivity,Measured,1991-12-15T05:00Z,12.4,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988313,Conductivity,Measured,1992-01-14T17:00Z,31.2,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988313,Conductivity,Measured,1992-01-15T05:00Z,32.3,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988313,Conductivity,Measured,1992-02-14T17:00Z,19.2,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988313,Conductivity,Measured,1992-02-15T05:00Z,281.0,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988313,Conductivity,Measured,1992-03-14T17:00Z,69.1,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988313,Conductivity,Measured,1992-03-15T05:00Z,18.2,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988313,Conductivity,Measured,1992-04-14T17:00Z,22.5,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988313,Conductivity,Measured,1992-04-15T05:00Z,22.7,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988313,Conductivity,Measured,1992-05-14T17:00Z,322.0,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988313,Conductivity,Measured,1992-05-15T05:00Z,362.0,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988313,Conductivity,Measured,1992-06-14T17:00Z,70.8,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988313,Conductivity,Measured,1992-06-15T05:00Z,101.9,mS/m,O,Raw - Not Yet Reviewed,Unverified data
