Country Code,Station Code,Parameter,Label,Timestamp (UTC+07:00),Value,Unit,Observed or Estimated,Approval Level,Grade
VN,988314,Conductivity,Measured,1991-08-14T17:00Z,23.8,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988314,Conductivity,Measured,1991-08-15T05:00Z,24.6,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988314,Conductivity,Measured,1991-09-14T17:00Z,28.9,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988314,Conductivity,Measured,1991-09-15T05:00Z,27.5,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988314,Conductivity,Measured,1991-10-14T17:00Z,11.0,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988314,Conductivity,Measured,1991-10-15T05:00Z,11.1,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988314,Conductivity,Measured,1991-11-14T17:00Z,11.8,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988314,Conductivity,Measured,1991-11-15T05:00Z,11.7,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988314,Conductivity,Measured,1991-12-14T17:00Z,13.4,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988314,Conductivity,Measured,1991-12-15T05:00Z,13.3,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988314,Conductivity,Measured,1992-01-14T17:00Z,23.9,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988314,Conductivity,Measured,1992-01-15T05:00Z,13.5,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988314,Conductivity,Measured,1992-02-14T17:00Z,18.3,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988314,Conductivity,Measured,1992-02-15T05:00Z,29.2,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988314,Conductivity,Measured,1992-03-14T17:00Z,22.4,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988314,Conductivity,Measured,1992-03-15T05:00Z,19.7,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988314,Conductivity,Measured,1992-04-14T17:00Z,46.8,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988314,Conductivity,Measured,1992-04-15T05:00Z,36.6,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988314,Conductivity,Measured,1992-05-14T17:00Z,144.5,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988314,Conductivity,Measured,1992-05-15T05:00Z,199.0,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988314,Conductivity,Measured,1992-06-14T17:00Z,62.2,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988314,Conductivity,Measured,1992-06-15T05:00Z,310.0,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988314,Conductivity,Measured,1992-07-14T17:00Z,67.7,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988314,Conductivity,Measured,1992-07-15T05:00Z,71.3,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988314,Conductivity,Measured,1992-08-14T17:00Z,43.0,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988314,Conductivity,Measured,1992-08-15T05:00Z,38.6,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988314,Conductivity,Measured,1992-09-14T17:00Z,24.5,mS/m,O,Raw - Not Yet Reviewed,Unverified data
