Country Code,Station Code,Parameter,Label,Timestamp (UTC+07:00),Value,Unit,Observed or Estimated,Approval Level,Grade
VN,988316,Conductivity,Measured,2004-07-14T17:00Z,16.2,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988316,Conductivity,Measured,2004-08-14T17:00Z,17.8,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988316,Conductivity,Measured,2004-09-14T17:00Z,11.5,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988316,Conductivity,Measured,2004-10-14T17:00Z,11.0,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988316,Conductivity,Measured,2004-11-14T17:00Z,10.9,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988316,Conductivity,Measured,2004-12-14T17:00Z,11.5,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988316,Conductivity,Measured,2005-01-14T17:00Z,13.6,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988316,Conductivity,Measured,2005-01-15T05:00Z,12.5,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988316,Conductivity,Measured,2005-02-14T17:00Z,14.6,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988316,Conductivity,Measured,2005-02-15T05:00Z,14.5,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988316,Conductivity,Measured,2005-03-14T17:00Z,17.7,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988316,Conductivity,Measured,2005-03-15T05:00Z,18.0,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988316,Conductivity,Measured,2005-04-14T17:00Z,23.6,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988316,Conductivity,Measured,2005-04-15T05:00Z,26.3,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988316,Conductivity,Measured,2005-05-14T17:00Z,37.0,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988316,Conductivity,Measured,2005-05-15T05:00Z,37.6,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988316,Conductivity,Measured,2005-06-14T17:00Z,23.0,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988316,Conductivity,Measured,2005-06-15T05:00Z,23.6,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988316,Conductivity,Measured,2005-07-14T17:00Z,17.5,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988316,Conductivity,Measured,2005-07-15T05:00Z,17.7,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988316,Conductivity,Measured,2005-08-14T17:00Z,15.0,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988316,Conductivity,Measured,2005-08-15T05:00Z,14.9,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988316,Conductivity,Measured,2005-09-14T17:00Z,12.2,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988316,Conductivity,Measured,2005-09-15T05:00Z,12.3,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988316,Conductivity,Measured,2005-10-14T17:00Z,11.2,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988316,Conductivity,Measured,2005-10-15T05:00Z,11.1,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988316,Conductivity,Measured,2005-11-14T17:00Z,10.2,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988316,Conductivity,Measured,2005-11-15T05:00Z,10.0,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988316,Conductivity,Measured,2005-12-14T17:00Z,11.4,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988316,Conductivity,Measured,2005-12-15T05:00Z,11.2,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988316,Conductivity,Measured,2006-01-14T17:00Z,12.0,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988316,Conductivity,Measured,2006-01-15T05:00Z,12.8,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988316,Conductivity,Measured,2006-02-14T17:00Z,13.2,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988316,Conductivity,Measured,2006-02-15T05:00Z,13.5,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988316,Conductivity,Measured,2006-03-14T17:00Z,16.9,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988316,Conductivity,Measured,2006-03-15T05:00Z,17.1,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988316,Conductivity,Measured,2006-04-14T17:00Z,18.2,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988316,Conductivity,Measured,2006-04-15T05:00Z,18.1,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988316,Conductivity,Measured,2006-05-14T17:00Z,21.2,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988316,Conductivity,Measured,2006-05-15T05:00Z,21.3,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988316,Conductivity,Measured,2006-06-14T17:00Z,19.5,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988316,Conductivity,Measured,2006-06-15T05:00Z,18.9,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988316,Conductivity,Measured,2006-07-14T17:00Z,12.8,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988316,Conductivity,Measured,2006-07-15T05:00Z,12.5,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988316,Conductivity,Measured,2006-08-14T17:00Z,19.0,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988316,Conductivity,Measured,2006-08-15T05:00Z,17.2,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988316,Conductivity,Measured,2006-09-14T17:00Z,9.9,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988316,Conductivity,Measured,2006-09-15T05:00Z,9.3,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988316,Conductivity,Measured,2006-10-14T17:00Z,9.7,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988316,Conductivity,Measured,2006-10-15T05:00Z,9.7,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988316,Conductivity,Measured,2006-11-14T17:00Z,8.9,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988316,Conductivity,Measured,2006-11-15T05:00Z,8.8,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988316,Conductivity,Measured,2006-12-14T17:00Z,10.8,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988316,Conductivity,Measured,2006-12-15T05:00Z,10.9,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988316,Conductivity,Measured,2007-01-14T17:00Z,13.1,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988316,Conductivity,Measured,2007-01-15T05:00Z,13.0,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988316,Conductivity,Measured,2007-02-14T17:00Z,14.5,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988316,Conductivity,Measured,2007-02-15T05:00Z,14.3,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988316,Conductivity,Measured,2007-03-14T17:00Z,18.0,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988316,Conductivity,Measured,2007-03-15T05:00Z,17.9,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988316,Conductivity,Measured,2007-04-14T17:00Z,16.3,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988316,Conductivity,Measured,2007-04-15T05:00Z,16.5,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988316,Conductivity,Measured,2007-05-14T17:00Z,16.3,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988316,Conductivity,Measured,2007-05-15T05:00Z,17.6,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988316,Conductivity,Measured,2007-06-14T17:00Z,19.9,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988316,Conductivity,Measured,2007-06-15T05:00Z,19.9,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988316,Conductivity,Measured,2007-07-14T17:00Z,18.0,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988316,Conductivity,Measured,2007-07-15T05:00Z,18.0,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988316,Conductivity,Measured,2007-08-14T17:00Z,11.3,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988316,Conductivity,Measured,2007-08-15T05:00Z,11.2,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988316,Conductivity,Measured,2007-09-14T17:00Z,11.5,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988316,Conductivity,Measured,2007-09-15T05:00Z,11.5,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988316,Conductivity,Measured,2007-10-14T17:00Z,9.8,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988316,Conductivity,Measured,2007-10-15T05:00Z,9.9,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988316,Conductivity,Measured,2007-11-14T17:00Z,9.3,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988316,Conductivity,Measured,2007-11-15T05:00Z,9.5,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988316,Conductivity,Measured,2007-12-14T17:00Z,10.9,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988316,Conductivity,Measured,2007-12-15T05:00Z,9.1,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988316,Conductivity,Measured,2008-01-14T17:00Z,9.7,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988316,Conductivity,Measured,2008-01-15T05:00Z,9.9,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988316,Conductivity,Measured,2008-02-14T17:00Z,10.5,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988316,Conductivity,Measured,2008-02-15T05:00Z,10.7,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988316,Conductivity,Measured,2008-03-14T17:00Z,12.4,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988316,Conductivity,Measured,2008-03-15T05:00Z,12.7,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988316,Conductivity,Measured,2008-04-14T17:00Z,16.5,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988316,Conductivity,Measured,2008-04-15T05:00Z,16.5,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988316,Conductivity,Measured,2008-05-14T17:00Z,21.0,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988316,Conductivity,Measured,2008-05-15T05:00Z,21.0,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988316,Conductivity,Measured,2008-06-14T17:00Z,18.4,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988316,Conductivity,Measured,2008-06-15T05:00Z,18.3,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988316,Conductivity,Measured,2008-07-14T17:00Z,13.9,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,988316,Conductivity,Measured,2008-07-15T05:00Z,14.0,mS/m,O,Raw - Not Yet Reviewed,Unverified data
