Country Code,Station Code,Parameter,Label,Timestamp (UTC+07:00),Value,Unit,Observed or Estimated,Approval Level,Grade
VN,019804,Dissolved Oxygen,Measured,1985-05-14T17:00Z,6.67,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,019804,Dissolved Oxygen,Measured,1985-06-14T17:00Z,7.08,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,019804,Dissolved Oxygen,Measured,1985-07-14T17:00Z,6.69,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,019804,Dissolved Oxygen,Measured,1985-09-14T17:00Z,6.17,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,019804,Dissolved Oxygen,Measured,1985-10-14T17:00Z,6.6,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,019804,Dissolved Oxygen,Measured,1985-11-14T17:00Z,6.07,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,019804,Dissolved Oxygen,Measured,1985-12-14T17:00Z,6.6,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,019804,Dissolved Oxygen,Measured,1986-01-14T17:00Z,6.325,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,019804,Dissolved Oxygen,Measured,1986-02-14T17:00Z,7.377,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,019804,Dissolved Oxygen,Measured,1986-03-14T17:00Z,6.794,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,019804,Dissolved Oxygen,Measured,1986-04-14T17:00Z,6.654,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,019804,Dissolved Oxygen,Measured,1986-05-14T17:00Z,7.033,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,019804,Dissolved Oxygen,Measured,1986-06-14T17:00Z,6.413,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,019804,Dissolved Oxygen,Measured,1986-07-14T17:00Z,6.783,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,019804,Dissolved Oxygen,Measured,1986-08-14T17:00Z,7.27,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,019804,Dissolved Oxygen,Measured,1986-09-14T17:00Z,6.15,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,019804,Dissolved Oxygen,Measured,1986-10-14T17:00Z,6.74,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,019804,Dissolved Oxygen,Measured,1986-11-14T17:00Z,7.21,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,019804,Dissolved Oxygen,Measured,1986-12-14T17:00Z,7.4,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,019804,Dissolved Oxygen,Measured,1987-01-14T17:00Z,7.51,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,019804,Dissolved Oxygen,Measured,1987-02-14T17:00Z,7.36,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,019804,Dissolved Oxygen,Measured,1987-04-14T17:00Z,7.33,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,019804,Dissolved Oxygen,Measured,1987-05-14T17:00Z,6.49,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,019804,Dissolved Oxygen,Measured,1987-06-14T17:00Z,6.559,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,019804,Dissolved Oxygen,Measured,1987-07-14T17:00Z,6.371,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,019804,Dissolved Oxygen,Measured,1987-08-14T17:00Z,7.04,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,019804,Dissolved Oxygen,Measured,1987-09-14T17:00Z,7.044,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,019804,Dissolved Oxygen,Measured,1987-10-14T17:00Z,6.15,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,019804,Dissolved Oxygen,Measured,1987-11-14T17:00Z,6.102,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,019804,Dissolved Oxygen,Measured,1987-12-14T17:00Z,6.241,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,019804,Dissolved Oxygen,Measured,1988-01-14T17:00Z,6.719,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,019804,Dissolved Oxygen,Measured,1988-02-14T17:00Z,6.863,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,019804,Dissolved Oxygen,Measured,1988-03-14T17:00Z,7.326,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,019804,Dissolved Oxygen,Measured,1988-04-14T17:00Z,6.581,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,019804,Dissolved Oxygen,Measured,1988-05-14T17:00Z,6.438,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,019804,Dissolved Oxygen,Measured,1988-06-14T17:00Z,6.252,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,019804,Dissolved Oxygen,Measured,1988-07-14T17:00Z,5.946,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,019804,Dissolved Oxygen,Measured,1988-08-14T17:00Z,6.211,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,019804,Dissolved Oxygen,Measured,1988-09-14T17:00Z,7.329,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,019804,Dissolved Oxygen,Measured,1988-10-14T17:00Z,6.34,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,019804,Dissolved Oxygen,Measured,1988-11-14T17:00Z,6.813,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,019804,Dissolved Oxygen,Measured,1988-12-14T17:00Z,6.791,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,019804,Dissolved Oxygen,Measured,1989-01-14T17:00Z,7.46,mg/l,O,Raw - Not Yet Reviewed,Unverified data
