Country Code,Station Code,Parameter,Label,Timestamp (UTC+07:00),Value,Unit,Observed or Estimated,Approval Level,Grade
VN,029812,Dissolved Oxygen,Measured,2004-07-14T17:00Z,4.53,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,029812,Dissolved Oxygen,Measured,2004-08-14T17:00Z,6.85,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,029812,Dissolved Oxygen,Measured,2004-09-14T17:00Z,7.02,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,029812,Dissolved Oxygen,Measured,2004-10-14T17:00Z,7.23,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,029812,Dissolved Oxygen,Measured,2004-11-14T17:00Z,6.47,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,029812,Dissolved Oxygen,Measured,2004-12-14T17:00Z,6.85,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,029812,Dissolved Oxygen,Measured,2005-01-14T17:00Z,6.12,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,029812,Dissolved Oxygen,Measured,2005-02-14T17:00Z,5.76,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,029812,Dissolved Oxygen,Measured,2005-03-14T17:00Z,5.63,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,029812,Dissolved Oxygen,Measured,2005-04-14T17:00Z,5.24,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,029812,Dissolved Oxygen,Measured,2005-05-14T17:00Z,6.63,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,029812,Dissolved Oxygen,Measured,2005-06-14T17:00Z,6.51,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,029812,Dissolved Oxygen,Measured,2005-07-14T17:00Z,6.21,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,029812,Dissolved Oxygen,Measured,2005-08-14T17:00Z,6.23,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,029812,Dissolved Oxygen,Measured,2005-09-14T17:00Z,6.47,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,029812,Dissolved Oxygen,Measured,2005-10-14T17:00Z,6.32,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,029812,Dissolved Oxygen,Measured,2005-11-14T17:00Z,5.87,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,029812,Dissolved Oxygen,Measured,2005-12-14T17:00Z,5.91,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,029812,Dissolved Oxygen,Measured,2006-01-14T17:00Z,5.83,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,029812,Dissolved Oxygen,Measured,2006-02-14T17:00Z,5.79,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,029812,Dissolved Oxygen,Measured,2006-03-14T17:00Z,5.51,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,029812,Dissolved Oxygen,Measured,2006-04-14T17:00Z,5.61,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,029812,Dissolved Oxygen,Measured,2006-06-14T17:00Z,5.39,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,029812,Dissolved Oxygen,Measured,2006-07-14T17:00Z,5.32,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,029812,Dissolved Oxygen,Measured,2006-09-14T17:00Z,5.96,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,029812,Dissolved Oxygen,Measured,2006-10-14T17:00Z,6.53,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,029812,Dissolved Oxygen,Measured,2006-11-14T17:00Z,5.26,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,029812,Dissolved Oxygen,Measured,2006-12-14T17:00Z,7.32,mg/l,O,Raw - Not Yet Reviewed,Unverified data
