Country Code,Station Code,Parameter,Label,Timestamp (UTC+07:00),Value,Unit,Observed or Estimated,Approval Level,Grade
VN,039803,Dissolved Oxygen,Measured,1985-05-14T17:00Z,7.08,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,039803,Dissolved Oxygen,Measured,1985-06-14T17:00Z,6.35,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,039803,Dissolved Oxygen,Measured,1985-07-14T17:00Z,6.67,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,039803,Dissolved Oxygen,Measured,1985-09-14T17:00Z,6.66,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,039803,Dissolved Oxygen,Measured,1985-10-14T17:00Z,5.86,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,039803,Dissolved Oxygen,Measured,1985-12-14T17:00Z,6.48,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,039803,Dissolved Oxygen,Measured,1986-01-14T17:00Z,7.02,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,039803,Dissolved Oxygen,Measured,1986-02-14T17:00Z,6.885,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,039803,Dissolved Oxygen,Measured,1986-03-14T17:00Z,7.474,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,039803,Dissolved Oxygen,Measured,1986-04-14T17:00Z,6.385,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,039803,Dissolved Oxygen,Measured,1986-05-14T17:00Z,6.907,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,039803,Dissolved Oxygen,Measured,1986-06-14T17:00Z,6.388,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,039803,Dissolved Oxygen,Measured,1986-07-14T17:00Z,6.66,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,039803,Dissolved Oxygen,Measured,1986-08-14T17:00Z,6.99,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,039803,Dissolved Oxygen,Measured,1986-09-14T17:00Z,5.82,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,039803,Dissolved Oxygen,Measured,1986-10-14T17:00Z,6.62,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,039803,Dissolved Oxygen,Measured,1986-11-14T17:00Z,6.6,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,039803,Dissolved Oxygen,Measured,1986-12-14T17:00Z,7.42,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,039803,Dissolved Oxygen,Measured,1987-01-14T17:00Z,7.46,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,039803,Dissolved Oxygen,Measured,1987-02-14T17:00Z,7.44,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,039803,Dissolved Oxygen,Measured,1987-04-14T17:00Z,7.53,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,039803,Dissolved Oxygen,Measured,1987-05-14T17:00Z,6.4,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,039803,Dissolved Oxygen,Measured,1987-06-14T17:00Z,6.401,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,039803,Dissolved Oxygen,Measured,1987-07-14T17:00Z,6.481,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,039803,Dissolved Oxygen,Measured,1987-08-14T17:00Z,6.38,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,039803,Dissolved Oxygen,Measured,1987-09-14T17:00Z,6.386,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,039803,Dissolved Oxygen,Measured,1987-10-14T17:00Z,6.27,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,039803,Dissolved Oxygen,Measured,1987-11-14T17:00Z,6.666,mg/l,O,Raw - Not Yet Reviewed,Unverified data
