Country Code,Station Code,Parameter,Label,Timestamp (UTC+07:00),Value,Unit,Observed or Estimated,Approval Level,Grade
VN,039805,Dissolved Oxygen,Measured,1985-07-14T17:00Z,6.75,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,039805,Dissolved Oxygen,Measured,1985-08-14T17:00Z,6.53,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,039805,Dissolved Oxygen,Measured,1985-09-14T17:00Z,5.59,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,039805,Dissolved Oxygen,Measured,1985-10-14T17:00Z,6.03,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,039805,Dissolved Oxygen,Measured,1985-11-14T17:00Z,6.66,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,039805,Dissolved Oxygen,Measured,1985-12-14T17:00Z,5.92,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,039805,Dissolved Oxygen,Measured,1986-01-14T17:00Z,5.826,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,039805,Dissolved Oxygen,Measured,1986-02-14T17:00Z,6.211,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,039805,Dissolved Oxygen,Measured,1986-03-14T17:00Z,6.373,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,039805,Dissolved Oxygen,Measured,1986-04-14T17:00Z,6.29,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,039805,Dissolved Oxygen,Measured,1986-05-14T17:00Z,6.569,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,039805,Dissolved Oxygen,Measured,1986-06-14T17:00Z,6.163,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,039805,Dissolved Oxygen,Measured,1986-07-14T17:00Z,7.188,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,039805,Dissolved Oxygen,Measured,1986-08-14T17:00Z,7.07,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,039805,Dissolved Oxygen,Measured,1986-09-14T17:00Z,6.08,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,039805,Dissolved Oxygen,Measured,1986-10-14T17:00Z,7.06,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,039805,Dissolved Oxygen,Measured,1986-11-14T17:00Z,7.28,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,039805,Dissolved Oxygen,Measured,1986-12-14T17:00Z,6.91,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,039805,Dissolved Oxygen,Measured,1987-01-14T17:00Z,7.4,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,039805,Dissolved Oxygen,Measured,1987-02-14T17:00Z,7.35,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,039805,Dissolved Oxygen,Measured,1987-04-14T17:00Z,6.01,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,039805,Dissolved Oxygen,Measured,1987-05-14T17:00Z,6.12,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,039805,Dissolved Oxygen,Measured,1987-06-14T17:00Z,6.939,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,039805,Dissolved Oxygen,Measured,1987-07-14T17:00Z,7.035,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,039805,Dissolved Oxygen,Measured,1987-08-14T17:00Z,6.45,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,039805,Dissolved Oxygen,Measured,1987-09-14T17:00Z,6.893,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,039805,Dissolved Oxygen,Measured,1987-10-14T17:00Z,6.29,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,039805,Dissolved Oxygen,Measured,1987-11-14T17:00Z,5.687,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,039805,Dissolved Oxygen,Measured,1987-12-14T17:00Z,7.123,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,039805,Dissolved Oxygen,Measured,1988-01-14T17:00Z,6.331,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,039805,Dissolved Oxygen,Measured,1988-02-14T17:00Z,7.562,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,039805,Dissolved Oxygen,Measured,1988-03-14T17:00Z,7.486,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,039805,Dissolved Oxygen,Measured,1988-04-14T17:00Z,6.202,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,039805,Dissolved Oxygen,Measured,1988-05-14T17:00Z,6.704,mg/l,O,Raw - Not Yet Reviewed,Unverified data
