Country Code,Station Code,Parameter,Label,Timestamp (UTC+07:00),Value,Unit,Observed or Estimated,Approval Level,Grade
VN,440202,Dissolved Oxygen,Measured,2004-07-14T17:00Z,7.95,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,440202,Dissolved Oxygen,Measured,2004-08-14T17:00Z,7.8,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,440202,Dissolved Oxygen,Measured,2004-09-14T17:00Z,8.2,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,440202,Dissolved Oxygen,Measured,2004-10-14T17:00Z,7.95,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,440202,Dissolved Oxygen,Measured,2004-11-14T17:00Z,8.15,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,440202,Dissolved Oxygen,Measured,2004-12-14T17:00Z,8.25,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,440202,Dissolved Oxygen,Measured,2005-01-14T17:00Z,8.26,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,440202,Dissolved Oxygen,Measured,2005-02-14T17:00Z,8.05,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,440202,Dissolved Oxygen,Measured,2005-03-14T17:00Z,7.65,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,440202,Dissolved Oxygen,Measured,2005-04-14T17:00Z,7.23,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,440202,Dissolved Oxygen,Measured,2005-05-14T17:00Z,7.12,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,440202,Dissolved Oxygen,Measured,2005-06-14T17:00Z,8.03,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,440202,Dissolved Oxygen,Measured,2005-07-14T17:00Z,7.88,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,440202,Dissolved Oxygen,Measured,2005-08-14T17:00Z,7.94,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,440202,Dissolved Oxygen,Measured,2005-09-14T17:00Z,8.01,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,440202,Dissolved Oxygen,Measured,2005-10-14T17:00Z,8.12,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,440202,Dissolved Oxygen,Measured,2005-11-14T17:00Z,8.36,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,440202,Dissolved Oxygen,Measured,2005-12-14T17:00Z,8.02,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,440202,Dissolved Oxygen,Measured,2006-01-14T17:00Z,7.4,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,440202,Dissolved Oxygen,Measured,2006-02-14T17:00Z,7.3,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,440202,Dissolved Oxygen,Measured,2006-03-14T17:00Z,7.07,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,440202,Dissolved Oxygen,Measured,2006-04-14T17:00Z,7.27,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,440202,Dissolved Oxygen,Measured,2006-06-14T17:00Z,7.28,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,440202,Dissolved Oxygen,Measured,2006-07-14T17:00Z,7.25,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,440202,Dissolved Oxygen,Measured,2006-09-14T17:00Z,4.19,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,440202,Dissolved Oxygen,Measured,2006-10-14T17:00Z,6.46,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,440202,Dissolved Oxygen,Measured,2006-11-14T17:00Z,7.98,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,440202,Dissolved Oxygen,Measured,2006-12-14T17:00Z,8.09,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,440202,Dissolved Oxygen,Measured,2007-01-14T17:00Z,10.14,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,440202,Dissolved Oxygen,Measured,2007-02-14T17:00Z,7.88,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,440202,Dissolved Oxygen,Measured,2007-03-14T17:00Z,8.07,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,440202,Dissolved Oxygen,Measured,2007-04-14T17:00Z,7.8,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,440202,Dissolved Oxygen,Measured,2007-05-14T17:00Z,7.85,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,440202,Dissolved Oxygen,Measured,2007-06-14T17:00Z,7.9,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,440202,Dissolved Oxygen,Measured,2007-07-14T17:00Z,7.62,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,440202,Dissolved Oxygen,Measured,2007-08-14T17:00Z,7.31,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,440202,Dissolved Oxygen,Measured,2007-09-14T17:00Z,7.42,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,440202,Dissolved Oxygen,Measured,2007-10-14T17:00Z,7.33,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,440202,Dissolved Oxygen,Measured,2007-11-14T17:00Z,7.01,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,440202,Dissolved Oxygen,Measured,2007-12-14T17:00Z,7.21,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,440202,Dissolved Oxygen,Measured,2008-01-14T17:00Z,5.38,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,440202,Dissolved Oxygen,Measured,2008-02-14T17:00Z,5.77,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,440202,Dissolved Oxygen,Measured,2008-03-14T17:00Z,5.4,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,440202,Dissolved Oxygen,Measured,2008-04-14T17:00Z,5.17,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,440202,Dissolved Oxygen,Measured,2008-05-14T17:00Z,5.97,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,440202,Dissolved Oxygen,Measured,2008-06-14T17:00Z,5.35,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,440202,Dissolved Oxygen,Measured,2008-07-14T17:00Z,5.03,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,440202,Dissolved Oxygen,Measured,2008-08-14T17:00Z,6.12,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,440202,Dissolved Oxygen,Measured,2008-09-14T17:00Z,6.23,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,440202,Dissolved Oxygen,Measured,2008-10-14T17:00Z,6.14,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,440202,Dissolved Oxygen,Measured,2008-11-14T17:00Z,6.38,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,440202,Dissolved Oxygen,Measured,2008-12-14T17:00Z,6.14,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,440202,Dissolved Oxygen,Measured,2009-01-14T17:00Z,5.9,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,440202,Dissolved Oxygen,Measured,2009-02-14T17:00Z,5.2,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,440202,Dissolved Oxygen,Measured,2009-03-14T17:00Z,4.08,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,440202,Dissolved Oxygen,Measured,2009-04-14T17:00Z,4.65,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,440202,Dissolved Oxygen,Measured,2009-05-14T17:00Z,5.97,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,440202,Dissolved Oxygen,Measured,2009-06-14T17:00Z,5.35,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,440202,Dissolved Oxygen,Measured,2009-07-14T17:00Z,5.03,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,440202,Dissolved Oxygen,Measured,2009-08-14T17:00Z,6.12,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,440202,Dissolved Oxygen,Measured,2009-09-14T17:00Z,6.23,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,440202,Dissolved Oxygen,Measured,2009-10-14T17:00Z,6.14,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,440202,Dissolved Oxygen,Measured,2009-11-14T17:00Z,6.38,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,440202,Dissolved Oxygen,Measured,2009-12-14T17:00Z,6.47,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,440202,Dissolved Oxygen,Measured,2010-01-14T17:00Z,6.29254854436178,mg/l,O,Raw - Not Yet Reviewed,Unverified data
