Country Code,Station Code,Parameter,Label,Timestamp (UTC+07:00),Value,Unit,Observed or Estimated,Approval Level,Grade
VN,988101,Dissolved Oxygen,Measured,1986-03-14T17:00Z,6.852,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988101,Dissolved Oxygen,Measured,1986-04-14T17:00Z,6.638,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988101,Dissolved Oxygen,Measured,1986-05-14T17:00Z,6.306,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988101,Dissolved Oxygen,Measured,1986-07-14T17:00Z,5.87,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988101,Dissolved Oxygen,Measured,1986-08-14T17:00Z,7.5,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988101,Dissolved Oxygen,Measured,1986-09-14T17:00Z,7.05,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988101,Dissolved Oxygen,Measured,1986-10-14T17:00Z,6.57,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988101,Dissolved Oxygen,Measured,1986-11-14T17:00Z,7.59,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988101,Dissolved Oxygen,Measured,1986-12-14T17:00Z,6.85,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988101,Dissolved Oxygen,Measured,1987-01-14T17:00Z,7.33,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988101,Dissolved Oxygen,Measured,1987-02-14T17:00Z,7.44,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988101,Dissolved Oxygen,Measured,1987-03-14T17:00Z,7.27,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988101,Dissolved Oxygen,Measured,1987-04-14T17:00Z,7.45,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988101,Dissolved Oxygen,Measured,1987-05-14T17:00Z,6.49,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988101,Dissolved Oxygen,Measured,1987-06-14T17:00Z,6.862,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988101,Dissolved Oxygen,Measured,1987-07-14T17:00Z,6.361,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988101,Dissolved Oxygen,Measured,1987-08-14T17:00Z,7.29,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988101,Dissolved Oxygen,Measured,1987-09-14T17:00Z,6.305,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988101,Dissolved Oxygen,Measured,1987-10-14T17:00Z,6.39,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988101,Dissolved Oxygen,Measured,1987-11-14T17:00Z,7.58,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988101,Dissolved Oxygen,Measured,1987-12-14T17:00Z,7.349,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988101,Dissolved Oxygen,Measured,1988-01-14T17:00Z,6.913,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988101,Dissolved Oxygen,Measured,1988-02-14T17:00Z,7.03,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988101,Dissolved Oxygen,Measured,1988-03-14T17:00Z,6.499,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988101,Dissolved Oxygen,Measured,1988-04-14T17:00Z,7.573,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988101,Dissolved Oxygen,Measured,1988-05-14T17:00Z,6.783,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988101,Dissolved Oxygen,Measured,1988-06-14T17:00Z,6.624,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988101,Dissolved Oxygen,Measured,1988-12-14T17:00Z,6.439,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988101,Dissolved Oxygen,Measured,1989-05-14T17:00Z,6.21,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988101,Dissolved Oxygen,Measured,1989-06-14T17:00Z,7.23,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988101,Dissolved Oxygen,Measured,1989-07-14T17:00Z,6.7,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988101,Dissolved Oxygen,Measured,1989-12-14T17:00Z,6.25,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988101,Dissolved Oxygen,Measured,1990-07-14T17:00Z,7.0,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988101,Dissolved Oxygen,Measured,1990-08-14T17:00Z,7.0,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988101,Dissolved Oxygen,Measured,1990-12-14T17:00Z,7.04,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988101,Dissolved Oxygen,Measured,1991-06-14T17:00Z,7.579,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988101,Dissolved Oxygen,Measured,1991-08-14T17:00Z,7.566,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988101,Dissolved Oxygen,Measured,1992-06-14T17:00Z,6.07,mg/l,O,Raw - Not Yet Reviewed,Unverified data
