Country Code,Station Code,Parameter,Label,Timestamp (UTC+07:00),Value,Unit,Observed or Estimated,Approval Level,Grade
VN,988102,Dissolved Oxygen,Measured,1986-03-14T17:00Z,6.078,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988102,Dissolved Oxygen,Measured,1986-04-14T17:00Z,6.662,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988102,Dissolved Oxygen,Measured,1986-05-14T17:00Z,6.448,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988102,Dissolved Oxygen,Measured,1986-07-14T17:00Z,6.35,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988102,Dissolved Oxygen,Measured,1986-08-14T17:00Z,6.96,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988102,Dissolved Oxygen,Measured,1986-09-14T17:00Z,6.89,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988102,Dissolved Oxygen,Measured,1986-10-14T17:00Z,6.22,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988102,Dissolved Oxygen,Measured,1986-11-14T17:00Z,5.91,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988102,Dissolved Oxygen,Measured,1986-12-14T17:00Z,6.66,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988102,Dissolved Oxygen,Measured,1987-01-14T17:00Z,7.16,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988102,Dissolved Oxygen,Measured,1987-02-14T17:00Z,7.25,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988102,Dissolved Oxygen,Measured,1987-03-14T17:00Z,6.87,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988102,Dissolved Oxygen,Measured,1987-04-14T17:00Z,6.16,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988102,Dissolved Oxygen,Measured,1987-05-14T17:00Z,5.86,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988102,Dissolved Oxygen,Measured,1987-06-14T17:00Z,6.1,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988102,Dissolved Oxygen,Measured,1987-07-14T17:00Z,6.512,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988102,Dissolved Oxygen,Measured,1987-08-14T17:00Z,7.22,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988102,Dissolved Oxygen,Measured,1987-09-14T17:00Z,6.352,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988102,Dissolved Oxygen,Measured,1987-10-14T17:00Z,5.54,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988102,Dissolved Oxygen,Measured,1987-11-14T17:00Z,6.86,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988102,Dissolved Oxygen,Measured,1987-12-14T17:00Z,6.315,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988102,Dissolved Oxygen,Measured,1988-01-14T17:00Z,6.865,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988102,Dissolved Oxygen,Measured,1988-02-14T17:00Z,6.676,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988102,Dissolved Oxygen,Measured,1988-03-14T17:00Z,5.741,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988102,Dissolved Oxygen,Measured,1988-04-14T17:00Z,6.811,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988102,Dissolved Oxygen,Measured,1988-05-14T17:00Z,6.016,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988102,Dissolved Oxygen,Measured,1988-06-14T17:00Z,6.111,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988102,Dissolved Oxygen,Measured,1988-12-14T17:00Z,5.588,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988102,Dissolved Oxygen,Measured,1989-05-14T17:00Z,5.66,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988102,Dissolved Oxygen,Measured,1989-06-14T17:00Z,6.41,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988102,Dissolved Oxygen,Measured,1989-07-14T17:00Z,6.72,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988102,Dissolved Oxygen,Measured,1989-12-14T17:00Z,6.02,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988102,Dissolved Oxygen,Measured,1990-08-14T17:00Z,7.0,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988102,Dissolved Oxygen,Measured,1990-12-14T17:00Z,6.01,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988102,Dissolved Oxygen,Measured,1991-06-14T17:00Z,7.408,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988102,Dissolved Oxygen,Measured,1991-08-14T17:00Z,7.514,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988102,Dissolved Oxygen,Measured,1992-06-14T17:00Z,6.12,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988102,Dissolved Oxygen,Measured,1992-07-14T17:00Z,6.68,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988102,Dissolved Oxygen,Measured,1992-08-14T17:00Z,6.29,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988102,Dissolved Oxygen,Measured,1993-06-14T17:00Z,6.66,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988102,Dissolved Oxygen,Measured,1993-07-14T17:00Z,5.81,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988102,Dissolved Oxygen,Measured,1993-12-14T17:00Z,6.82,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988102,Dissolved Oxygen,Measured,1994-06-14T17:00Z,5.96,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988102,Dissolved Oxygen,Measured,1994-12-14T17:00Z,6.16,mg/l,O,Raw - Not Yet Reviewed,Unverified data
