Country Code,Station Code,Parameter,Label,Timestamp (UTC+07:00),Value,Unit,Observed or Estimated,Approval Level,Grade
VN,988103,Dissolved Oxygen,Measured,1986-03-14T17:00Z,6.185,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988103,Dissolved Oxygen,Measured,1986-04-14T17:00Z,6.037,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988103,Dissolved Oxygen,Measured,1986-05-14T17:00Z,5.92,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988103,Dissolved Oxygen,Measured,1986-07-14T17:00Z,6.32,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988103,Dissolved Oxygen,Measured,1986-08-14T17:00Z,7.06,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988103,Dissolved Oxygen,Measured,1986-09-14T17:00Z,6.41,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988103,Dissolved Oxygen,Measured,1986-10-14T17:00Z,6.11,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988103,Dissolved Oxygen,Measured,1986-11-14T17:00Z,5.84,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988103,Dissolved Oxygen,Measured,1986-12-14T17:00Z,6.07,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988103,Dissolved Oxygen,Measured,1987-01-14T17:00Z,6.9,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988103,Dissolved Oxygen,Measured,1987-02-14T17:00Z,5.51,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988103,Dissolved Oxygen,Measured,1987-03-14T17:00Z,6.34,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988103,Dissolved Oxygen,Measured,1987-04-14T17:00Z,6.73,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988103,Dissolved Oxygen,Measured,1987-05-14T17:00Z,5.64,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988103,Dissolved Oxygen,Measured,1987-06-14T17:00Z,6.322,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988103,Dissolved Oxygen,Measured,1987-07-14T17:00Z,6.281,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988103,Dissolved Oxygen,Measured,1987-08-14T17:00Z,6.21,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988103,Dissolved Oxygen,Measured,1987-09-14T17:00Z,6.504,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988103,Dissolved Oxygen,Measured,1987-10-14T17:00Z,6.6,mg/l,O,Raw - Not Yet Reviewed,Unverified data
