Country Code,Station Code,Parameter,Label,Timestamp (UTC+07:00),Value,Unit,Observed or Estimated,Approval Level,Grade
VN,988104,Dissolved Oxygen,Measured,1986-03-14T17:00Z,5.943,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988104,Dissolved Oxygen,Measured,1986-04-14T17:00Z,6.927,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988104,Dissolved Oxygen,Measured,1986-05-14T17:00Z,5.854,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988104,Dissolved Oxygen,Measured,1986-07-14T17:00Z,7.13,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988104,Dissolved Oxygen,Measured,1986-08-14T17:00Z,6.89,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988104,Dissolved Oxygen,Measured,1986-09-14T17:00Z,6.16,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988104,Dissolved Oxygen,Measured,1986-10-14T17:00Z,6.05,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988104,Dissolved Oxygen,Measured,1986-11-14T17:00Z,7.44,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988104,Dissolved Oxygen,Measured,1986-12-14T17:00Z,5.69,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988104,Dissolved Oxygen,Measured,1987-01-14T17:00Z,7.5,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988104,Dissolved Oxygen,Measured,1987-02-14T17:00Z,7.06,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988104,Dissolved Oxygen,Measured,1987-03-14T17:00Z,7.47,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988104,Dissolved Oxygen,Measured,1987-04-14T17:00Z,7.3,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988104,Dissolved Oxygen,Measured,1987-05-14T17:00Z,5.57,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988104,Dissolved Oxygen,Measured,1987-06-14T17:00Z,6.666,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988104,Dissolved Oxygen,Measured,1987-07-14T17:00Z,6.575,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988104,Dissolved Oxygen,Measured,1987-08-14T17:00Z,7.0,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988104,Dissolved Oxygen,Measured,1987-10-14T17:00Z,6.29,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988104,Dissolved Oxygen,Measured,1987-11-14T17:00Z,6.51,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988104,Dissolved Oxygen,Measured,1987-12-14T17:00Z,6.268,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988104,Dissolved Oxygen,Measured,1988-01-14T17:00Z,6.538,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988104,Dissolved Oxygen,Measured,1988-02-14T17:00Z,6.189,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988104,Dissolved Oxygen,Measured,1988-03-14T17:00Z,5.972,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988104,Dissolved Oxygen,Measured,1988-04-14T17:00Z,7.503,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988104,Dissolved Oxygen,Measured,1988-05-14T17:00Z,7.018,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988104,Dissolved Oxygen,Measured,1988-06-14T17:00Z,7.216,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988104,Dissolved Oxygen,Measured,1988-12-14T17:00Z,6.168,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988104,Dissolved Oxygen,Measured,1989-05-14T17:00Z,6.74,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988104,Dissolved Oxygen,Measured,1989-06-14T17:00Z,6.84,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988104,Dissolved Oxygen,Measured,1989-07-14T17:00Z,7.13,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988104,Dissolved Oxygen,Measured,1989-12-14T17:00Z,6.26,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988104,Dissolved Oxygen,Measured,1990-08-14T17:00Z,7.0,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988104,Dissolved Oxygen,Measured,1990-12-14T17:00Z,6.55,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988104,Dissolved Oxygen,Measured,1991-06-14T17:00Z,6.849,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988104,Dissolved Oxygen,Measured,1991-08-14T17:00Z,7.472,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988104,Dissolved Oxygen,Measured,1992-06-14T17:00Z,6.78,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988104,Dissolved Oxygen,Measured,1992-07-14T17:00Z,6.06,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988104,Dissolved Oxygen,Measured,1992-08-14T17:00Z,6.27,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988104,Dissolved Oxygen,Measured,1993-06-14T17:00Z,5.65,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988104,Dissolved Oxygen,Measured,1993-07-14T17:00Z,5.65,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988104,Dissolved Oxygen,Measured,1993-12-14T17:00Z,6.66,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988104,Dissolved Oxygen,Measured,1994-06-14T17:00Z,6.0,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988104,Dissolved Oxygen,Measured,1994-12-14T17:00Z,7.52,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988104,Dissolved Oxygen,Measured,1995-06-14T17:00Z,7.3,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988104,Dissolved Oxygen,Measured,1995-07-14T17:00Z,6.03,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988104,Dissolved Oxygen,Measured,1995-08-14T17:00Z,7.53,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988104,Dissolved Oxygen,Measured,1995-12-14T17:00Z,7.5,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988104,Dissolved Oxygen,Measured,1996-06-14T17:00Z,7.03,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988104,Dissolved Oxygen,Measured,1996-07-14T17:00Z,7.22,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988104,Dissolved Oxygen,Measured,1996-08-14T17:00Z,7.476,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988104,Dissolved Oxygen,Measured,1996-12-14T17:00Z,5.9,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988104,Dissolved Oxygen,Measured,1997-06-14T17:00Z,7.405,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988104,Dissolved Oxygen,Measured,1997-07-14T17:00Z,7.34,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988104,Dissolved Oxygen,Measured,1997-08-14T17:00Z,7.086,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988104,Dissolved Oxygen,Measured,1997-12-14T17:00Z,5.65,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988104,Dissolved Oxygen,Measured,1998-06-14T17:00Z,6.17,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988104,Dissolved Oxygen,Measured,1998-07-14T17:00Z,5.99,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988104,Dissolved Oxygen,Measured,1998-08-14T17:00Z,6.89,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988104,Dissolved Oxygen,Measured,1998-12-14T17:00Z,6.98,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988104,Dissolved Oxygen,Measured,1999-06-14T17:00Z,7.1,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988104,Dissolved Oxygen,Measured,1999-07-14T17:00Z,7.34,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988104,Dissolved Oxygen,Measured,1999-08-14T17:00Z,7.086,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988104,Dissolved Oxygen,Measured,1999-12-14T17:00Z,6.26,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988104,Dissolved Oxygen,Measured,2000-06-14T17:00Z,6.34,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988104,Dissolved Oxygen,Measured,2000-07-14T17:00Z,6.53,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988104,Dissolved Oxygen,Measured,2000-08-14T17:00Z,6.78,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988104,Dissolved Oxygen,Measured,2000-12-14T17:00Z,5.87,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988104,Dissolved Oxygen,Measured,2001-06-14T17:00Z,7.23,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988104,Dissolved Oxygen,Measured,2001-07-14T17:00Z,7.12,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988104,Dissolved Oxygen,Measured,2001-08-14T17:00Z,7.15,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988104,Dissolved Oxygen,Measured,2002-06-14T17:00Z,8.23,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988104,Dissolved Oxygen,Measured,2002-07-14T17:00Z,7.42,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988104,Dissolved Oxygen,Measured,2002-08-14T17:00Z,6.89,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988104,Dissolved Oxygen,Measured,2002-12-14T17:00Z,6.1,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988104,Dissolved Oxygen,Measured,2003-06-14T17:00Z,8.23,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988104,Dissolved Oxygen,Measured,2003-07-14T17:00Z,7.42,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988104,Dissolved Oxygen,Measured,2003-08-14T17:00Z,6.89,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988104,Dissolved Oxygen,Measured,2003-12-14T17:00Z,5.76,mg/l,O,Raw - Not Yet Reviewed,Unverified data
