Country Code,Station Code,Parameter,Label,Timestamp (UTC+07:00),Value,Unit,Observed or Estimated,Approval Level,Grade
VN,988105,Dissolved Oxygen,Measured,1986-03-14T17:00Z,7.166,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988105,Dissolved Oxygen,Measured,1986-04-14T17:00Z,5.553,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988105,Dissolved Oxygen,Measured,1986-05-14T17:00Z,6.866,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988105,Dissolved Oxygen,Measured,1986-07-14T17:00Z,6.69,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988105,Dissolved Oxygen,Measured,1986-08-14T17:00Z,7.12,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988105,Dissolved Oxygen,Measured,1986-09-14T17:00Z,7.57,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988105,Dissolved Oxygen,Measured,1986-10-14T17:00Z,5.93,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988105,Dissolved Oxygen,Measured,1986-11-14T17:00Z,6.29,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988105,Dissolved Oxygen,Measured,1986-12-14T17:00Z,5.68,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988105,Dissolved Oxygen,Measured,1987-01-14T17:00Z,6.22,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988105,Dissolved Oxygen,Measured,1987-02-14T17:00Z,6.22,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988105,Dissolved Oxygen,Measured,1987-03-14T17:00Z,6.43,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988105,Dissolved Oxygen,Measured,1987-04-14T17:00Z,5.9,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988105,Dissolved Oxygen,Measured,1987-05-14T17:00Z,6.68,mg/l,O,Raw - Not Yet Reviewed,Unverified data
