Country Code,Station Code,Parameter,Label,Timestamp (UTC+07:00),Value,Unit,Observed or Estimated,Approval Level,Grade
VN,988107,Dissolved Oxygen,Measured,1986-03-14T17:00Z,6.66,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988107,Dissolved Oxygen,Measured,1986-04-14T17:00Z,6.262,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988107,Dissolved Oxygen,Measured,1986-05-14T17:00Z,6.166,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988107,Dissolved Oxygen,Measured,1986-07-14T17:00Z,7.55,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988107,Dissolved Oxygen,Measured,1986-08-14T17:00Z,6.67,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988107,Dissolved Oxygen,Measured,1986-09-14T17:00Z,6.16,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988107,Dissolved Oxygen,Measured,1986-10-14T17:00Z,6.6,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988107,Dissolved Oxygen,Measured,1986-11-14T17:00Z,6.99,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988107,Dissolved Oxygen,Measured,1986-12-14T17:00Z,6.97,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988107,Dissolved Oxygen,Measured,1987-01-14T17:00Z,6.79,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988107,Dissolved Oxygen,Measured,1987-02-14T17:00Z,6.9,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988107,Dissolved Oxygen,Measured,1987-03-14T17:00Z,6.66,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988107,Dissolved Oxygen,Measured,1987-04-14T17:00Z,5.75,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988107,Dissolved Oxygen,Measured,1987-05-14T17:00Z,6.07,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988107,Dissolved Oxygen,Measured,1987-06-14T17:00Z,6.78,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988107,Dissolved Oxygen,Measured,1987-07-14T17:00Z,6.353,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988107,Dissolved Oxygen,Measured,1987-08-14T17:00Z,5.96,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988107,Dissolved Oxygen,Measured,1987-09-14T17:00Z,5.813,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988107,Dissolved Oxygen,Measured,1987-10-14T17:00Z,6.17,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988107,Dissolved Oxygen,Measured,1987-11-14T17:00Z,6.14,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988107,Dissolved Oxygen,Measured,1987-12-14T17:00Z,6.331,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988107,Dissolved Oxygen,Measured,1988-01-14T17:00Z,5.866,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988107,Dissolved Oxygen,Measured,1988-02-14T17:00Z,6.159,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988107,Dissolved Oxygen,Measured,1988-03-14T17:00Z,6.066,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988107,Dissolved Oxygen,Measured,1988-04-14T17:00Z,5.906,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988107,Dissolved Oxygen,Measured,1988-05-14T17:00Z,6.666,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988107,Dissolved Oxygen,Measured,1988-06-14T17:00Z,6.352,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988107,Dissolved Oxygen,Measured,1988-12-14T17:00Z,6.666,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988107,Dissolved Oxygen,Measured,1989-05-14T17:00Z,5.75,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988107,Dissolved Oxygen,Measured,1989-06-14T17:00Z,7.25,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988107,Dissolved Oxygen,Measured,1989-07-14T17:00Z,6.67,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988107,Dissolved Oxygen,Measured,1989-12-14T17:00Z,6.7,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988107,Dissolved Oxygen,Measured,1990-08-14T17:00Z,7.59,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988107,Dissolved Oxygen,Measured,1990-12-14T17:00Z,6.26,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988107,Dissolved Oxygen,Measured,1991-06-14T17:00Z,5.939,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988107,Dissolved Oxygen,Measured,1991-08-14T17:00Z,6.259,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988107,Dissolved Oxygen,Measured,1992-06-14T17:00Z,6.66,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988107,Dissolved Oxygen,Measured,1992-07-14T17:00Z,5.72,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988107,Dissolved Oxygen,Measured,1992-08-14T17:00Z,6.66,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988107,Dissolved Oxygen,Measured,1993-06-14T17:00Z,6.09,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988107,Dissolved Oxygen,Measured,1993-12-14T17:00Z,5.67,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988107,Dissolved Oxygen,Measured,1994-06-14T17:00Z,6.6,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988107,Dissolved Oxygen,Measured,1994-08-14T17:00Z,7.59,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988107,Dissolved Oxygen,Measured,1994-12-14T17:00Z,6.06,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988107,Dissolved Oxygen,Measured,1995-06-14T17:00Z,5.71,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988107,Dissolved Oxygen,Measured,1995-07-14T17:00Z,5.7,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988107,Dissolved Oxygen,Measured,1995-08-14T17:00Z,6.36,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988107,Dissolved Oxygen,Measured,1995-12-14T17:00Z,7.45,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988107,Dissolved Oxygen,Measured,1996-06-14T17:00Z,6.2,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988107,Dissolved Oxygen,Measured,1996-07-14T17:00Z,6.96,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988107,Dissolved Oxygen,Measured,1996-08-14T17:00Z,7.447,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988107,Dissolved Oxygen,Measured,1996-12-14T17:00Z,6.62,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988107,Dissolved Oxygen,Measured,1997-06-14T17:00Z,6.178,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988107,Dissolved Oxygen,Measured,1997-07-14T17:00Z,6.46,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988107,Dissolved Oxygen,Measured,1997-08-14T17:00Z,7.459,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988107,Dissolved Oxygen,Measured,1997-12-14T17:00Z,6.67,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988107,Dissolved Oxygen,Measured,1998-06-14T17:00Z,6.68,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988107,Dissolved Oxygen,Measured,1998-07-14T17:00Z,6.66,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988107,Dissolved Oxygen,Measured,1998-12-14T17:00Z,6.12,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988107,Dissolved Oxygen,Measured,1999-06-14T17:00Z,6.178,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988107,Dissolved Oxygen,Measured,1999-07-14T17:00Z,6.46,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988107,Dissolved Oxygen,Measured,1999-08-14T17:00Z,7.459,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988107,Dissolved Oxygen,Measured,1999-12-14T17:00Z,6.67,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988107,Dissolved Oxygen,Measured,2002-06-14T17:00Z,5.4,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988107,Dissolved Oxygen,Measured,2002-07-14T17:00Z,5.15,mg/l,O,Raw - Not Yet Reviewed,Unverified data
