Country Code,Station Code,Parameter,Label,Timestamp (UTC+07:00),Value,Unit,Observed or Estimated,Approval Level,Grade
VN,988108,Dissolved Oxygen,Measured,1986-03-14T17:00Z,6.686,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988108,Dissolved Oxygen,Measured,1986-04-14T17:00Z,5.768,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988108,Dissolved Oxygen,Measured,1986-05-14T17:00Z,6.606,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988108,Dissolved Oxygen,Measured,1986-07-14T17:00Z,7.06,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988108,Dissolved Oxygen,Measured,1986-08-14T17:00Z,7.46,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988108,Dissolved Oxygen,Measured,1986-09-14T17:00Z,6.07,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988108,Dissolved Oxygen,Measured,1986-10-14T17:00Z,6.66,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988108,Dissolved Oxygen,Measured,1986-11-14T17:00Z,6.77,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988108,Dissolved Oxygen,Measured,1986-12-14T17:00Z,6.17,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988108,Dissolved Oxygen,Measured,1987-01-14T17:00Z,6.26,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988108,Dissolved Oxygen,Measured,1987-02-14T17:00Z,6.89,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988108,Dissolved Oxygen,Measured,1987-03-14T17:00Z,6.26,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988108,Dissolved Oxygen,Measured,1987-04-14T17:00Z,6.28,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988108,Dissolved Oxygen,Measured,1987-05-14T17:00Z,6.9,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988108,Dissolved Oxygen,Measured,1987-06-14T17:00Z,6.572,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988108,Dissolved Oxygen,Measured,1987-07-14T17:00Z,6.167,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988108,Dissolved Oxygen,Measured,1987-09-14T17:00Z,5.729,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988108,Dissolved Oxygen,Measured,1987-10-14T17:00Z,6.69,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988108,Dissolved Oxygen,Measured,1987-11-14T17:00Z,5.96,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988108,Dissolved Oxygen,Measured,1987-12-14T17:00Z,5.538,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988108,Dissolved Oxygen,Measured,1988-01-14T17:00Z,6.861,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988108,Dissolved Oxygen,Measured,1988-02-14T17:00Z,5.831,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988108,Dissolved Oxygen,Measured,1988-03-14T17:00Z,6.766,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988108,Dissolved Oxygen,Measured,1988-04-14T17:00Z,6.351,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988108,Dissolved Oxygen,Measured,1988-05-14T17:00Z,5.875,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988108,Dissolved Oxygen,Measured,1988-06-14T17:00Z,6.312,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988108,Dissolved Oxygen,Measured,1988-12-14T17:00Z,6.922,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988108,Dissolved Oxygen,Measured,1989-05-14T17:00Z,6.44,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988108,Dissolved Oxygen,Measured,1989-06-14T17:00Z,6.74,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988108,Dissolved Oxygen,Measured,1989-07-14T17:00Z,6.47,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988108,Dissolved Oxygen,Measured,1989-12-14T17:00Z,6.05,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988108,Dissolved Oxygen,Measured,1990-08-14T17:00Z,7.56,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988108,Dissolved Oxygen,Measured,1990-12-14T17:00Z,6.82,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988108,Dissolved Oxygen,Measured,1991-06-14T17:00Z,6.666,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988108,Dissolved Oxygen,Measured,1991-08-14T17:00Z,6.677,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988108,Dissolved Oxygen,Measured,1992-06-14T17:00Z,5.8,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988108,Dissolved Oxygen,Measured,1992-08-14T17:00Z,6.88,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988108,Dissolved Oxygen,Measured,1993-06-14T17:00Z,6.86,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988108,Dissolved Oxygen,Measured,1993-07-14T17:00Z,6.29,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988108,Dissolved Oxygen,Measured,1993-12-14T17:00Z,6.6,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988108,Dissolved Oxygen,Measured,1994-06-14T17:00Z,7.42,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988108,Dissolved Oxygen,Measured,1994-08-14T17:00Z,7.53,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988108,Dissolved Oxygen,Measured,1994-12-14T17:00Z,6.0,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988108,Dissolved Oxygen,Measured,1995-06-14T17:00Z,5.71,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988108,Dissolved Oxygen,Measured,1995-07-14T17:00Z,5.64,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988108,Dissolved Oxygen,Measured,1995-08-14T17:00Z,5.69,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988108,Dissolved Oxygen,Measured,1995-12-14T17:00Z,6.22,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988108,Dissolved Oxygen,Measured,1996-06-14T17:00Z,6.96,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988108,Dissolved Oxygen,Measured,1996-07-14T17:00Z,6.61,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988108,Dissolved Oxygen,Measured,1996-08-14T17:00Z,7.1,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988108,Dissolved Oxygen,Measured,1996-12-14T17:00Z,6.54,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988108,Dissolved Oxygen,Measured,1997-06-14T17:00Z,7.151,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988108,Dissolved Oxygen,Measured,1997-07-14T17:00Z,7.24,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988108,Dissolved Oxygen,Measured,1997-08-14T17:00Z,5.967,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988108,Dissolved Oxygen,Measured,1997-12-14T17:00Z,6.67,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988108,Dissolved Oxygen,Measured,1998-06-14T17:00Z,6.61,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988108,Dissolved Oxygen,Measured,1998-07-14T17:00Z,5.59,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988108,Dissolved Oxygen,Measured,1998-08-14T17:00Z,5.98,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988108,Dissolved Oxygen,Measured,1998-12-14T17:00Z,6.02,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988108,Dissolved Oxygen,Measured,1999-06-14T17:00Z,7.151,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988108,Dissolved Oxygen,Measured,1999-07-14T17:00Z,6.85,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988108,Dissolved Oxygen,Measured,1999-08-14T17:00Z,5.967,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988108,Dissolved Oxygen,Measured,1999-12-14T17:00Z,6.67,mg/l,O,Raw - Not Yet Reviewed,Unverified data
