Country Code,Station Code,Parameter,Label,Timestamp (UTC+07:00),Value,Unit,Observed or Estimated,Approval Level,Grade
VN,988109,Dissolved Oxygen,Measured,1986-03-14T17:00Z,7.07,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988109,Dissolved Oxygen,Measured,1986-04-14T17:00Z,6.736,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988109,Dissolved Oxygen,Measured,1986-05-14T17:00Z,6.861,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988109,Dissolved Oxygen,Measured,1986-07-14T17:00Z,5.52,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988109,Dissolved Oxygen,Measured,1986-08-14T17:00Z,7.49,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988109,Dissolved Oxygen,Measured,1986-09-14T17:00Z,6.82,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988109,Dissolved Oxygen,Measured,1986-10-14T17:00Z,6.66,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988109,Dissolved Oxygen,Measured,1986-11-14T17:00Z,6.27,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988109,Dissolved Oxygen,Measured,1986-12-14T17:00Z,6.18,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988109,Dissolved Oxygen,Measured,1987-01-14T17:00Z,7.46,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988109,Dissolved Oxygen,Measured,1987-02-14T17:00Z,6.25,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988109,Dissolved Oxygen,Measured,1987-03-14T17:00Z,7.34,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988109,Dissolved Oxygen,Measured,1987-04-14T17:00Z,7.41,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988109,Dissolved Oxygen,Measured,1987-05-14T17:00Z,6.81,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988109,Dissolved Oxygen,Measured,1987-06-14T17:00Z,6.278,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988109,Dissolved Oxygen,Measured,1987-07-14T17:00Z,6.085,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988109,Dissolved Oxygen,Measured,1987-08-14T17:00Z,7.17,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988109,Dissolved Oxygen,Measured,1987-09-14T17:00Z,6.555,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988109,Dissolved Oxygen,Measured,1987-10-14T17:00Z,6.26,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988109,Dissolved Oxygen,Measured,1987-11-14T17:00Z,6.31,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988109,Dissolved Oxygen,Measured,1987-12-14T17:00Z,5.992,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988109,Dissolved Oxygen,Measured,1988-01-14T17:00Z,5.869,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988109,Dissolved Oxygen,Measured,1988-02-14T17:00Z,5.504,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988109,Dissolved Oxygen,Measured,1988-03-14T17:00Z,6.367,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988109,Dissolved Oxygen,Measured,1988-04-14T17:00Z,7.223,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988109,Dissolved Oxygen,Measured,1988-05-14T17:00Z,6.732,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988109,Dissolved Oxygen,Measured,1988-06-14T17:00Z,6.74,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988109,Dissolved Oxygen,Measured,1988-12-14T17:00Z,6.008,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988109,Dissolved Oxygen,Measured,1989-05-14T17:00Z,7.55,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988109,Dissolved Oxygen,Measured,1989-06-14T17:00Z,7.13,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988109,Dissolved Oxygen,Measured,1989-07-14T17:00Z,6.77,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988109,Dissolved Oxygen,Measured,1989-12-14T17:00Z,6.9,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988109,Dissolved Oxygen,Measured,1990-07-14T17:00Z,6.87,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988109,Dissolved Oxygen,Measured,1990-08-14T17:00Z,7.0,mg/l,O,Raw - Not Yet Reviewed,Unverified data
