Country Code,Station Code,Parameter,Label,Timestamp (UTC+07:00),Value,Unit,Observed or Estimated,Approval Level,Grade
VN,988110,Dissolved Oxygen,Measured,1986-03-14T17:00Z,6.066,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988110,Dissolved Oxygen,Measured,1986-04-14T17:00Z,6.282,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988110,Dissolved Oxygen,Measured,1986-05-14T17:00Z,6.606,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988110,Dissolved Oxygen,Measured,1986-07-14T17:00Z,6.66,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988110,Dissolved Oxygen,Measured,1986-08-14T17:00Z,5.81,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988110,Dissolved Oxygen,Measured,1986-09-14T17:00Z,5.71,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988110,Dissolved Oxygen,Measured,1986-10-14T17:00Z,6.6,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988110,Dissolved Oxygen,Measured,1986-11-14T17:00Z,6.68,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988110,Dissolved Oxygen,Measured,1986-12-14T17:00Z,5.76,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988110,Dissolved Oxygen,Measured,1987-01-14T17:00Z,6.76,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988110,Dissolved Oxygen,Measured,1987-02-14T17:00Z,6.16,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988110,Dissolved Oxygen,Measured,1987-03-14T17:00Z,6.76,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988110,Dissolved Oxygen,Measured,1987-04-14T17:00Z,5.53,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988110,Dissolved Oxygen,Measured,1987-05-14T17:00Z,6.05,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988110,Dissolved Oxygen,Measured,1987-06-14T17:00Z,6.666,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988110,Dissolved Oxygen,Measured,1987-07-14T17:00Z,6.266,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988110,Dissolved Oxygen,Measured,1987-08-14T17:00Z,6.08,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988110,Dissolved Oxygen,Measured,1987-09-14T17:00Z,6.319,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988110,Dissolved Oxygen,Measured,1987-10-14T17:00Z,6.97,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988110,Dissolved Oxygen,Measured,1987-11-14T17:00Z,6.89,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988110,Dissolved Oxygen,Measured,1987-12-14T17:00Z,6.768,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988110,Dissolved Oxygen,Measured,1988-01-14T17:00Z,5.667,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988110,Dissolved Oxygen,Measured,1988-02-14T17:00Z,6.066,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988110,Dissolved Oxygen,Measured,1988-03-14T17:00Z,6.662,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988110,Dissolved Oxygen,Measured,1988-04-14T17:00Z,6.669,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988110,Dissolved Oxygen,Measured,1988-05-14T17:00Z,5.666,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988110,Dissolved Oxygen,Measured,1988-06-14T17:00Z,6.166,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988110,Dissolved Oxygen,Measured,1988-12-14T17:00Z,6.117,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988110,Dissolved Oxygen,Measured,1989-05-14T17:00Z,6.21,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988110,Dissolved Oxygen,Measured,1989-06-14T17:00Z,6.8,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988110,Dissolved Oxygen,Measured,1989-07-14T17:00Z,6.61,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988110,Dissolved Oxygen,Measured,1989-12-14T17:00Z,6.76,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988110,Dissolved Oxygen,Measured,1990-08-14T17:00Z,6.99,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988110,Dissolved Oxygen,Measured,1990-12-14T17:00Z,6.06,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988110,Dissolved Oxygen,Measured,1991-06-14T17:00Z,6.012,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988110,Dissolved Oxygen,Measured,1991-08-14T17:00Z,5.84,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988110,Dissolved Oxygen,Measured,1992-06-14T17:00Z,6.2,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988110,Dissolved Oxygen,Measured,1992-07-14T17:00Z,6.26,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988110,Dissolved Oxygen,Measured,1992-08-14T17:00Z,6.08,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988110,Dissolved Oxygen,Measured,1993-06-14T17:00Z,6.66,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988110,Dissolved Oxygen,Measured,1993-12-14T17:00Z,6.16,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988110,Dissolved Oxygen,Measured,1994-06-14T17:00Z,6.21,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988110,Dissolved Oxygen,Measured,1994-12-14T17:00Z,7.41,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988110,Dissolved Oxygen,Measured,1995-06-14T17:00Z,6.2,mg/l,O,Raw - Not Yet Reviewed,Unverified data
