Country Code,Station Code,Parameter,Label,Timestamp (UTC+07:00),Value,Unit,Observed or Estimated,Approval Level,Grade
VN,988111,Dissolved Oxygen,Measured,1986-03-14T17:00Z,6.686,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988111,Dissolved Oxygen,Measured,1986-04-14T17:00Z,6.106,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988111,Dissolved Oxygen,Measured,1986-05-14T17:00Z,6.053,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988111,Dissolved Oxygen,Measured,1986-07-14T17:00Z,5.93,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988111,Dissolved Oxygen,Measured,1986-08-14T17:00Z,5.54,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988111,Dissolved Oxygen,Measured,1986-09-14T17:00Z,7.07,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988111,Dissolved Oxygen,Measured,1986-10-14T17:00Z,6.77,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988111,Dissolved Oxygen,Measured,1986-11-14T17:00Z,6.96,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988111,Dissolved Oxygen,Measured,1986-12-14T17:00Z,6.66,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988111,Dissolved Oxygen,Measured,1987-01-14T17:00Z,6.62,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988111,Dissolved Oxygen,Measured,1987-02-14T17:00Z,6.07,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988111,Dissolved Oxygen,Measured,1987-03-14T17:00Z,6.11,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988111,Dissolved Oxygen,Measured,1987-04-14T17:00Z,6.23,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988111,Dissolved Oxygen,Measured,1987-05-14T17:00Z,6.62,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988111,Dissolved Oxygen,Measured,1987-06-14T17:00Z,6.698,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988111,Dissolved Oxygen,Measured,1987-07-14T17:00Z,5.569,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988111,Dissolved Oxygen,Measured,1987-08-14T17:00Z,6.77,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988111,Dissolved Oxygen,Measured,1987-09-14T17:00Z,6.784,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988111,Dissolved Oxygen,Measured,1987-10-14T17:00Z,6.09,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988111,Dissolved Oxygen,Measured,1987-11-14T17:00Z,6.61,mg/l,O,Raw - Not Yet Reviewed,Unverified data
