Country Code,Station Code,Parameter,Label,Timestamp (UTC+07:00),Value,Unit,Observed or Estimated,Approval Level,Grade
VN,988112,Dissolved Oxygen,Measured,1986-03-14T17:00Z,5.687,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988112,Dissolved Oxygen,Measured,1986-04-14T17:00Z,5.737,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988112,Dissolved Oxygen,Measured,1986-05-14T17:00Z,6.369,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988112,Dissolved Oxygen,Measured,1986-09-14T17:00Z,5.8,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988112,Dissolved Oxygen,Measured,1986-10-14T17:00Z,6.86,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988112,Dissolved Oxygen,Measured,1986-11-14T17:00Z,6.96,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988112,Dissolved Oxygen,Measured,1986-12-14T17:00Z,6.06,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988112,Dissolved Oxygen,Measured,1987-01-14T17:00Z,7.06,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988112,Dissolved Oxygen,Measured,1987-02-14T17:00Z,6.62,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988112,Dissolved Oxygen,Measured,1987-03-14T17:00Z,6.16,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988112,Dissolved Oxygen,Measured,1987-04-14T17:00Z,6.17,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988112,Dissolved Oxygen,Measured,1987-05-14T17:00Z,6.02,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988112,Dissolved Oxygen,Measured,1987-06-14T17:00Z,6.867,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988112,Dissolved Oxygen,Measured,1987-07-14T17:00Z,6.433,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988112,Dissolved Oxygen,Measured,1987-08-14T17:00Z,7.07,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988112,Dissolved Oxygen,Measured,1987-09-14T17:00Z,6.757,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988112,Dissolved Oxygen,Measured,1987-10-14T17:00Z,5.89,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988112,Dissolved Oxygen,Measured,1987-11-14T17:00Z,6.09,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988112,Dissolved Oxygen,Measured,1987-12-14T17:00Z,6.066,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988112,Dissolved Oxygen,Measured,1988-01-14T17:00Z,6.666,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988112,Dissolved Oxygen,Measured,1988-02-14T17:00Z,6.666,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988112,Dissolved Oxygen,Measured,1988-03-14T17:00Z,6.609,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988112,Dissolved Oxygen,Measured,1988-04-14T17:00Z,6.629,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988112,Dissolved Oxygen,Measured,1988-05-14T17:00Z,5.605,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988112,Dissolved Oxygen,Measured,1988-06-14T17:00Z,6.171,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988112,Dissolved Oxygen,Measured,1988-12-14T17:00Z,6.621,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988112,Dissolved Oxygen,Measured,1989-05-14T17:00Z,6.16,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988112,Dissolved Oxygen,Measured,1989-06-14T17:00Z,6.8,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988112,Dissolved Oxygen,Measured,1989-07-14T17:00Z,5.82,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988112,Dissolved Oxygen,Measured,1989-12-14T17:00Z,6.08,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988112,Dissolved Oxygen,Measured,1990-08-14T17:00Z,6.61,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988112,Dissolved Oxygen,Measured,1990-12-14T17:00Z,6.06,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988112,Dissolved Oxygen,Measured,1991-06-14T17:00Z,7.474,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988112,Dissolved Oxygen,Measured,1991-08-14T17:00Z,6.208,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988112,Dissolved Oxygen,Measured,1992-06-14T17:00Z,6.78,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988112,Dissolved Oxygen,Measured,1992-07-14T17:00Z,6.66,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988112,Dissolved Oxygen,Measured,1992-08-14T17:00Z,6.27,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988112,Dissolved Oxygen,Measured,1993-06-14T17:00Z,5.67,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988112,Dissolved Oxygen,Measured,1993-07-14T17:00Z,6.62,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988112,Dissolved Oxygen,Measured,1993-12-14T17:00Z,6.0,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988112,Dissolved Oxygen,Measured,1994-06-14T17:00Z,6.21,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988112,Dissolved Oxygen,Measured,1994-08-14T17:00Z,6.76,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988112,Dissolved Oxygen,Measured,1994-12-14T17:00Z,6.61,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988112,Dissolved Oxygen,Measured,1995-06-14T17:00Z,7.35,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988112,Dissolved Oxygen,Measured,1995-07-14T17:00Z,5.55,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988112,Dissolved Oxygen,Measured,1995-08-14T17:00Z,6.94,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988112,Dissolved Oxygen,Measured,1995-12-14T17:00Z,6.86,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988112,Dissolved Oxygen,Measured,1996-06-14T17:00Z,5.73,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988112,Dissolved Oxygen,Measured,1996-07-14T17:00Z,7.19,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988112,Dissolved Oxygen,Measured,1996-08-14T17:00Z,7.4,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988112,Dissolved Oxygen,Measured,1996-12-14T17:00Z,6.6,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988112,Dissolved Oxygen,Measured,1997-06-14T17:00Z,7.135,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988112,Dissolved Oxygen,Measured,1997-07-14T17:00Z,7.05,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988112,Dissolved Oxygen,Measured,1997-08-14T17:00Z,6.437,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988112,Dissolved Oxygen,Measured,1997-12-14T17:00Z,6.068,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988112,Dissolved Oxygen,Measured,1998-06-14T17:00Z,5.55,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988112,Dissolved Oxygen,Measured,1998-07-14T17:00Z,6.17,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988112,Dissolved Oxygen,Measured,1998-08-14T17:00Z,6.21,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988112,Dissolved Oxygen,Measured,1998-12-14T17:00Z,6.012,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988112,Dissolved Oxygen,Measured,1999-06-14T17:00Z,7.135,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988112,Dissolved Oxygen,Measured,1999-07-14T17:00Z,6.57,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988112,Dissolved Oxygen,Measured,1999-08-14T17:00Z,6.437,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988112,Dissolved Oxygen,Measured,1999-12-14T17:00Z,6.068,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988112,Dissolved Oxygen,Measured,2002-06-14T17:00Z,5.93,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988112,Dissolved Oxygen,Measured,2002-07-14T17:00Z,7.39,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988112,Dissolved Oxygen,Measured,2002-12-14T17:00Z,4.5,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988112,Dissolved Oxygen,Measured,2003-06-14T17:00Z,5.93,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988112,Dissolved Oxygen,Measured,2003-07-14T17:00Z,7.39,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988112,Dissolved Oxygen,Measured,2003-12-14T17:00Z,4.16,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988112,Dissolved Oxygen,Measured,2004-07-14T17:00Z,6.7,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988112,Dissolved Oxygen,Measured,2004-08-14T17:00Z,5.97,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988112,Dissolved Oxygen,Measured,2004-09-14T17:00Z,7.06,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988112,Dissolved Oxygen,Measured,2004-10-14T17:00Z,6.35,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988112,Dissolved Oxygen,Measured,2004-11-14T17:00Z,6.45,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988112,Dissolved Oxygen,Measured,2004-12-14T17:00Z,6.34,mg/l,O,Raw - Not Yet Reviewed,Unverified data
