Country Code,Station Code,Parameter,Label,Timestamp (UTC+07:00),Value,Unit,Observed or Estimated,Approval Level,Grade
VN,988113,Dissolved Oxygen,Measured,1986-03-14T17:00Z,6.969,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988113,Dissolved Oxygen,Measured,1986-04-14T17:00Z,6.107,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988113,Dissolved Oxygen,Measured,1986-05-14T17:00Z,6.067,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988113,Dissolved Oxygen,Measured,1986-07-14T17:00Z,7.18,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988113,Dissolved Oxygen,Measured,1986-08-14T17:00Z,6.67,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988113,Dissolved Oxygen,Measured,1986-09-14T17:00Z,6.32,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988113,Dissolved Oxygen,Measured,1986-10-14T17:00Z,6.08,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988113,Dissolved Oxygen,Measured,1986-11-14T17:00Z,6.66,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988113,Dissolved Oxygen,Measured,1986-12-14T17:00Z,6.66,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988113,Dissolved Oxygen,Measured,1987-01-14T17:00Z,6.66,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988113,Dissolved Oxygen,Measured,1987-02-14T17:00Z,6.02,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988113,Dissolved Oxygen,Measured,1987-03-14T17:00Z,5.91,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988113,Dissolved Oxygen,Measured,1987-04-14T17:00Z,5.67,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988113,Dissolved Oxygen,Measured,1987-05-14T17:00Z,5.76,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988113,Dissolved Oxygen,Measured,1987-06-14T17:00Z,6.806,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988113,Dissolved Oxygen,Measured,1987-07-14T17:00Z,6.668,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988113,Dissolved Oxygen,Measured,1987-08-14T17:00Z,6.21,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988113,Dissolved Oxygen,Measured,1987-09-14T17:00Z,6.967,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988113,Dissolved Oxygen,Measured,1987-10-14T17:00Z,6.67,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988113,Dissolved Oxygen,Measured,1987-11-14T17:00Z,6.66,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988113,Dissolved Oxygen,Measured,1987-12-14T17:00Z,6.261,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988113,Dissolved Oxygen,Measured,1988-02-14T17:00Z,6.029,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988113,Dissolved Oxygen,Measured,1988-03-14T17:00Z,6.669,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988113,Dissolved Oxygen,Measured,1988-04-14T17:00Z,6.054,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988113,Dissolved Oxygen,Measured,1988-05-14T17:00Z,5.706,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988113,Dissolved Oxygen,Measured,1988-06-14T17:00Z,5.608,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988113,Dissolved Oxygen,Measured,1988-12-14T17:00Z,6.867,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988113,Dissolved Oxygen,Measured,1989-05-14T17:00Z,6.66,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988113,Dissolved Oxygen,Measured,1989-06-14T17:00Z,6.41,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988113,Dissolved Oxygen,Measured,1989-07-14T17:00Z,6.49,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988113,Dissolved Oxygen,Measured,1989-12-14T17:00Z,6.16,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988113,Dissolved Oxygen,Measured,1990-07-14T17:00Z,6.51,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988113,Dissolved Oxygen,Measured,1990-08-14T17:00Z,7.56,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988113,Dissolved Oxygen,Measured,1990-12-14T17:00Z,6.6,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988113,Dissolved Oxygen,Measured,1991-06-14T17:00Z,5.841,mg/l,O,Raw - Not Yet Reviewed,Unverified data
