Country Code,Station Code,Parameter,Label,Timestamp (UTC+07:00),Value,Unit,Observed or Estimated,Approval Level,Grade
VN,988114,Dissolved Oxygen,Measured,2005-01-14T17:00Z,6.32,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988114,Dissolved Oxygen,Measured,2005-02-14T17:00Z,5.87,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988114,Dissolved Oxygen,Measured,2005-03-14T17:00Z,6.04,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988114,Dissolved Oxygen,Measured,2005-04-14T17:00Z,6.19,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988114,Dissolved Oxygen,Measured,2005-05-14T17:00Z,5.66,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988114,Dissolved Oxygen,Measured,2005-06-14T17:00Z,6.11,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988114,Dissolved Oxygen,Measured,2005-07-14T17:00Z,5.87,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988114,Dissolved Oxygen,Measured,2005-08-14T17:00Z,5.92,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988114,Dissolved Oxygen,Measured,2005-09-14T17:00Z,5.84,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988114,Dissolved Oxygen,Measured,2005-10-14T17:00Z,4.58,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988114,Dissolved Oxygen,Measured,2005-11-14T17:00Z,5.42,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988114,Dissolved Oxygen,Measured,2005-12-14T17:00Z,6.66,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988114,Dissolved Oxygen,Measured,2006-01-14T17:00Z,6.54,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988114,Dissolved Oxygen,Measured,2006-02-14T17:00Z,6.45,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988114,Dissolved Oxygen,Measured,2006-03-14T17:00Z,6.38,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988114,Dissolved Oxygen,Measured,2006-04-14T17:00Z,6.75,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988114,Dissolved Oxygen,Measured,2006-06-14T17:00Z,6.57,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988114,Dissolved Oxygen,Measured,2006-07-14T17:00Z,6.55,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988114,Dissolved Oxygen,Measured,2006-09-14T17:00Z,5.04,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988114,Dissolved Oxygen,Measured,2006-10-14T17:00Z,5.58,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988114,Dissolved Oxygen,Measured,2006-11-14T17:00Z,4.7,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988114,Dissolved Oxygen,Measured,2006-12-14T17:00Z,6.62,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988114,Dissolved Oxygen,Measured,2007-01-14T17:00Z,6.23,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988114,Dissolved Oxygen,Measured,2007-02-14T17:00Z,6.31,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988114,Dissolved Oxygen,Measured,2007-03-14T17:00Z,6.04,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988114,Dissolved Oxygen,Measured,2007-04-14T17:00Z,6.81,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988114,Dissolved Oxygen,Measured,2007-05-14T17:00Z,5.23,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988114,Dissolved Oxygen,Measured,2007-06-14T17:00Z,6.74,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988114,Dissolved Oxygen,Measured,2007-07-14T17:00Z,6.23,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988114,Dissolved Oxygen,Measured,2007-08-14T17:00Z,6.41,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988114,Dissolved Oxygen,Measured,2007-09-14T17:00Z,6.05,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988114,Dissolved Oxygen,Measured,2007-10-14T17:00Z,5.87,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988114,Dissolved Oxygen,Measured,2007-11-14T17:00Z,5.2,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988114,Dissolved Oxygen,Measured,2007-12-14T17:00Z,6.35,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988114,Dissolved Oxygen,Measured,2008-01-14T17:00Z,5.8,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988114,Dissolved Oxygen,Measured,2008-02-14T17:00Z,6.19,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988114,Dissolved Oxygen,Measured,2008-03-14T17:00Z,5.84,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988114,Dissolved Oxygen,Measured,2008-04-14T17:00Z,5.62,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988114,Dissolved Oxygen,Measured,2008-05-14T17:00Z,6.01,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988114,Dissolved Oxygen,Measured,2008-06-14T17:00Z,5.1,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988114,Dissolved Oxygen,Measured,2008-07-14T17:00Z,4.98,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988114,Dissolved Oxygen,Measured,2008-08-14T17:00Z,5.53,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988114,Dissolved Oxygen,Measured,2008-09-14T17:00Z,5.85,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988114,Dissolved Oxygen,Measured,2008-10-14T17:00Z,5.58,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988114,Dissolved Oxygen,Measured,2008-11-14T17:00Z,5.24,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988114,Dissolved Oxygen,Measured,2008-12-14T17:00Z,5.12,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988114,Dissolved Oxygen,Measured,2009-01-14T17:00Z,6.0,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988114,Dissolved Oxygen,Measured,2009-02-14T17:00Z,5.41,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988114,Dissolved Oxygen,Measured,2009-03-14T17:00Z,3.47,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988114,Dissolved Oxygen,Measured,2009-04-14T17:00Z,3.25,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988114,Dissolved Oxygen,Measured,2009-05-14T17:00Z,6.01,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988114,Dissolved Oxygen,Measured,2009-06-14T17:00Z,5.1,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988114,Dissolved Oxygen,Measured,2009-07-14T17:00Z,4.98,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988114,Dissolved Oxygen,Measured,2009-08-14T17:00Z,5.53,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988114,Dissolved Oxygen,Measured,2009-09-14T17:00Z,5.85,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988114,Dissolved Oxygen,Measured,2009-10-14T17:00Z,5.58,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988114,Dissolved Oxygen,Measured,2009-11-14T17:00Z,5.24,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988114,Dissolved Oxygen,Measured,2009-12-14T17:00Z,5.67,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988114,Dissolved Oxygen,Measured,2010-01-14T17:00Z,6.21280365317944,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988114,Dissolved Oxygen,Measured,2010-02-14T17:00Z,6.72870827052966,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988114,Dissolved Oxygen,Measured,2010-03-14T17:00Z,5.53446072400511,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988114,Dissolved Oxygen,Measured,2010-04-14T17:00Z,6.5030600512086,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988114,Dissolved Oxygen,Measured,2010-05-14T17:00Z,4.52304475236357,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988114,Dissolved Oxygen,Measured,2010-06-14T17:00Z,3.86523845940225,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988114,Dissolved Oxygen,Measured,2010-07-14T17:00Z,6.28344134179886,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988114,Dissolved Oxygen,Measured,2010-08-14T17:00Z,5.67864237574241,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988114,Dissolved Oxygen,Measured,2010-09-14T17:00Z,6.81012195300928,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988114,Dissolved Oxygen,Measured,2010-10-14T17:00Z,2.51497663511234,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988114,Dissolved Oxygen,Measured,2010-11-14T17:00Z,5.40010215483128,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988114,Dissolved Oxygen,Measured,2010-12-14T17:00Z,5.61290643479733,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988114,Dissolved Oxygen,Measured,2011-01-14T17:00Z,5.1,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988114,Dissolved Oxygen,Measured,2011-02-14T17:00Z,4.46,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988114,Dissolved Oxygen,Measured,2011-03-14T17:00Z,4.16,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988114,Dissolved Oxygen,Measured,2011-04-14T17:00Z,4.8,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988114,Dissolved Oxygen,Measured,2011-05-14T17:00Z,5.2,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988114,Dissolved Oxygen,Measured,2011-06-14T17:00Z,5.12,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988114,Dissolved Oxygen,Measured,2011-07-14T17:00Z,5.24,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988114,Dissolved Oxygen,Measured,2011-08-14T17:00Z,4.99,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988114,Dissolved Oxygen,Measured,2011-09-14T17:00Z,4.51,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988114,Dissolved Oxygen,Measured,2011-10-14T17:00Z,4.84,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988114,Dissolved Oxygen,Measured,2011-11-14T17:00Z,4.91,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988114,Dissolved Oxygen,Measured,2011-12-14T17:00Z,3.51,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988114,Dissolved Oxygen,Measured,2012-01-14T17:00Z,6.79,mg/l,O,Raw - Not Yet Reviewed,Unverified data
