Country Code,Station Code,Parameter,Label,Timestamp (UTC+07:00),Value,Unit,Observed or Estimated,Approval Level,Grade
VN,988201,Dissolved Oxygen,Measured,1988-07-14T17:00Z,2.794,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988201,Dissolved Oxygen,Measured,1988-11-14T17:00Z,3.826,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988201,Dissolved Oxygen,Measured,1988-12-14T17:00Z,4.32,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988201,Dissolved Oxygen,Measured,1988-12-15T05:00Z,4.406,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988201,Dissolved Oxygen,Measured,1989-04-14T17:00Z,4.36,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988201,Dissolved Oxygen,Measured,1989-05-14T17:00Z,3.98,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988201,Dissolved Oxygen,Measured,1989-06-14T17:00Z,2.87,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988201,Dissolved Oxygen,Measured,1989-07-14T17:00Z,3.21,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988201,Dissolved Oxygen,Measured,1989-08-14T17:00Z,3.59,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988201,Dissolved Oxygen,Measured,1989-09-14T17:00Z,3.443,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988201,Dissolved Oxygen,Measured,1989-10-14T17:00Z,4.378,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988201,Dissolved Oxygen,Measured,1989-12-14T17:00Z,3.346,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988201,Dissolved Oxygen,Measured,1990-02-14T17:00Z,6.88,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988201,Dissolved Oxygen,Measured,1990-03-14T17:00Z,5.597,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988201,Dissolved Oxygen,Measured,1990-04-14T17:00Z,6.75,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988201,Dissolved Oxygen,Measured,1990-05-14T17:00Z,5.34,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988201,Dissolved Oxygen,Measured,1990-07-14T17:00Z,6.42,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988201,Dissolved Oxygen,Measured,1990-08-14T17:00Z,5.235,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988201,Dissolved Oxygen,Measured,1990-09-14T17:00Z,5.41,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988201,Dissolved Oxygen,Measured,1990-10-14T17:00Z,3.35,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988201,Dissolved Oxygen,Measured,1990-11-14T17:00Z,3.435,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988201,Dissolved Oxygen,Measured,1990-12-14T17:00Z,4.318,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988201,Dissolved Oxygen,Measured,1991-01-14T17:00Z,7.141,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988201,Dissolved Oxygen,Measured,1991-02-14T17:00Z,6.94,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988201,Dissolved Oxygen,Measured,1991-03-14T17:00Z,3.421,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988201,Dissolved Oxygen,Measured,1991-04-14T17:00Z,3.699,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988201,Dissolved Oxygen,Measured,1991-06-14T17:00Z,5.727,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988201,Dissolved Oxygen,Measured,1991-07-14T17:00Z,4.342,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988201,Dissolved Oxygen,Measured,1991-08-14T17:00Z,5.036,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988201,Dissolved Oxygen,Measured,1991-09-14T17:00Z,5.763,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988201,Dissolved Oxygen,Measured,1991-10-14T17:00Z,2.073,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988201,Dissolved Oxygen,Measured,1991-11-14T17:00Z,3.948,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988201,Dissolved Oxygen,Measured,1991-12-14T17:00Z,6.694,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988201,Dissolved Oxygen,Measured,1992-01-14T17:00Z,5.76,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988201,Dissolved Oxygen,Measured,1992-02-14T17:00Z,3.68,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988201,Dissolved Oxygen,Measured,1992-03-14T17:00Z,4.22,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988201,Dissolved Oxygen,Measured,1992-04-14T17:00Z,3.41,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988201,Dissolved Oxygen,Measured,1992-05-14T17:00Z,4.418,mg/l,O,Raw - Not Yet Reviewed,Unverified data
