Country Code,Station Code,Parameter,Label,Timestamp (UTC+07:00),Value,Unit,Observed or Estimated,Approval Level,Grade
VN,988202,Dissolved Oxygen,Measured,1988-07-14T17:00Z,5.086,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988202,Dissolved Oxygen,Measured,1988-11-14T17:00Z,3.762,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988202,Dissolved Oxygen,Measured,1988-12-15T05:00Z,8.36,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988202,Dissolved Oxygen,Measured,1989-04-14T17:00Z,3.06,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988202,Dissolved Oxygen,Measured,1989-06-14T17:00Z,6.71,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988202,Dissolved Oxygen,Measured,1989-07-14T17:00Z,4.36,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988202,Dissolved Oxygen,Measured,1989-08-14T17:00Z,4.03,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988202,Dissolved Oxygen,Measured,1989-09-14T17:00Z,3.164,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988202,Dissolved Oxygen,Measured,1989-10-14T17:00Z,4.854,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988202,Dissolved Oxygen,Measured,1990-02-14T17:00Z,4.51,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988202,Dissolved Oxygen,Measured,1990-03-14T17:00Z,5.65,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988202,Dissolved Oxygen,Measured,1990-05-14T17:00Z,5.46,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988202,Dissolved Oxygen,Measured,1990-07-14T17:00Z,3.98,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988202,Dissolved Oxygen,Measured,1990-08-14T17:00Z,5.977,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988202,Dissolved Oxygen,Measured,1990-09-14T17:00Z,4.137,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988202,Dissolved Oxygen,Measured,1990-10-14T17:00Z,3.49,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988202,Dissolved Oxygen,Measured,1990-11-14T17:00Z,3.325,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988202,Dissolved Oxygen,Measured,1990-12-14T17:00Z,5.927,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988202,Dissolved Oxygen,Measured,1991-01-14T17:00Z,4.613,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988202,Dissolved Oxygen,Measured,1991-02-14T17:00Z,7.78,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988202,Dissolved Oxygen,Measured,1991-03-14T17:00Z,3.753,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988202,Dissolved Oxygen,Measured,1991-04-14T17:00Z,4.672,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988202,Dissolved Oxygen,Measured,1991-06-14T17:00Z,3.843,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988202,Dissolved Oxygen,Measured,1991-07-14T17:00Z,4.25,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988202,Dissolved Oxygen,Measured,1991-08-14T17:00Z,4.584,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988202,Dissolved Oxygen,Measured,1991-09-14T17:00Z,4.85,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988202,Dissolved Oxygen,Measured,1991-10-14T17:00Z,3.647,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988202,Dissolved Oxygen,Measured,1991-11-14T17:00Z,4.668,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988202,Dissolved Oxygen,Measured,1991-12-14T17:00Z,3.797,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988202,Dissolved Oxygen,Measured,1992-02-14T17:00Z,4.28,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988202,Dissolved Oxygen,Measured,1992-03-14T17:00Z,5.29,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988202,Dissolved Oxygen,Measured,1992-04-14T17:00Z,4.03,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988202,Dissolved Oxygen,Measured,1992-05-14T17:00Z,5.72,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988202,Dissolved Oxygen,Measured,1992-06-14T17:00Z,3.54,mg/l,O,Raw - Not Yet Reviewed,Unverified data
