Country Code,Station Code,Parameter,Label,Timestamp (UTC+07:00),Value,Unit,Observed or Estimated,Approval Level,Grade
VN,988203,Dissolved Oxygen,Measured,1988-07-14T17:00Z,3.86,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988203,Dissolved Oxygen,Measured,1988-11-14T17:00Z,3.439,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988203,Dissolved Oxygen,Measured,1989-04-14T17:00Z,2.34,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988203,Dissolved Oxygen,Measured,1989-05-14T17:00Z,2.74,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988203,Dissolved Oxygen,Measured,1989-06-14T17:00Z,1.23,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988203,Dissolved Oxygen,Measured,1989-07-14T17:00Z,3.47,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988203,Dissolved Oxygen,Measured,1989-08-14T17:00Z,3.26,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988203,Dissolved Oxygen,Measured,1989-09-14T17:00Z,2.458,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988203,Dissolved Oxygen,Measured,1989-10-14T17:00Z,3.95,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988203,Dissolved Oxygen,Measured,1989-11-14T17:00Z,3.62,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988203,Dissolved Oxygen,Measured,1989-12-14T17:00Z,3.84,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988203,Dissolved Oxygen,Measured,1990-02-14T17:00Z,4.46,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988203,Dissolved Oxygen,Measured,1990-03-14T17:00Z,4.13,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988203,Dissolved Oxygen,Measured,1990-04-14T17:00Z,4.07,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988203,Dissolved Oxygen,Measured,1990-05-14T17:00Z,2.53,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988203,Dissolved Oxygen,Measured,1990-07-14T17:00Z,3.49,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988203,Dissolved Oxygen,Measured,1990-08-14T17:00Z,5.219,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988203,Dissolved Oxygen,Measured,1990-09-14T17:00Z,3.346,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988203,Dissolved Oxygen,Measured,1990-10-14T17:00Z,1.95,mg/l,O,Raw - Not Yet Reviewed,Unverified data
