Country Code,Station Code,Parameter,Label,Timestamp (UTC+07:00),Value,Unit,Observed or Estimated,Approval Level,Grade
VN,988206,Dissolved Oxygen,Measured,1988-07-14T17:00Z,4.985,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988206,Dissolved Oxygen,Measured,1988-12-15T05:00Z,3.053,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988206,Dissolved Oxygen,Measured,1989-04-14T17:00Z,1.34,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988206,Dissolved Oxygen,Measured,1989-05-14T17:00Z,1.16,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988206,Dissolved Oxygen,Measured,1989-06-14T17:00Z,3.42,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988206,Dissolved Oxygen,Measured,1989-07-14T17:00Z,3.65,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988206,Dissolved Oxygen,Measured,1989-08-14T17:00Z,3.82,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988206,Dissolved Oxygen,Measured,1989-09-14T17:00Z,1.31,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988206,Dissolved Oxygen,Measured,1989-10-14T17:00Z,2.33,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988206,Dissolved Oxygen,Measured,1989-11-14T17:00Z,2.26,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988206,Dissolved Oxygen,Measured,1989-12-14T17:00Z,1.7,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988206,Dissolved Oxygen,Measured,1990-02-14T17:00Z,5.23,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988206,Dissolved Oxygen,Measured,1990-03-14T17:00Z,1.63,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988206,Dissolved Oxygen,Measured,1990-04-14T17:00Z,1.37,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988206,Dissolved Oxygen,Measured,1990-05-14T17:00Z,2.84,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988206,Dissolved Oxygen,Measured,1990-07-14T17:00Z,4.87,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988206,Dissolved Oxygen,Measured,1990-08-14T17:00Z,8.0,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988206,Dissolved Oxygen,Measured,1990-09-14T17:00Z,6.674,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988206,Dissolved Oxygen,Measured,1990-10-14T17:00Z,2.366,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988206,Dissolved Oxygen,Measured,1990-11-14T17:00Z,2.803,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988206,Dissolved Oxygen,Measured,1990-12-14T17:00Z,3.855,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988206,Dissolved Oxygen,Measured,1991-01-14T17:00Z,4.217,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988206,Dissolved Oxygen,Measured,1991-02-14T17:00Z,2.39,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988206,Dissolved Oxygen,Measured,1991-03-14T17:00Z,1.28,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988206,Dissolved Oxygen,Measured,1991-04-14T17:00Z,1.655,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988206,Dissolved Oxygen,Measured,1991-06-14T17:00Z,5.987,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988206,Dissolved Oxygen,Measured,1991-07-14T17:00Z,5.92,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988206,Dissolved Oxygen,Measured,1991-08-14T17:00Z,4.701,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988206,Dissolved Oxygen,Measured,1991-09-14T17:00Z,4.0,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988206,Dissolved Oxygen,Measured,1991-10-14T17:00Z,3.747,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988206,Dissolved Oxygen,Measured,1991-11-14T17:00Z,5.321,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988206,Dissolved Oxygen,Measured,1991-12-14T17:00Z,5.321,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988206,Dissolved Oxygen,Measured,1992-01-14T17:00Z,4.67,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988206,Dissolved Oxygen,Measured,1992-02-14T17:00Z,3.85,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988206,Dissolved Oxygen,Measured,1992-03-14T17:00Z,2.5,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988206,Dissolved Oxygen,Measured,1992-04-14T17:00Z,4.87,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988206,Dissolved Oxygen,Measured,1992-05-14T17:00Z,1.825,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988206,Dissolved Oxygen,Measured,1992-06-14T17:00Z,2.01,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988206,Dissolved Oxygen,Measured,1992-07-14T17:00Z,3.86,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988206,Dissolved Oxygen,Measured,1992-08-14T17:00Z,4.45,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988206,Dissolved Oxygen,Measured,1992-09-14T17:00Z,3.13,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988206,Dissolved Oxygen,Measured,1992-10-14T17:00Z,2.6,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988206,Dissolved Oxygen,Measured,1992-11-14T17:00Z,3.576,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988206,Dissolved Oxygen,Measured,1992-12-14T17:00Z,3.371,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988206,Dissolved Oxygen,Measured,1993-01-14T17:00Z,3.065,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988206,Dissolved Oxygen,Measured,1993-02-14T17:00Z,8.42,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988206,Dissolved Oxygen,Measured,1993-03-14T17:00Z,4.85,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988206,Dissolved Oxygen,Measured,1993-04-14T17:00Z,2.04,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988206,Dissolved Oxygen,Measured,1993-05-14T17:00Z,3.86,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988206,Dissolved Oxygen,Measured,1993-06-14T17:00Z,4.61,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988206,Dissolved Oxygen,Measured,1993-07-14T17:00Z,6.02,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988206,Dissolved Oxygen,Measured,1993-08-14T17:00Z,4.17,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988206,Dissolved Oxygen,Measured,1993-09-14T17:00Z,2.72,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988206,Dissolved Oxygen,Measured,1993-10-14T17:00Z,2.34,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988206,Dissolved Oxygen,Measured,1993-11-14T17:00Z,1.58,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988206,Dissolved Oxygen,Measured,1993-12-14T17:00Z,2.36,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988206,Dissolved Oxygen,Measured,1994-01-14T17:00Z,2.19,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988206,Dissolved Oxygen,Measured,1994-02-14T17:00Z,5.71,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988206,Dissolved Oxygen,Measured,1994-03-14T17:00Z,5.56,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988206,Dissolved Oxygen,Measured,1994-04-14T17:00Z,3.55,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988206,Dissolved Oxygen,Measured,1994-05-14T17:00Z,2.79,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988206,Dissolved Oxygen,Measured,1994-06-14T17:00Z,3.13,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988206,Dissolved Oxygen,Measured,1994-07-14T17:00Z,3.69,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988206,Dissolved Oxygen,Measured,1994-08-14T17:00Z,4.19,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988206,Dissolved Oxygen,Measured,1994-09-14T17:00Z,6.45,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988206,Dissolved Oxygen,Measured,1994-11-14T17:00Z,2.61,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988206,Dissolved Oxygen,Measured,1994-12-14T17:00Z,3.33,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988206,Dissolved Oxygen,Measured,1995-01-14T17:00Z,4.01,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988206,Dissolved Oxygen,Measured,1995-02-14T17:00Z,4.31,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988206,Dissolved Oxygen,Measured,1995-03-14T17:00Z,5.16,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988206,Dissolved Oxygen,Measured,1995-04-14T17:00Z,7.41,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988206,Dissolved Oxygen,Measured,1995-06-14T17:00Z,8.27,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988206,Dissolved Oxygen,Measured,1998-10-14T17:00Z,5.84,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988206,Dissolved Oxygen,Measured,1998-11-14T17:00Z,5.94,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988206,Dissolved Oxygen,Measured,1998-12-14T17:00Z,3.74,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988206,Dissolved Oxygen,Measured,2000-01-14T17:00Z,4.93,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988206,Dissolved Oxygen,Measured,2000-02-14T17:00Z,4.06,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988206,Dissolved Oxygen,Measured,2000-03-14T17:00Z,7.42,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988206,Dissolved Oxygen,Measured,2000-04-14T17:00Z,6.49,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988206,Dissolved Oxygen,Measured,2000-05-14T17:00Z,6.93,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988206,Dissolved Oxygen,Measured,2000-06-14T17:00Z,6.77,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988206,Dissolved Oxygen,Measured,2000-07-14T17:00Z,4.56,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988206,Dissolved Oxygen,Measured,2000-08-14T17:00Z,4.13,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988206,Dissolved Oxygen,Measured,2000-09-14T17:00Z,3.52,mg/l,O,Raw - Not Yet Reviewed,Unverified data
