Country Code,Station Code,Parameter,Label,Timestamp (UTC+07:00),Value,Unit,Observed or Estimated,Approval Level,Grade
VN,988207,Dissolved Oxygen,Measured,1988-07-14T17:00Z,5.608,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988207,Dissolved Oxygen,Measured,1988-11-14T17:00Z,3.096,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988207,Dissolved Oxygen,Measured,1988-12-14T17:00Z,4.922,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988207,Dissolved Oxygen,Measured,1988-12-15T05:00Z,3.59,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988207,Dissolved Oxygen,Measured,1989-04-14T17:00Z,3.36,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988207,Dissolved Oxygen,Measured,1989-05-14T17:00Z,2.14,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988207,Dissolved Oxygen,Measured,1989-06-14T17:00Z,3.69,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988207,Dissolved Oxygen,Measured,1989-07-14T17:00Z,4.16,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988207,Dissolved Oxygen,Measured,1989-08-14T17:00Z,4.18,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988207,Dissolved Oxygen,Measured,1989-09-14T17:00Z,2.918,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988207,Dissolved Oxygen,Measured,1989-10-14T17:00Z,4.38,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988207,Dissolved Oxygen,Measured,1989-11-14T17:00Z,4.05,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988207,Dissolved Oxygen,Measured,1989-12-14T17:00Z,3.99,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988207,Dissolved Oxygen,Measured,1990-02-14T17:00Z,2.82,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988207,Dissolved Oxygen,Measured,1990-03-14T17:00Z,3.43,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988207,Dissolved Oxygen,Measured,1990-04-14T17:00Z,2.17,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988207,Dissolved Oxygen,Measured,1990-05-14T17:00Z,1.91,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988207,Dissolved Oxygen,Measured,1990-07-14T17:00Z,6.25,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988207,Dissolved Oxygen,Measured,1990-08-14T17:00Z,6.931,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988207,Dissolved Oxygen,Measured,1990-09-14T17:00Z,6.114,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988207,Dissolved Oxygen,Measured,1990-10-14T17:00Z,3.978,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988207,Dissolved Oxygen,Measured,1990-11-14T17:00Z,3.906,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988207,Dissolved Oxygen,Measured,1990-12-14T17:00Z,5.489,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988207,Dissolved Oxygen,Measured,1991-01-14T17:00Z,5.911,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988207,Dissolved Oxygen,Measured,1991-02-14T17:00Z,2.67,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988207,Dissolved Oxygen,Measured,1991-03-14T17:00Z,2.54,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988207,Dissolved Oxygen,Measured,1991-04-14T17:00Z,1.722,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988207,Dissolved Oxygen,Measured,1991-06-14T17:00Z,1.698,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988207,Dissolved Oxygen,Measured,1991-07-14T17:00Z,6.802,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988207,Dissolved Oxygen,Measured,1991-08-14T17:00Z,4.166,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988207,Dissolved Oxygen,Measured,1991-09-14T17:00Z,5.3,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988207,Dissolved Oxygen,Measured,1991-10-14T17:00Z,3.664,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988207,Dissolved Oxygen,Measured,1991-11-14T17:00Z,6.56,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988207,Dissolved Oxygen,Measured,1991-12-14T17:00Z,6.56,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988207,Dissolved Oxygen,Measured,1992-01-14T17:00Z,5.31,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988207,Dissolved Oxygen,Measured,1992-02-14T17:00Z,4.74,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988207,Dissolved Oxygen,Measured,1992-03-14T17:00Z,2.95,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988207,Dissolved Oxygen,Measured,1992-04-14T17:00Z,3.71,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988207,Dissolved Oxygen,Measured,1992-05-14T17:00Z,3.512,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988207,Dissolved Oxygen,Measured,1992-06-14T17:00Z,3.47,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988207,Dissolved Oxygen,Measured,1992-07-14T17:00Z,3.9,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988207,Dissolved Oxygen,Measured,1992-08-14T17:00Z,3.69,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988207,Dissolved Oxygen,Measured,1992-09-14T17:00Z,3.18,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988207,Dissolved Oxygen,Measured,1992-10-14T17:00Z,4.19,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988207,Dissolved Oxygen,Measured,1992-11-14T17:00Z,3.864,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988207,Dissolved Oxygen,Measured,1992-12-14T17:00Z,5.788,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988207,Dissolved Oxygen,Measured,1993-01-14T17:00Z,0.743,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988207,Dissolved Oxygen,Measured,1993-02-14T17:00Z,5.454,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988207,Dissolved Oxygen,Measured,1993-03-14T17:00Z,5.54,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988207,Dissolved Oxygen,Measured,1993-04-14T17:00Z,2.84,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988207,Dissolved Oxygen,Measured,1993-05-14T17:00Z,6.45,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988207,Dissolved Oxygen,Measured,1993-06-14T17:00Z,4.03,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988207,Dissolved Oxygen,Measured,1993-07-14T17:00Z,7.43,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988207,Dissolved Oxygen,Measured,1993-08-14T17:00Z,4.29,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988207,Dissolved Oxygen,Measured,1993-09-14T17:00Z,4.32,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988207,Dissolved Oxygen,Measured,1993-10-14T17:00Z,3.62,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988207,Dissolved Oxygen,Measured,1993-11-14T17:00Z,3.56,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988207,Dissolved Oxygen,Measured,1993-12-14T17:00Z,7.26,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988207,Dissolved Oxygen,Measured,1994-01-14T17:00Z,3.44,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988207,Dissolved Oxygen,Measured,1994-02-14T17:00Z,5.79,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988207,Dissolved Oxygen,Measured,1994-03-14T17:00Z,5.72,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988207,Dissolved Oxygen,Measured,1994-04-14T17:00Z,5.78,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988207,Dissolved Oxygen,Measured,1994-05-14T17:00Z,3.07,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988207,Dissolved Oxygen,Measured,1994-06-14T17:00Z,6.28,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988207,Dissolved Oxygen,Measured,1994-07-14T17:00Z,3.53,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988207,Dissolved Oxygen,Measured,1994-08-14T17:00Z,3.0,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988207,Dissolved Oxygen,Measured,1994-09-14T17:00Z,5.62,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988207,Dissolved Oxygen,Measured,1994-11-14T17:00Z,4.45,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988207,Dissolved Oxygen,Measured,1994-12-14T17:00Z,6.05,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988207,Dissolved Oxygen,Measured,1995-01-14T17:00Z,3.87,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988207,Dissolved Oxygen,Measured,1995-02-14T17:00Z,5.82,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988207,Dissolved Oxygen,Measured,1995-03-14T17:00Z,6.2,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988207,Dissolved Oxygen,Measured,1995-04-14T17:00Z,4.27,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988207,Dissolved Oxygen,Measured,1995-06-14T17:00Z,3.17,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988207,Dissolved Oxygen,Measured,1998-10-14T17:00Z,5.8,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988207,Dissolved Oxygen,Measured,1998-11-14T17:00Z,3.29,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988207,Dissolved Oxygen,Measured,1998-12-14T17:00Z,5.42,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988207,Dissolved Oxygen,Measured,2000-01-14T17:00Z,6.21,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988207,Dissolved Oxygen,Measured,2000-02-14T17:00Z,6.1,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988207,Dissolved Oxygen,Measured,2000-03-14T17:00Z,5.9,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988207,Dissolved Oxygen,Measured,2000-04-14T17:00Z,6.52,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988207,Dissolved Oxygen,Measured,2000-05-14T17:00Z,6.49,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988207,Dissolved Oxygen,Measured,2000-06-14T17:00Z,5.77,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988207,Dissolved Oxygen,Measured,2000-07-14T17:00Z,5.68,mg/l,O,Raw - Not Yet Reviewed,Unverified data
