Country Code,Station Code,Parameter,Label,Timestamp (UTC+07:00),Value,Unit,Observed or Estimated,Approval Level,Grade
VN,988208,Dissolved Oxygen,Measured,1988-07-14T17:00Z,5.809,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988208,Dissolved Oxygen,Measured,1988-11-14T17:00Z,5.051,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988208,Dissolved Oxygen,Measured,1988-12-14T17:00Z,7.329,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988208,Dissolved Oxygen,Measured,1988-12-15T05:00Z,4.492,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988208,Dissolved Oxygen,Measured,1989-04-14T17:00Z,4.34,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988208,Dissolved Oxygen,Measured,1989-05-14T17:00Z,4.15,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988208,Dissolved Oxygen,Measured,1989-06-14T17:00Z,4.08,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988208,Dissolved Oxygen,Measured,1989-07-14T17:00Z,5.03,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988208,Dissolved Oxygen,Measured,1989-08-14T17:00Z,5.36,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988208,Dissolved Oxygen,Measured,1989-09-14T17:00Z,5.133,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988208,Dissolved Oxygen,Measured,1989-10-14T17:00Z,8.0,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988208,Dissolved Oxygen,Measured,1989-11-14T17:00Z,3.49,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988208,Dissolved Oxygen,Measured,1989-12-14T17:00Z,5.72,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988208,Dissolved Oxygen,Measured,1990-02-14T17:00Z,1.9,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988208,Dissolved Oxygen,Measured,1990-03-14T17:00Z,0.81,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988208,Dissolved Oxygen,Measured,1990-05-14T17:00Z,5.13,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988208,Dissolved Oxygen,Measured,1990-07-14T17:00Z,2.97,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988208,Dissolved Oxygen,Measured,1990-08-14T17:00Z,8.0,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988208,Dissolved Oxygen,Measured,1990-09-14T17:00Z,7.745,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988208,Dissolved Oxygen,Measured,1990-10-14T17:00Z,3.961,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988208,Dissolved Oxygen,Measured,1990-11-14T17:00Z,0.78,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988208,Dissolved Oxygen,Measured,1990-12-14T17:00Z,6.551,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988208,Dissolved Oxygen,Measured,1991-01-14T17:00Z,6.888,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988208,Dissolved Oxygen,Measured,1991-03-14T17:00Z,3.599,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988208,Dissolved Oxygen,Measured,1991-04-14T17:00Z,1.454,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988208,Dissolved Oxygen,Measured,1991-06-14T17:00Z,5.198,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988208,Dissolved Oxygen,Measured,1991-07-14T17:00Z,7.127,mg/l,O,Raw - Not Yet Reviewed,Unverified data
