Country Code,Station Code,Parameter,Label,Timestamp (UTC+07:00),Value,Unit,Observed or Estimated,Approval Level,Grade
VN,988209,Dissolved Oxygen,Measured,1988-07-14T17:00Z,5.086,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988209,Dissolved Oxygen,Measured,1988-11-14T17:00Z,3.418,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988209,Dissolved Oxygen,Measured,1988-12-14T17:00Z,4.6,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988209,Dissolved Oxygen,Measured,1988-12-15T05:00Z,5.33,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988209,Dissolved Oxygen,Measured,1989-04-14T17:00Z,7.89,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988209,Dissolved Oxygen,Measured,1989-05-14T17:00Z,5.06,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988209,Dissolved Oxygen,Measured,1989-06-14T17:00Z,4.57,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988209,Dissolved Oxygen,Measured,1989-07-14T17:00Z,4.49,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988209,Dissolved Oxygen,Measured,1989-08-14T17:00Z,4.38,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988209,Dissolved Oxygen,Measured,1989-09-14T17:00Z,4.182,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988209,Dissolved Oxygen,Measured,1989-10-14T17:00Z,3.56,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988209,Dissolved Oxygen,Measured,1989-11-14T17:00Z,2.77,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988209,Dissolved Oxygen,Measured,1989-12-14T17:00Z,4.03,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988209,Dissolved Oxygen,Measured,1990-02-14T17:00Z,2.65,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988209,Dissolved Oxygen,Measured,1990-03-14T17:00Z,1.94,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988209,Dissolved Oxygen,Measured,1990-04-14T17:00Z,4.0,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988209,Dissolved Oxygen,Measured,1990-05-14T17:00Z,2.71,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988209,Dissolved Oxygen,Measured,1990-07-14T17:00Z,4.25,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988209,Dissolved Oxygen,Measured,1990-08-14T17:00Z,8.0,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988209,Dissolved Oxygen,Measured,1990-09-14T17:00Z,6.105,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988209,Dissolved Oxygen,Measured,1990-10-14T17:00Z,3.438,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988209,Dissolved Oxygen,Measured,1990-11-14T17:00Z,6.274,mg/l,O,Raw - Not Yet Reviewed,Unverified data
