Country Code,Station Code,Parameter,Label,Timestamp (UTC+07:00),Value,Unit,Observed or Estimated,Approval Level,Grade
VN,988210,Dissolved Oxygen,Measured,1988-07-14T17:00Z,4.161,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988210,Dissolved Oxygen,Measured,1988-11-14T17:00Z,3.719,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988210,Dissolved Oxygen,Measured,1988-12-14T17:00Z,3.332,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988210,Dissolved Oxygen,Measured,1988-12-15T05:00Z,3.203,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988210,Dissolved Oxygen,Measured,1989-04-14T17:00Z,2.21,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988210,Dissolved Oxygen,Measured,1989-05-14T17:00Z,3.03,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988210,Dissolved Oxygen,Measured,1989-06-14T17:00Z,6.21,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988210,Dissolved Oxygen,Measured,1989-07-14T17:00Z,4.8,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988210,Dissolved Oxygen,Measured,1989-08-14T17:00Z,4.9,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988210,Dissolved Oxygen,Measured,1989-09-14T17:00Z,4.671,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988210,Dissolved Oxygen,Measured,1989-10-14T17:00Z,2.29,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988210,Dissolved Oxygen,Measured,1989-11-14T17:00Z,2.24,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988210,Dissolved Oxygen,Measured,1989-12-14T17:00Z,2.8,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988210,Dissolved Oxygen,Measured,1990-02-14T17:00Z,3.1,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988210,Dissolved Oxygen,Measured,1990-03-14T17:00Z,2.2,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988210,Dissolved Oxygen,Measured,1990-04-14T17:00Z,2.857,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988210,Dissolved Oxygen,Measured,1990-05-14T17:00Z,2.09,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988210,Dissolved Oxygen,Measured,1990-07-14T17:00Z,4.51,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988210,Dissolved Oxygen,Measured,1990-09-14T17:00Z,5.372,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988210,Dissolved Oxygen,Measured,1990-10-14T17:00Z,2.948,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988210,Dissolved Oxygen,Measured,1990-11-14T17:00Z,3.615,mg/l,O,Raw - Not Yet Reviewed,Unverified data
