Country Code,Station Code,Parameter,Label,Timestamp (UTC+07:00),Value,Unit,Observed or Estimated,Approval Level,Grade
VN,988212,Dissolved Oxygen,Measured,1988-07-14T17:00Z,3.458,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988212,Dissolved Oxygen,Measured,1988-11-14T17:00Z,3.375,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988212,Dissolved Oxygen,Measured,1988-12-14T17:00Z,2.859,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988212,Dissolved Oxygen,Measured,1988-12-15T05:00Z,3.611,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988212,Dissolved Oxygen,Measured,1989-04-14T17:00Z,4.26,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988212,Dissolved Oxygen,Measured,1989-05-14T17:00Z,3.52,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988212,Dissolved Oxygen,Measured,1989-06-14T17:00Z,4.08,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988212,Dissolved Oxygen,Measured,1989-07-14T17:00Z,3.29,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988212,Dissolved Oxygen,Measured,1989-08-14T17:00Z,3.43,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988212,Dissolved Oxygen,Measured,1989-09-14T17:00Z,2.327,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988212,Dissolved Oxygen,Measured,1989-10-14T17:00Z,3.05,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988212,Dissolved Oxygen,Measured,1989-11-14T17:00Z,2.18,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988212,Dissolved Oxygen,Measured,1989-12-14T17:00Z,4.52,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988212,Dissolved Oxygen,Measured,1990-02-14T17:00Z,3.11,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988212,Dissolved Oxygen,Measured,1990-03-14T17:00Z,2.955,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988212,Dissolved Oxygen,Measured,1990-04-14T17:00Z,1.94,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988212,Dissolved Oxygen,Measured,1990-05-14T17:00Z,2.74,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988212,Dissolved Oxygen,Measured,1990-07-14T17:00Z,3.59,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988212,Dissolved Oxygen,Measured,1990-08-14T17:00Z,7.05,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988212,Dissolved Oxygen,Measured,1990-09-14T17:00Z,4.648,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988212,Dissolved Oxygen,Measured,1990-10-14T17:00Z,2.025,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988212,Dissolved Oxygen,Measured,1990-11-14T17:00Z,1.27,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988212,Dissolved Oxygen,Measured,1990-12-14T17:00Z,4.091,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988212,Dissolved Oxygen,Measured,1991-01-14T17:00Z,4.057,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988212,Dissolved Oxygen,Measured,1991-02-14T17:00Z,2.78,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988212,Dissolved Oxygen,Measured,1991-03-14T17:00Z,2.004,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988212,Dissolved Oxygen,Measured,1991-04-14T17:00Z,3.317,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988212,Dissolved Oxygen,Measured,1991-06-14T17:00Z,5.708,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988212,Dissolved Oxygen,Measured,1991-07-14T17:00Z,5.642,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988212,Dissolved Oxygen,Measured,1991-08-14T17:00Z,3.647,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988212,Dissolved Oxygen,Measured,1991-09-14T17:00Z,5.7,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988212,Dissolved Oxygen,Measured,1991-10-14T17:00Z,2.659,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988212,Dissolved Oxygen,Measured,1991-11-14T17:00Z,2.692,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988212,Dissolved Oxygen,Measured,1991-12-14T17:00Z,2.692,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988212,Dissolved Oxygen,Measured,1992-01-14T17:00Z,3.74,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988212,Dissolved Oxygen,Measured,1992-02-14T17:00Z,3.61,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988212,Dissolved Oxygen,Measured,1992-03-14T17:00Z,2.66,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988212,Dissolved Oxygen,Measured,1992-04-14T17:00Z,1.56,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988212,Dissolved Oxygen,Measured,1992-05-14T17:00Z,4.863,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988212,Dissolved Oxygen,Measured,1992-06-14T17:00Z,3.32,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988212,Dissolved Oxygen,Measured,1992-07-14T17:00Z,2.88,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988212,Dissolved Oxygen,Measured,1992-08-14T17:00Z,3.04,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988212,Dissolved Oxygen,Measured,1992-09-14T17:00Z,1.58,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988212,Dissolved Oxygen,Measured,1992-10-14T17:00Z,2.31,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988212,Dissolved Oxygen,Measured,1992-11-14T17:00Z,1.679,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988212,Dissolved Oxygen,Measured,1992-12-14T17:00Z,2.935,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988212,Dissolved Oxygen,Measured,1993-01-14T17:00Z,1.76,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988212,Dissolved Oxygen,Measured,1993-02-14T17:00Z,2.58,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988212,Dissolved Oxygen,Measured,1993-03-14T17:00Z,1.05,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988212,Dissolved Oxygen,Measured,1993-04-14T17:00Z,1.93,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988212,Dissolved Oxygen,Measured,1993-05-14T17:00Z,4.86,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988212,Dissolved Oxygen,Measured,1993-06-14T17:00Z,4.12,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988212,Dissolved Oxygen,Measured,1993-07-14T17:00Z,6.03,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988212,Dissolved Oxygen,Measured,1993-08-14T17:00Z,4.15,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988212,Dissolved Oxygen,Measured,1993-09-14T17:00Z,2.68,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988212,Dissolved Oxygen,Measured,1993-10-14T17:00Z,1.77,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988212,Dissolved Oxygen,Measured,1993-11-14T17:00Z,2.35,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988212,Dissolved Oxygen,Measured,1993-12-14T17:00Z,4.12,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988212,Dissolved Oxygen,Measured,1994-01-14T17:00Z,3.72,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988212,Dissolved Oxygen,Measured,1994-02-14T17:00Z,3.27,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988212,Dissolved Oxygen,Measured,1994-03-14T17:00Z,3.12,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988212,Dissolved Oxygen,Measured,1994-04-14T17:00Z,2.35,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988212,Dissolved Oxygen,Measured,1994-05-14T17:00Z,4.93,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988212,Dissolved Oxygen,Measured,1994-06-14T17:00Z,3.29,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988212,Dissolved Oxygen,Measured,1994-07-14T17:00Z,2.6,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988212,Dissolved Oxygen,Measured,1994-08-14T17:00Z,4.12,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988212,Dissolved Oxygen,Measured,1994-09-14T17:00Z,3.63,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988212,Dissolved Oxygen,Measured,1994-11-14T17:00Z,2.47,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988212,Dissolved Oxygen,Measured,1994-12-14T17:00Z,4.7,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988212,Dissolved Oxygen,Measured,1995-01-14T17:00Z,7.44,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988212,Dissolved Oxygen,Measured,1995-02-14T17:00Z,6.81,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988212,Dissolved Oxygen,Measured,1995-03-14T17:00Z,6.12,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988212,Dissolved Oxygen,Measured,1995-04-14T17:00Z,4.65,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988212,Dissolved Oxygen,Measured,1995-06-14T17:00Z,8.98,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988212,Dissolved Oxygen,Measured,1998-10-14T17:00Z,6.01,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988212,Dissolved Oxygen,Measured,1998-11-14T17:00Z,3.35,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988212,Dissolved Oxygen,Measured,1998-12-14T17:00Z,5.08,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988212,Dissolved Oxygen,Measured,2000-01-14T17:00Z,5.75,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988212,Dissolved Oxygen,Measured,2000-02-14T17:00Z,5.62,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988212,Dissolved Oxygen,Measured,2000-03-14T17:00Z,6.86,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988212,Dissolved Oxygen,Measured,2000-04-14T17:00Z,6.76,mg/l,O,Raw - Not Yet Reviewed,Unverified data
