Country Code,Station Code,Parameter,Label,Timestamp (UTC+07:00),Value,Unit,Observed or Estimated,Approval Level,Grade
VN,988213,Dissolved Oxygen,Measured,1988-07-14T17:00Z,5.749,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988213,Dissolved Oxygen,Measured,1988-11-14T17:00Z,4.987,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988213,Dissolved Oxygen,Measured,1988-12-14T17:00Z,6.082,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988213,Dissolved Oxygen,Measured,1988-12-15T05:00Z,5.889,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988213,Dissolved Oxygen,Measured,1989-04-14T17:00Z,3.79,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988213,Dissolved Oxygen,Measured,1989-05-14T17:00Z,3.49,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988213,Dissolved Oxygen,Measured,1989-06-14T17:00Z,3.75,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988213,Dissolved Oxygen,Measured,1989-07-14T17:00Z,4.24,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988213,Dissolved Oxygen,Measured,1989-08-14T17:00Z,3.92,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988213,Dissolved Oxygen,Measured,1989-09-14T17:00Z,4.198,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988213,Dissolved Oxygen,Measured,1989-10-14T17:00Z,4.59,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988213,Dissolved Oxygen,Measured,1989-11-14T17:00Z,4.08,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988213,Dissolved Oxygen,Measured,1989-12-14T17:00Z,5.72,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988213,Dissolved Oxygen,Measured,1990-02-14T17:00Z,4.33,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988213,Dissolved Oxygen,Measured,1990-03-14T17:00Z,6.52,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988213,Dissolved Oxygen,Measured,1990-04-14T17:00Z,7.6,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988213,Dissolved Oxygen,Measured,1990-05-14T17:00Z,4.02,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988213,Dissolved Oxygen,Measured,1990-07-14T17:00Z,5.52,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988213,Dissolved Oxygen,Measured,1990-08-14T17:00Z,6.98,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988213,Dissolved Oxygen,Measured,1990-09-14T17:00Z,7.909,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988213,Dissolved Oxygen,Measured,1990-10-14T17:00Z,3.496,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988213,Dissolved Oxygen,Measured,1990-11-14T17:00Z,4.867,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988213,Dissolved Oxygen,Measured,1990-12-14T17:00Z,3.762,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988213,Dissolved Oxygen,Measured,1991-01-14T17:00Z,5.708,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988213,Dissolved Oxygen,Measured,1991-02-14T17:00Z,3.99,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988213,Dissolved Oxygen,Measured,1991-03-14T17:00Z,3.84,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988213,Dissolved Oxygen,Measured,1991-04-14T17:00Z,5.422,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988213,Dissolved Oxygen,Measured,1991-06-14T17:00Z,4.038,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988213,Dissolved Oxygen,Measured,1991-07-14T17:00Z,5.178,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988213,Dissolved Oxygen,Measured,1991-08-14T17:00Z,5.338,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988213,Dissolved Oxygen,Measured,1991-10-14T17:00Z,3.932,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988213,Dissolved Oxygen,Measured,1991-11-14T17:00Z,5.405,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988213,Dissolved Oxygen,Measured,1991-12-14T17:00Z,5.405,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988213,Dissolved Oxygen,Measured,1992-01-14T17:00Z,5.5,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988213,Dissolved Oxygen,Measured,1992-02-14T17:00Z,6.72,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988213,Dissolved Oxygen,Measured,1992-04-14T17:00Z,2.75,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988213,Dissolved Oxygen,Measured,1992-05-14T17:00Z,5.576,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988213,Dissolved Oxygen,Measured,1992-06-14T17:00Z,5.43,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988213,Dissolved Oxygen,Measured,1992-07-14T17:00Z,4.55,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988213,Dissolved Oxygen,Measured,1992-08-14T17:00Z,2.54,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988213,Dissolved Oxygen,Measured,1992-09-14T17:00Z,3.54,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988213,Dissolved Oxygen,Measured,1992-10-14T17:00Z,2.25,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988213,Dissolved Oxygen,Measured,1992-11-14T17:00Z,3.152,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988213,Dissolved Oxygen,Measured,1992-12-14T17:00Z,3.377,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988213,Dissolved Oxygen,Measured,1993-01-14T17:00Z,0.707,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988213,Dissolved Oxygen,Measured,1993-02-14T17:00Z,2.91,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988213,Dissolved Oxygen,Measured,1993-03-14T17:00Z,2.66,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988213,Dissolved Oxygen,Measured,1993-04-14T17:00Z,3.29,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988213,Dissolved Oxygen,Measured,1993-05-14T17:00Z,5.5,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988213,Dissolved Oxygen,Measured,1993-06-14T17:00Z,3.44,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988213,Dissolved Oxygen,Measured,1993-07-14T17:00Z,4.84,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988213,Dissolved Oxygen,Measured,1993-08-14T17:00Z,5.25,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988213,Dissolved Oxygen,Measured,1993-09-14T17:00Z,5.13,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988213,Dissolved Oxygen,Measured,1993-10-14T17:00Z,3.72,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988213,Dissolved Oxygen,Measured,1993-11-14T17:00Z,4.47,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988213,Dissolved Oxygen,Measured,1993-12-14T17:00Z,4.87,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988213,Dissolved Oxygen,Measured,1994-01-14T17:00Z,4.26,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988213,Dissolved Oxygen,Measured,1994-02-14T17:00Z,6.16,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988213,Dissolved Oxygen,Measured,1994-03-14T17:00Z,5.55,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988213,Dissolved Oxygen,Measured,1994-04-14T17:00Z,2.34,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988213,Dissolved Oxygen,Measured,1994-05-14T17:00Z,4.16,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988213,Dissolved Oxygen,Measured,1994-06-14T17:00Z,3.19,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988213,Dissolved Oxygen,Measured,1994-07-14T17:00Z,5.24,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988213,Dissolved Oxygen,Measured,1994-08-14T17:00Z,4.98,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988213,Dissolved Oxygen,Measured,1994-09-14T17:00Z,5.52,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988213,Dissolved Oxygen,Measured,1994-11-14T17:00Z,4.21,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988213,Dissolved Oxygen,Measured,1994-12-14T17:00Z,6.25,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988213,Dissolved Oxygen,Measured,1995-02-14T17:00Z,6.86,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988213,Dissolved Oxygen,Measured,1995-03-14T17:00Z,5.91,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988213,Dissolved Oxygen,Measured,1995-04-14T17:00Z,6.87,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988213,Dissolved Oxygen,Measured,1995-06-14T17:00Z,5.53,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988213,Dissolved Oxygen,Measured,1998-10-14T17:00Z,6.38,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988213,Dissolved Oxygen,Measured,1998-11-14T17:00Z,6.07,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988213,Dissolved Oxygen,Measured,1998-12-14T17:00Z,5.025,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988213,Dissolved Oxygen,Measured,2000-01-14T17:00Z,5.33,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988213,Dissolved Oxygen,Measured,2000-02-14T17:00Z,5.19,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988213,Dissolved Oxygen,Measured,2000-03-14T17:00Z,6.92,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988213,Dissolved Oxygen,Measured,2000-04-14T17:00Z,6.79,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988213,Dissolved Oxygen,Measured,2000-05-14T17:00Z,6.47,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988213,Dissolved Oxygen,Measured,2000-06-14T17:00Z,7.44,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988213,Dissolved Oxygen,Measured,2000-07-14T17:00Z,5.67,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988213,Dissolved Oxygen,Measured,2000-08-14T17:00Z,3.65,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988213,Dissolved Oxygen,Measured,2000-09-14T17:00Z,4.15,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988213,Dissolved Oxygen,Measured,2000-10-14T17:00Z,3.89,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988213,Dissolved Oxygen,Measured,2000-11-14T17:00Z,5.34,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988213,Dissolved Oxygen,Measured,2000-12-14T17:00Z,4.34,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988213,Dissolved Oxygen,Measured,2001-01-14T17:00Z,5.2,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988213,Dissolved Oxygen,Measured,2001-02-14T17:00Z,3.25,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988213,Dissolved Oxygen,Measured,2001-03-14T17:00Z,3.4,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988213,Dissolved Oxygen,Measured,2001-04-14T17:00Z,3.6,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988213,Dissolved Oxygen,Measured,2001-05-14T17:00Z,3.5,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988213,Dissolved Oxygen,Measured,2001-06-14T17:00Z,5.2,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988213,Dissolved Oxygen,Measured,2001-07-14T17:00Z,4.5,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988213,Dissolved Oxygen,Measured,2001-08-14T17:00Z,3.5,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988213,Dissolved Oxygen,Measured,2001-09-14T17:00Z,4.1,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988213,Dissolved Oxygen,Measured,2001-10-14T17:00Z,3.2,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988213,Dissolved Oxygen,Measured,2001-11-14T17:00Z,3.4,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988213,Dissolved Oxygen,Measured,2001-12-14T17:00Z,5.1,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988213,Dissolved Oxygen,Measured,2002-07-14T17:00Z,5.24,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988213,Dissolved Oxygen,Measured,2002-08-14T17:00Z,3.24,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988213,Dissolved Oxygen,Measured,2002-09-14T17:00Z,3.42,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988213,Dissolved Oxygen,Measured,2002-10-14T17:00Z,3.21,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988213,Dissolved Oxygen,Measured,2002-11-14T17:00Z,3.24,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988213,Dissolved Oxygen,Measured,2002-12-14T17:00Z,6.24,mg/l,O,Raw - Not Yet Reviewed,Unverified data
