Country Code,Station Code,Parameter,Label,Timestamp (UTC+07:00),Value,Unit,Observed or Estimated,Approval Level,Grade
VN,988302,Dissolved Oxygen,Measured,1991-08-14T17:00Z,5.966,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988302,Dissolved Oxygen,Measured,1991-09-14T17:00Z,3.485,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988302,Dissolved Oxygen,Measured,1991-10-14T17:00Z,5.087,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988302,Dissolved Oxygen,Measured,1991-11-14T17:00Z,8.004,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988302,Dissolved Oxygen,Measured,1991-12-14T17:00Z,4.835,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988302,Dissolved Oxygen,Measured,1992-01-14T17:00Z,4.38,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988302,Dissolved Oxygen,Measured,1992-02-14T17:00Z,6.71,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988302,Dissolved Oxygen,Measured,1992-03-14T17:00Z,6.03,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988302,Dissolved Oxygen,Measured,1992-04-14T17:00Z,3.85,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988302,Dissolved Oxygen,Measured,1992-05-14T17:00Z,6.62,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988302,Dissolved Oxygen,Measured,1992-06-14T17:00Z,5.79,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988302,Dissolved Oxygen,Measured,1992-07-14T17:00Z,5.21,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988302,Dissolved Oxygen,Measured,1992-08-14T17:00Z,6.21,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988302,Dissolved Oxygen,Measured,1992-09-14T17:00Z,5.77,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988302,Dissolved Oxygen,Measured,1992-10-14T17:00Z,4.06,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988302,Dissolved Oxygen,Measured,1992-11-14T17:00Z,1.922,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988302,Dissolved Oxygen,Measured,1992-12-14T17:00Z,3.109,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988302,Dissolved Oxygen,Measured,1993-01-14T17:00Z,4.591,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988302,Dissolved Oxygen,Measured,1993-02-14T17:00Z,4.3,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988302,Dissolved Oxygen,Measured,1993-03-14T17:00Z,5.34,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988302,Dissolved Oxygen,Measured,1993-04-14T17:00Z,5.5,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988302,Dissolved Oxygen,Measured,1993-05-14T17:00Z,7.87,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988302,Dissolved Oxygen,Measured,1993-06-14T17:00Z,5.16,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988302,Dissolved Oxygen,Measured,1993-07-14T17:00Z,2.31,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988302,Dissolved Oxygen,Measured,1993-08-14T17:00Z,4.47,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988302,Dissolved Oxygen,Measured,1993-09-14T17:00Z,3.76,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988302,Dissolved Oxygen,Measured,1993-10-14T17:00Z,4.25,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988302,Dissolved Oxygen,Measured,1993-11-14T17:00Z,3.91,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988302,Dissolved Oxygen,Measured,1993-12-14T17:00Z,4.94,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988302,Dissolved Oxygen,Measured,1994-02-14T17:00Z,5.53,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988302,Dissolved Oxygen,Measured,1994-03-14T17:00Z,6.95,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988302,Dissolved Oxygen,Measured,1994-04-14T17:00Z,5.31,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988302,Dissolved Oxygen,Measured,1994-05-14T17:00Z,9.33,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988302,Dissolved Oxygen,Measured,1994-06-14T17:00Z,1.58,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988302,Dissolved Oxygen,Measured,1994-08-14T17:00Z,6.68,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988302,Dissolved Oxygen,Measured,1994-09-14T17:00Z,4.7,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988302,Dissolved Oxygen,Measured,1994-11-14T17:00Z,6.61,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988302,Dissolved Oxygen,Measured,1994-12-14T17:00Z,1.43,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988302,Dissolved Oxygen,Measured,1995-01-14T17:00Z,7.56,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988302,Dissolved Oxygen,Measured,1995-02-14T17:00Z,6.76,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988302,Dissolved Oxygen,Measured,1995-03-14T17:00Z,4.91,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988302,Dissolved Oxygen,Measured,1995-04-14T17:00Z,6.26,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988302,Dissolved Oxygen,Measured,1995-06-14T17:00Z,6.04,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988302,Dissolved Oxygen,Measured,1998-10-14T17:00Z,5.52,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988302,Dissolved Oxygen,Measured,1998-11-14T17:00Z,5.85,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988302,Dissolved Oxygen,Measured,1998-12-14T17:00Z,6.65,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988302,Dissolved Oxygen,Measured,2001-01-14T17:00Z,7.02,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988302,Dissolved Oxygen,Measured,2001-02-14T17:00Z,6.75,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988302,Dissolved Oxygen,Measured,2001-03-14T17:00Z,6.5,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988302,Dissolved Oxygen,Measured,2001-04-14T17:00Z,6.8,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988302,Dissolved Oxygen,Measured,2001-05-14T17:00Z,6.7,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988302,Dissolved Oxygen,Measured,2001-06-14T17:00Z,7.1,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988302,Dissolved Oxygen,Measured,2001-07-14T17:00Z,5.9,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988302,Dissolved Oxygen,Measured,2001-08-14T17:00Z,5.7,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988302,Dissolved Oxygen,Measured,2001-09-14T17:00Z,5.6,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988302,Dissolved Oxygen,Measured,2001-10-14T17:00Z,6.8,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988302,Dissolved Oxygen,Measured,2001-11-14T17:00Z,6.5,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988302,Dissolved Oxygen,Measured,2001-12-14T17:00Z,6.7,mg/l,O,Raw - Not Yet Reviewed,Unverified data
