Country Code,Station Code,Parameter,Label,Timestamp (UTC+07:00),Value,Unit,Observed or Estimated,Approval Level,Grade
VN,988304,Dissolved Oxygen,Measured,1991-08-14T17:00Z,5.036,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988304,Dissolved Oxygen,Measured,1991-09-14T17:00Z,4.452,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988304,Dissolved Oxygen,Measured,1991-10-14T17:00Z,5.103,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988304,Dissolved Oxygen,Measured,1991-11-14T17:00Z,7.665,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988304,Dissolved Oxygen,Measured,1991-12-14T17:00Z,5.157,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988304,Dissolved Oxygen,Measured,1992-02-14T17:00Z,7.03,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988304,Dissolved Oxygen,Measured,1992-03-14T17:00Z,5.33,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988304,Dissolved Oxygen,Measured,1992-05-14T17:00Z,4.51,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988304,Dissolved Oxygen,Measured,1992-06-14T17:00Z,6.52,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988304,Dissolved Oxygen,Measured,1992-07-14T17:00Z,5.35,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988304,Dissolved Oxygen,Measured,1992-08-14T17:00Z,4.65,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988304,Dissolved Oxygen,Measured,1992-09-14T17:00Z,3.58,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988304,Dissolved Oxygen,Measured,1992-10-14T17:00Z,5.63,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988304,Dissolved Oxygen,Measured,1992-11-14T17:00Z,2.692,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988304,Dissolved Oxygen,Measured,1992-12-14T17:00Z,1.314,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988304,Dissolved Oxygen,Measured,1993-01-14T17:00Z,1.279,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988304,Dissolved Oxygen,Measured,1993-02-14T17:00Z,9.34,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988304,Dissolved Oxygen,Measured,1993-03-14T17:00Z,6.31,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988304,Dissolved Oxygen,Measured,1993-04-14T17:00Z,5.34,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988304,Dissolved Oxygen,Measured,1993-05-14T17:00Z,4.25,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988304,Dissolved Oxygen,Measured,1993-06-14T17:00Z,3.06,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988304,Dissolved Oxygen,Measured,1993-08-14T17:00Z,5.87,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988304,Dissolved Oxygen,Measured,1993-09-14T17:00Z,4.92,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988304,Dissolved Oxygen,Measured,1993-10-14T17:00Z,4.32,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988304,Dissolved Oxygen,Measured,1993-11-14T17:00Z,3.35,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988304,Dissolved Oxygen,Measured,1993-12-14T17:00Z,6.38,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988304,Dissolved Oxygen,Measured,1994-01-14T17:00Z,3.81,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988304,Dissolved Oxygen,Measured,1994-02-14T17:00Z,5.24,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988304,Dissolved Oxygen,Measured,1994-03-14T17:00Z,7.24,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988304,Dissolved Oxygen,Measured,1994-04-14T17:00Z,4.83,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988304,Dissolved Oxygen,Measured,1994-05-14T17:00Z,6.2,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988304,Dissolved Oxygen,Measured,1994-06-14T17:00Z,4.34,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988304,Dissolved Oxygen,Measured,1994-09-14T17:00Z,7.85,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988304,Dissolved Oxygen,Measured,1994-11-14T17:00Z,4.67,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988304,Dissolved Oxygen,Measured,1994-12-14T17:00Z,1.8,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988304,Dissolved Oxygen,Measured,1995-01-14T17:00Z,6.95,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988304,Dissolved Oxygen,Measured,1995-02-14T17:00Z,5.91,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988304,Dissolved Oxygen,Measured,1995-03-14T17:00Z,5.7,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988304,Dissolved Oxygen,Measured,1995-04-14T17:00Z,7.84,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988304,Dissolved Oxygen,Measured,1995-06-14T17:00Z,4.57,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988304,Dissolved Oxygen,Measured,1998-10-14T17:00Z,5.81,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988304,Dissolved Oxygen,Measured,1998-11-14T17:00Z,5.313,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988304,Dissolved Oxygen,Measured,1998-12-14T17:00Z,4.29,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988304,Dissolved Oxygen,Measured,2001-01-14T17:00Z,7.01,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988304,Dissolved Oxygen,Measured,2001-02-14T17:00Z,6.75,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988304,Dissolved Oxygen,Measured,2001-03-14T17:00Z,6.4,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988304,Dissolved Oxygen,Measured,2001-04-14T17:00Z,5.9,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988304,Dissolved Oxygen,Measured,2001-05-14T17:00Z,5.8,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988304,Dissolved Oxygen,Measured,2001-06-14T17:00Z,5.7,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988304,Dissolved Oxygen,Measured,2001-07-14T17:00Z,7.1,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988304,Dissolved Oxygen,Measured,2001-08-14T17:00Z,7.2,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988304,Dissolved Oxygen,Measured,2001-09-14T17:00Z,7.5,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988304,Dissolved Oxygen,Measured,2001-10-14T17:00Z,7.3,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988304,Dissolved Oxygen,Measured,2001-11-14T17:00Z,6.8,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988304,Dissolved Oxygen,Measured,2001-12-14T17:00Z,6.8,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988304,Dissolved Oxygen,Measured,2002-01-14T17:00Z,5.87,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988304,Dissolved Oxygen,Measured,2002-02-14T17:00Z,7.35,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988304,Dissolved Oxygen,Measured,2002-03-14T17:00Z,7.34,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988304,Dissolved Oxygen,Measured,2002-04-14T17:00Z,5.89,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988304,Dissolved Oxygen,Measured,2002-05-14T17:00Z,5.42,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988304,Dissolved Oxygen,Measured,2002-07-14T17:00Z,5.72,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988304,Dissolved Oxygen,Measured,2002-12-14T17:00Z,5.28,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988304,Dissolved Oxygen,Measured,2003-01-14T17:00Z,6.2,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988304,Dissolved Oxygen,Measured,2003-02-14T17:00Z,5.12,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988304,Dissolved Oxygen,Measured,2003-03-14T17:00Z,5.32,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988304,Dissolved Oxygen,Measured,2003-04-14T17:00Z,6.23,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988304,Dissolved Oxygen,Measured,2003-05-14T17:00Z,5.8,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988304,Dissolved Oxygen,Measured,2003-06-14T17:00Z,6.23,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988304,Dissolved Oxygen,Measured,2003-07-14T17:00Z,6.52,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988304,Dissolved Oxygen,Measured,2003-08-14T17:00Z,6.47,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988304,Dissolved Oxygen,Measured,2003-09-14T17:00Z,7.0,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988304,Dissolved Oxygen,Measured,2003-10-14T17:00Z,6.53,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988304,Dissolved Oxygen,Measured,2003-11-14T17:00Z,6.58,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988304,Dissolved Oxygen,Measured,2003-12-14T17:00Z,7.03,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988304,Dissolved Oxygen,Measured,2004-01-14T17:00Z,6.03,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988304,Dissolved Oxygen,Measured,2004-02-14T17:00Z,6.53,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988304,Dissolved Oxygen,Measured,2004-03-14T17:00Z,6.24,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988304,Dissolved Oxygen,Measured,2004-04-14T17:00Z,5.29,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988304,Dissolved Oxygen,Measured,2004-05-14T17:00Z,7.02,mg/l,O,Raw - Not Yet Reviewed,Unverified data
VN,988304,Dissolved Oxygen,Measured,2004-06-14T17:00Z,6.35,mg/l,O,Raw - Not Yet Reviewed,Unverified data
